instance,energy
random_ising_clique_L20_inst1,-20.579638994325702
random_ising_clique_L20_inst2,-18.49854559714218
random_ising_clique_L20_inst3,-15.348883527186127
random_ising_clique_L20_inst4,-14.798709780506464
random_ising_clique_L20_inst5,-17.174483520550297
random_ising_clique_L20_inst6,-15.129643548088074
random_ising_clique_L20_inst7,-12.20431453340065
random_ising_clique_L20_inst8,-13.317307033914105
random_ising_clique_L20_inst9,-17.182027636503822
random_ising_clique_L20_inst10,-14.360557203762202
random_ising_clique_L20_inst11,-13.713812232169747
random_ising_clique_L20_inst12,-14.929838981211681
random_ising_clique_L20_inst13,-14.652770920192818
random_ising_clique_L20_inst14,-15.697351078175044
random_ising_clique_L20_inst15,-14.045870886246298
random_ising_clique_L20_inst16,-13.276157423779894
random_ising_clique_L20_inst17,-14.154011983210465
random_ising_clique_L20_inst18,-14.756989339971396
random_ising_clique_L20_inst19,-16.03533906908303
random_ising_clique_L20_inst20,-16.901284468438785
random_ising_clique_L40_inst1,-40.58461243133805
random_ising_clique_L40_inst2,-38.887124615203355
random_ising_clique_L40_inst3,-39.39879634294109
random_ising_clique_L40_inst4,-47.24919215864879
random_ising_clique_L40_inst5,-36.82642560634074
random_ising_clique_L40_inst6,-46.06541750529202
random_ising_clique_L40_inst7,-35.186486330579214
random_ising_clique_L40_inst8,-43.875046718900364
random_ising_clique_L40_inst9,-47.12922287035067
random_ising_clique_L40_inst10,-44.45932956879603
random_ising_clique_L40_inst11,-45.716431862556234
random_ising_clique_L40_inst12,-58.96319334836914
random_ising_clique_L40_inst13,-38.28153549310132
random_ising_clique_L40_inst14,-49.764816511173585
random_ising_clique_L40_inst15,-39.93512975174727
random_ising_clique_L40_inst16,-49.19009918628986
random_ising_clique_L40_inst17,-52.13497460680909
random_ising_clique_L40_inst18,-43.86245810792364
random_ising_clique_L40_inst19,-43.68176627393314
random_ising_clique_L40_inst20,-41.536311529331556
random_ising_clique_L60_inst1,-79.37093427726215
random_ising_clique_L60_inst2,-74.82880323799853
random_ising_clique_L60_inst3,-74.60500055488777
random_ising_clique_L60_inst4,-80.82273192335943
random_ising_clique_L60_inst5,-70.61736576236537
random_ising_clique_L60_inst6,-79.58449503382265
random_ising_clique_L60_inst7,-80.52704122452157
random_ising_clique_L60_inst8,-88.20215928425716
random_ising_clique_L60_inst9,-88.5017214153889
random_ising_clique_L60_inst10,-77.91073478999692
random_ising_clique_L60_inst11,-73.82185389351014
random_ising_clique_L60_inst12,-79.63568803137943
random_ising_clique_L60_inst13,-65.85873056364049
random_ising_clique_L60_inst14,-78.87955797264283
random_ising_clique_L60_inst15,-89.95934831591183
random_ising_clique_L60_inst16,-71.56621712144536
random_ising_clique_L60_inst17,-71.95718866464635
random_ising_clique_L60_inst18,-83.90467192332223
random_ising_clique_L60_inst19,-81.26240398049013
random_ising_clique_L60_inst20,-77.8978767470307
random_ising_clique_L80_inst1,-123.00694830053861
random_ising_clique_L80_inst2,-120.82252790634163
random_ising_clique_L80_inst3,-129.4406142058589
random_ising_clique_L80_inst4,-103.24784026673224
random_ising_clique_L80_inst5,-111.07195445162058
random_ising_clique_L80_inst6,-120.15766696595212
random_ising_clique_L80_inst7,-111.9164565413922
random_ising_clique_L80_inst8,-116.81048786349369
random_ising_clique_L80_inst9,-121.30588690210604
random_ising_clique_L80_inst10,-121.18696581919114
random_ising_clique_L80_inst11,-127.35141516947154
random_ising_clique_L80_inst12,-146.44584265687976
random_ising_clique_L80_inst13,-125.5615423170879
random_ising_clique_L80_inst14,-131.30225754831517
random_ising_clique_L80_inst15,-123.01620859952442
random_ising_clique_L80_inst16,-133.84836627929357
random_ising_clique_L80_inst17,-118.1413195813163
random_ising_clique_L80_inst18,-129.52686841510584
random_ising_clique_L80_inst19,-119.48988840362594
random_ising_clique_L80_inst20,-143.04029071798308
random_ising_clique_L100_inst1,-168.70119215141335
random_ising_clique_L100_inst2,-178.8978633841438
random_ising_clique_L100_inst3,-175.26909449800718
random_ising_clique_L100_inst4,-168.68700329778528
random_ising_clique_L100_inst5,-167.36088075279125
random_ising_clique_L100_inst6,-173.35655189598498
random_ising_clique_L100_inst7,-147.63830810540532
random_ising_clique_L100_inst8,-161.01387582819547
random_ising_clique_L100_inst9,-161.9810853538797
random_ising_clique_L100_inst10,-183.53952593339469
random_ising_clique_L100_inst11,-171.98696118281717
random_ising_clique_L100_inst12,-164.1297035605033
random_ising_clique_L100_inst13,-166.793290666202
random_ising_clique_L100_inst14,-145.10102484883816
