instance,energy
random_ising_pegasus_P20_inst1,-6210.1445
random_ising_pegasus_P20_inst2,-6189.3037
random_ising_pegasus_P20_inst3,-6148.4927
random_ising_pegasus_P20_inst4,-6136.504
random_ising_pegasus_P20_inst5,-6175.464
random_ising_pegasus_P20_inst6,-6133.8325
random_ising_pegasus_P20_inst7,-6192.5283
random_ising_pegasus_P20_inst8,-6094.1855
random_ising_pegasus_P20_inst9,-6145.342
random_ising_pegasus_P20_inst10,-6098.721
random_ising_pegasus_P30_inst1,-14120.451
random_ising_pegasus_P30_inst2,-14082.949
random_ising_pegasus_P30_inst3,-14240.939
random_ising_pegasus_P30_inst4,-14251.819
random_ising_pegasus_P30_inst5,-14298.887
random_ising_pegasus_P30_inst6,-14138.593
random_ising_pegasus_P30_inst7,-14095.539
random_ising_pegasus_P30_inst8,-14174.41
random_ising_pegasus_P30_inst9,-14377.681
random_ising_pegasus_P30_inst10,-14331.016
random_ising_pegasus_P40_inst1,-25694.188
random_ising_pegasus_P40_inst2,-25775.855
random_ising_pegasus_P40_inst3,-25637.268
random_ising_pegasus_P40_inst4,-25584.273
random_ising_pegasus_P40_inst5,-25490.523
random_ising_pegasus_P40_inst6,-25494.004
random_ising_pegasus_P40_inst7,-25567.082
random_ising_pegasus_P40_inst8,-25612.549
random_ising_pegasus_P40_inst9,-25656.691
random_ising_pegasus_P40_inst10,-25582.998
random_ising_pegasus_P50_inst1,-40189.273
random_ising_pegasus_P50_inst2,-40177.223
random_ising_pegasus_P50_inst3,-40395.875
random_ising_pegasus_P50_inst4,-40340.55
random_ising_pegasus_P50_inst5,-40318.43
random_ising_pegasus_P50_inst6,-40513.125
random_ising_pegasus_P50_inst7,-40217.215
random_ising_pegasus_P50_inst8,-40434.48
random_ising_pegasus_P50_inst9,-40331.207
random_ising_pegasus_P50_inst10,-40466.96
random_ising_pegasus_P60_inst1,-58449.305
random_ising_pegasus_P60_inst2,-58602.25
random_ising_pegasus_P60_inst3,-58406.91
random_ising_pegasus_P60_inst4,-58737.86
random_ising_pegasus_P60_inst5,-58571.9
random_ising_pegasus_P70_inst1,-79717.51
random_ising_pegasus_P70_inst2,-80131.86
random_ising_pegasus_P70_inst3,-79994.99
random_ising_pegasus_P70_inst4,-79790.99
random_ising_pegasus_P70_inst5,-79835.57
random_ising_pegasus_P80_inst1,-104950.984
random_ising_pegasus_P80_inst2,-104775.805
random_ising_pegasus_P80_inst3,-104595.83
random_ising_pegasus_P80_inst4,-104694.125
random_ising_pegasus_P80_inst5,-104486.73
random_ising_pegasus_P90_inst1,-133012.78
random_ising_pegasus_P90_inst2,-132831.67
random_ising_pegasus_P90_inst3,-132857.12
random_ising_pegasus_P90_inst4,-133077.88
random_ising_pegasus_P90_inst5,-132674.23
random_ising_pegasus_P100_inst1,-164447.44
random_ising_pegasus_P100_inst2,-164279.56
random_ising_pegasus_P100_inst3,-164046.92
random_ising_pegasus_P100_inst4,-163991.75
random_ising_pegasus_P100_inst5,-164102.22
random_ising_pegasus_P110_inst1,-198908.17
random_ising_pegasus_P110_inst2,-199226.72
random_ising_pegasus_P110_inst3,-199063.14
random_ising_pegasus_P110_inst4,-198676.2
random_ising_pegasus_P110_inst5,-199164.3
random_ising_pegasus_P120_inst1,-237100.62
random_ising_pegasus_P120_inst2,-237248.89
random_ising_pegasus_P120_inst3,-237709.88
random_ising_pegasus_P120_inst4,-237290.45
random_ising_pegasus_P120_inst5,-236886.1
random_ising_pegasus_P130_inst1,-278757.06
random_ising_pegasus_P130_inst2,-279282.94
random_ising_pegasus_P130_inst3,-278431.3
random_ising_pegasus_P130_inst4,-279077.94
random_ising_pegasus_P130_inst5,-278828.0
random_ising_pegasus_P140_inst1,-323860.9
random_ising_pegasus_P140_inst2,-323612.8
random_ising_pegasus_P140_inst3,-323593.16
random_ising_pegasus_P140_inst4,-323717.38
random_ising_pegasus_P140_inst5,-323925.66
random_ising_pegasus_P150_inst1,-371547.9
random_ising_pegasus_P150_inst2,-371372.8
random_ising_pegasus_P150_inst3,-371664.5
random_ising_pegasus_P150_inst4,-371085.1
random_ising_pegasus_P150_inst5,-371724.25
