instance,energy
random_ising_pegasus_P2_inst1,-17.89906
random_ising_pegasus_P2_inst2,-19.976145
random_ising_pegasus_P2_inst3,-21.458672
random_ising_pegasus_P2_inst4,-23.00516
random_ising_pegasus_P2_inst5,-19.071808
random_ising_pegasus_P2_inst6,-21.369926
random_ising_pegasus_P2_inst7,-20.808733
random_ising_pegasus_P2_inst8,-18.70245
random_ising_pegasus_P2_inst9,-20.149233
random_ising_pegasus_P2_inst10,-21.838366
random_ising_pegasus_P2_inst11,-19.6971
random_ising_pegasus_P2_inst12,-18.24354
random_ising_pegasus_P2_inst13,-24.886759
random_ising_pegasus_P2_inst14,-23.986057
random_ising_pegasus_P2_inst15,-22.049343
random_ising_pegasus_P2_inst16,-19.281044
random_ising_pegasus_P2_inst17,-23.66629
random_ising_pegasus_P2_inst18,-18.69974
random_ising_pegasus_P2_inst19,-19.746553
random_ising_pegasus_P2_inst20,-19.812546
random_ising_pegasus_P3_inst1,-77.611244
random_ising_pegasus_P3_inst2,-73.28502
random_ising_pegasus_P3_inst3,-74.76815
random_ising_pegasus_P3_inst4,-73.3476
random_ising_pegasus_P3_inst5,-82.165344
random_ising_pegasus_P3_inst6,-79.41152
random_ising_pegasus_P3_inst7,-77.82013
random_ising_pegasus_P3_inst8,-83.06052
random_ising_pegasus_P3_inst9,-79.629776
random_ising_pegasus_P3_inst10,-73.16248
random_ising_pegasus_P3_inst11,-74.7689
random_ising_pegasus_P3_inst12,-76.217804
random_ising_pegasus_P3_inst13,-71.06459
random_ising_pegasus_P3_inst14,-87.216705
random_ising_pegasus_P3_inst15,-75.18553
random_ising_pegasus_P3_inst16,-74.70746
random_ising_pegasus_P3_inst17,-73.65272
random_ising_pegasus_P3_inst18,-71.93617
random_ising_pegasus_P3_inst19,-75.86743
random_ising_pegasus_P3_inst20,-79.05547
random_ising_pegasus_P4_inst1,-165.08087
random_ising_pegasus_P4_inst2,-152.65956
random_ising_pegasus_P4_inst3,-174.63153
random_ising_pegasus_P4_inst4,-159.38928
random_ising_pegasus_P4_inst5,-163.86163
random_ising_pegasus_P4_inst6,-158.93118
random_ising_pegasus_P4_inst7,-168.37877
random_ising_pegasus_P4_inst8,-166.83899
random_ising_pegasus_P4_inst9,-174.5517
random_ising_pegasus_P4_inst10,-176.53934
random_ising_pegasus_P4_inst11,-166.39526
random_ising_pegasus_P4_inst12,-162.47974
random_ising_pegasus_P4_inst13,-161.96887
random_ising_pegasus_P4_inst14,-183.53912
random_ising_pegasus_P4_inst15,-154.5008
random_ising_pegasus_P4_inst16,-163.7667
random_ising_pegasus_P4_inst17,-165.68584
random_ising_pegasus_P4_inst18,-171.6183
random_ising_pegasus_P4_inst19,-150.32343
random_ising_pegasus_P4_inst20,-156.93701
random_ising_pegasus_P5_inst1,-278.64252
random_ising_pegasus_P5_inst2,-272.4305
random_ising_pegasus_P5_inst3,-279.43796
random_ising_pegasus_P5_inst4,-272.7801
random_ising_pegasus_P5_inst5,-290.66467
random_ising_pegasus_P5_inst6,-303.39258
random_ising_pegasus_P5_inst7,-283.18692
random_ising_pegasus_P5_inst8,-297.51047
random_ising_pegasus_P5_inst9,-282.5343
random_ising_pegasus_P5_inst10,-296.34607
random_ising_pegasus_P5_inst11,-297.3219
random_ising_pegasus_P5_inst12,-286.32928
random_ising_pegasus_P5_inst13,-285.68903
random_ising_pegasus_P5_inst14,-304.58478
random_ising_pegasus_P5_inst15,-291.56516
random_ising_pegasus_P5_inst16,-301.32196
random_ising_pegasus_P5_inst17,-293.71802
random_ising_pegasus_P5_inst18,-291.57623
random_ising_pegasus_P5_inst19,-287.8558
random_ising_pegasus_P5_inst20,-272.87543
random_ising_pegasus_P6_inst1,-428.6585
random_ising_pegasus_P6_inst2,-458.20618
random_ising_pegasus_P6_inst3,-434.10858
random_ising_pegasus_P6_inst4,-432.16235
random_ising_pegasus_P6_inst5,-440.36542
random_ising_pegasus_P6_inst6,-436.1692
random_ising_pegasus_P6_inst7,-442.66138
random_ising_pegasus_P6_inst8,-458.14175
random_ising_pegasus_P6_inst9,-454.19354
random_ising_pegasus_P6_inst10,-439.1454
random_ising_pegasus_P6_inst11,-418.5854
random_ising_pegasus_P6_inst12,-438.87677
random_ising_pegasus_P6_inst13,-459.1223
random_ising_pegasus_P6_inst14,-436.53055
random_ising_pegasus_P6_inst15,-416.9478
random_ising_pegasus_P6_inst16,-451.0592
random_ising_pegasus_P6_inst17,-469.72113
random_ising_pegasus_P6_inst18,-438.70862
random_ising_pegasus_P6_inst19,-440.17407
random_ising_pegasus_P6_inst20,-426.72156
random_ising_pegasus_P7_inst1,-624.9693
random_ising_pegasus_P7_inst2,-640.8578
random_ising_pegasus_P7_inst3,-646.0606
random_ising_pegasus_P7_inst4,-640.9463
random_ising_pegasus_P7_inst5,-638.72974
random_ising_pegasus_P7_inst6,-648.3622
