instance,energy
random_ising_zephyr_Z30_inst1,-23091.236
random_ising_zephyr_Z30_inst2,-23174.27
random_ising_zephyr_Z30_inst3,-23053.113
random_ising_zephyr_Z30_inst4,-23086.318
random_ising_zephyr_Z30_inst5,-23150.988
random_ising_zephyr_Z40_inst1,-40870.008
random_ising_zephyr_Z40_inst2,-40955.312
random_ising_zephyr_Z40_inst3,-40835.51
random_ising_zephyr_Z40_inst4,-41069.742
random_ising_zephyr_Z40_inst5,-40864.64
random_ising_zephyr_Z50_inst1,-63888.625
random_ising_zephyr_Z50_inst2,-63608.055
random_ising_zephyr_Z50_inst3,-63940.668
random_ising_zephyr_Z50_inst4,-64166.492
random_ising_zephyr_Z50_inst5,-63667.53
random_ising_zephyr_Z60_inst1,-91947.234
random_ising_zephyr_Z60_inst2,-91739.586
random_ising_zephyr_Z60_inst3,-91854.39
random_ising_zephyr_Z60_inst4,-91978.664
random_ising_zephyr_Z60_inst5,-92101.19
random_ising_zephyr_Z70_inst1,-124994.15
random_ising_zephyr_Z70_inst2,-124998.33
random_ising_zephyr_Z70_inst3,-125219.11
random_ising_zephyr_Z70_inst4,-124718.195
random_ising_zephyr_Z70_inst5,-125223.46
random_ising_zephyr_Z80_inst1,-163277.0
random_ising_zephyr_Z80_inst2,-163098.17
random_ising_zephyr_Z80_inst3,-162977.47
random_ising_zephyr_Z80_inst4,-163242.86
random_ising_zephyr_Z80_inst5,-162891.7
random_ising_zephyr_Z90_inst1,-206250.75
random_ising_zephyr_Z90_inst2,-206558.03
random_ising_zephyr_Z90_inst3,-206706.75
random_ising_zephyr_Z90_inst4,-206663.17
random_ising_zephyr_Z90_inst5,-206947.81
random_ising_zephyr_Z100_inst1,-255208.62
random_ising_zephyr_Z100_inst2,-254966.75
random_ising_zephyr_Z100_inst3,-255362.4
random_ising_zephyr_Z100_inst4,-255207.84
random_ising_zephyr_Z100_inst5,-255199.1
random_ising_zephyr_Z110_inst1,-308382.8
random_ising_zephyr_Z110_inst2,-307856.9
random_ising_zephyr_Z110_inst3,-308173.75
random_ising_zephyr_Z110_inst4,-308704.78
random_ising_zephyr_Z110_inst5,-307961.56
random_ising_zephyr_Z120_inst1,-366822.47
random_ising_zephyr_Z120_inst2,-366692.56
random_ising_zephyr_Z120_inst3,-366094.75
random_ising_zephyr_Z120_inst4,-367861.75
random_ising_zephyr_Z120_inst5,-367300.5
random_ising_zephyr_Z130_inst1,-430901.5
random_ising_zephyr_Z130_inst2,-430656.25
random_ising_zephyr_Z130_inst3,-430586.3
random_ising_zephyr_Z130_inst4,-430715.28
random_ising_zephyr_Z130_inst5,-430759.84
random_ising_zephyr_Z140_inst1,-498938.5
random_ising_zephyr_Z140_inst2,-499659.3
random_ising_zephyr_Z140_inst3,-499767.12
random_ising_zephyr_Z140_inst4,-499926.06
random_ising_zephyr_Z140_inst5,-499427.6
random_ising_zephyr_Z150_inst1,-573427.5
random_ising_zephyr_Z150_inst2,-572577.5
random_ising_zephyr_Z150_inst3,-573117.25
random_ising_zephyr_Z150_inst4,-573299.56
random_ising_zephyr_Z150_inst5,-572654.1
