instance,energy
random_ising_zephyr_Z1_inst1,-26.023117
random_ising_zephyr_Z1_inst2,-31.84179
random_ising_zephyr_Z1_inst3,-34.393585
random_ising_zephyr_Z1_inst4,-28.997063
random_ising_zephyr_Z1_inst5,-30.668453
random_ising_zephyr_Z1_inst6,-26.285038
random_ising_zephyr_Z1_inst7,-28.868364
random_ising_zephyr_Z1_inst8,-32.95893
random_ising_zephyr_Z1_inst9,-31.798763
random_ising_zephyr_Z1_inst10,-33.469986
random_ising_zephyr_Z1_inst11,-30.400612
random_ising_zephyr_Z1_inst12,-35.654907
random_ising_zephyr_Z1_inst13,-30.204718
random_ising_zephyr_Z1_inst14,-29.68117
random_ising_zephyr_Z1_inst15,-27.445538
random_ising_zephyr_Z1_inst16,-29.871784
random_ising_zephyr_Z1_inst17,-28.919088
random_ising_zephyr_Z1_inst18,-31.42452
random_ising_zephyr_Z1_inst19,-32.78603
random_ising_zephyr_Z1_inst20,-26.381496
random_ising_zephyr_Z2_inst1,-105.89683
random_ising_zephyr_Z2_inst2,-104.17709
random_ising_zephyr_Z2_inst3,-116.96917
random_ising_zephyr_Z2_inst4,-115.79794
random_ising_zephyr_Z2_inst5,-109.18399
random_ising_zephyr_Z2_inst6,-100.88407
random_ising_zephyr_Z2_inst7,-130.56708
random_ising_zephyr_Z2_inst8,-118.55129
random_ising_zephyr_Z2_inst9,-113.37404
random_ising_zephyr_Z2_inst10,-116.387665
random_ising_zephyr_Z2_inst11,-110.86534
random_ising_zephyr_Z2_inst12,-100.627106
random_ising_zephyr_Z2_inst13,-111.09616
random_ising_zephyr_Z2_inst14,-106.971596
random_ising_zephyr_Z2_inst15,-119.18934
random_ising_zephyr_Z2_inst16,-107.063965
random_ising_zephyr_Z2_inst17,-110.01048
random_ising_zephyr_Z2_inst18,-108.60645
random_ising_zephyr_Z2_inst19,-104.08911
random_ising_zephyr_Z2_inst20,-106.75011
random_ising_zephyr_Z3_inst1,-237.13547
random_ising_zephyr_Z3_inst2,-229.6744
