instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomQuboDWaveClique_L=20_dense_1.h5,20,-20.57964,-20.57964,0.0,0.033378989,0.000864201
randomQuboDWaveClique_L=20_dense_10.h5,20,-14.360557,-14.360558,6.6409284e-6,0.032955283,0.000551332
randomQuboDWaveClique_L=20_dense_11.h5,20,-13.713813,-13.713812,-6.954115e-6,0.033430625,0.000401001
randomQuboDWaveClique_L=20_dense_12.h5,20,-14.929839,-14.929839,0.0,0.037441107,0.000391829
randomQuboDWaveClique_L=20_dense_13.h5,20,-14.65277,-14.652771,6.508491e-6,0.033482813,0.000398299
randomQuboDWaveClique_L=20_dense_14.h5,20,-15.697351,-15.697351,0.0,0.033256439,0.000391963
randomQuboDWaveClique_L=20_dense_15.h5,20,-14.045871,-14.045871,0.0,0.03355239,0.000402381
randomQuboDWaveClique_L=20_dense_16.h5,20,-13.276157,-13.276157,0.0,0.033676895,0.000402889
randomQuboDWaveClique_L=20_dense_17.h5,20,-14.154011,-14.154012,6.7378373e-6,0.034174953,0.000395309
randomQuboDWaveClique_L=20_dense_18.h5,20,-14.75699,-14.7569895,-6.462526e-6,0.034049833,0.000541225
randomQuboDWaveClique_L=20_dense_19.h5,20,-16.03534,-16.03534,0.0,0.038715141,0.000478851
randomQuboDWaveClique_L=20_dense_2.h5,20,-18.498547,-18.498545,-1.0310803e-5,0.034236485,0.000455829
randomQuboDWaveClique_L=20_dense_20.h5,20,-16.901285,-16.901285,0.0,0.040950837,0.000456753
randomQuboDWaveClique_L=20_dense_3.h5,20,-15.348883,-15.348884,6.213314e-6,0.033514889,0.000449733
randomQuboDWaveClique_L=20_dense_4.h5,20,-14.79871,-14.79871,0.0,0.034244623,0.000431687
randomQuboDWaveClique_L=20_dense_5.h5,20,-17.174484,-17.174484,0.0,0.034263968,0.000440272
randomQuboDWaveClique_L=20_dense_6.h5,20,-15.129643,-15.129643,0.0,0.034020565,0.000442081
randomQuboDWaveClique_L=20_dense_7.h5,20,-12.204315,-12.204314,-7.814239e-6,0.038652544,0.000471594
randomQuboDWaveClique_L=20_dense_8.h5,20,-13.317307,-13.317307,0.0,0.033735226,0.000443737
randomQuboDWaveClique_L=20_dense_9.h5,20,-17.182028,-17.182028,0.0,0.034538924,0.000467378
randomQuboDWaveClique_L=40_dense_1.h5,40,-40.58461,-40.584614,9.3993685e-6,0.134857773,0.00046876
randomQuboDWaveClique_L=40_dense_10.h5,40,-44.45933,-44.459328,-8.580196e-6,0.033548902,0.0005091
randomQuboDWaveClique_L=40_dense_11.h5,40,-45.71643,-45.71643,0.0,0.032718757,0.000439803
randomQuboDWaveClique_L=40_dense_12.h5,40,-58.963192,-58.963192,0.0,0.033964658,0.000485808
randomQuboDWaveClique_L=40_dense_13.h5,40,-38.28154,-38.281536,-9.964849e-6,0.033249663,0.000456633
randomQuboDWaveClique_L=40_dense_14.h5,40,-49.764816,-49.764816,0.0,0.033253408,0.000471184
randomQuboDWaveClique_L=40_dense_15.h5,40,-39.93513,-39.93513,0.0,0.033476505,0.000462083
randomQuboDWaveClique_L=40_dense_16.h5,40,-49.190098,-49.190098,0.0,0.03354795,0.000437959
randomQuboDWaveClique_L=40_dense_17.h5,40,-52.134975,-52.134975,0.0,0.034047371,0.000439324
randomQuboDWaveClique_L=40_dense_18.h5,40,-43.862457,-43.862457,0.0,0.034086907,0.000467786
randomQuboDWaveClique_L=40_dense_19.h5,40,-43.681767,-43.681767,0.0,0.033932658,0.000455702
