instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomQuboDWaveClique_L=20_dense_1.h5,20,-20.57964,-20.57964,0.0,0.004350288,0.001328038
randomQuboDWaveClique_L=20_dense_10.h5,20,-14.360557,-14.360558,6.6409284e-6,0.002920172,0.000509871
randomQuboDWaveClique_L=20_dense_11.h5,20,-13.713813,-13.713812,-6.954115e-6,0.00293934,0.000429646
randomQuboDWaveClique_L=20_dense_12.h5,20,-14.929838,-14.929839,6.387707e-6,0.002890409,0.000420261
randomQuboDWaveClique_L=20_dense_13.h5,20,-14.652771,-14.652771,0.0,0.002945962,0.000425971
randomQuboDWaveClique_L=20_dense_14.h5,20,-15.697351,-15.697351,0.0,0.003073208,0.000424077
randomQuboDWaveClique_L=20_dense_15.h5,20,-14.045871,-14.045871,0.0,0.003088179,0.000421587
randomQuboDWaveClique_L=20_dense_16.h5,20,-13.276157,-13.276157,0.0,0.003149063,0.000426834
randomQuboDWaveClique_L=20_dense_17.h5,20,-14.154013,-14.154012,-6.7378373e-6,0.003256294,0.000419366
randomQuboDWaveClique_L=20_dense_18.h5,20,-14.7569895,-14.7569895,0.0,0.003153565,0.00042983
randomQuboDWaveClique_L=20_dense_19.h5,20,-16.03534,-16.03534,0.0,0.002992123,0.000421541
randomQuboDWaveClique_L=20_dense_2.h5,20,-18.498547,-18.498545,-1.0310803e-5,0.003013824,0.000435615
randomQuboDWaveClique_L=20_dense_20.h5,20,-16.901283,-16.901285,1.12852285e-5,0.00294253,0.000421128
randomQuboDWaveClique_L=20_dense_3.h5,20,-15.348883,-15.348884,6.213314e-6,0.009218551,0.000758449
randomQuboDWaveClique_L=20_dense_4.h5,20,-14.79871,-14.79871,0.0,0.002643463,0.000411298
randomQuboDWaveClique_L=20_dense_5.h5,20,-17.174484,-17.174484,0.0,0.002628702,0.000403596
randomQuboDWaveClique_L=20_dense_6.h5,20,-15.129643,-15.129643,0.0,0.002615519,0.000399096
randomQuboDWaveClique_L=20_dense_7.h5,20,-12.204315,-12.204314,-7.814239e-6,0.002662471,0.000395818
randomQuboDWaveClique_L=20_dense_8.h5,20,-13.317308,-13.317307,-7.1611644e-6,0.002656682,0.000392111
randomQuboDWaveClique_L=20_dense_9.h5,20,-17.182028,-17.182028,0.0,0.002648048,0.000398819
randomQuboDWaveClique_L=40_dense_1.h5,40,-40.58461,-40.584614,9.3993685e-6,0.002657968,0.00041446
randomQuboDWaveClique_L=40_dense_10.h5,40,-44.45933,-44.459328,-8.580196e-6,0.002646982,0.000425443
randomQuboDWaveClique_L=40_dense_11.h5,40,-45.71643,-45.71643,0.0,0.002634498,0.000413837
randomQuboDWaveClique_L=40_dense_12.h5,40,-58.963192,-58.963192,0.0,0.002612355,0.000414332
randomQuboDWaveClique_L=40_dense_13.h5,40,-38.281536,-38.281536,0.0,0.002610522,0.000437392
randomQuboDWaveClique_L=40_dense_14.h5,40,-49.764816,-49.764816,0.0,0.00260286,0.000410146
randomQuboDWaveClique_L=40_dense_15.h5,40,-39.93513,-39.93513,0.0,0.002653064,0.0004225
randomQuboDWaveClique_L=40_dense_16.h5,40,-49.190098,-49.190098,0.0,0.002655652,0.000407175
randomQuboDWaveClique_L=40_dense_17.h5,40,-52.134975,-52.134975,0.0,0.002705397,0.000414403
randomQuboDWaveClique_L=40_dense_18.h5,40,-43.862457,-43.862457,0.0,0.002709449,0.000408553
randomQuboDWaveClique_L=40_dense_19.h5,40,-43.681767,-43.681767,0.0,0.002713992,0.000410286
randomQuboDWaveClique_L=40_dense_2.h5,40,-38.887123,-38.887123,0.0,0.002685295,0.00041666
randomQuboDWaveClique_L=40_dense_20.h5,40,-41.536312,-41.536312,0.0,0.002667258,0.000411696
randomQuboDWaveClique_L=40_dense_3.h5,40,-39.3988,-39.398796,-9.682269e-6,0.002696342,0.000451673
randomQuboDWaveClique_L=40_dense_4.h5,40,-47.24919,-47.24919,0.0,0.002706661,0.000423413
randomQuboDWaveClique_L=40_dense_5.h5,40,-36.826427,-36.826427,0.0,0.002721941,0.00042101
randomQuboDWaveClique_L=40_dense_6.h5,40,-46.06542,-46.06542,0.0,0.002726839,0.000415172
randomQuboDWaveClique_L=40_dense_7.h5,40,-35.186485,-35.186485,0.0,0.002733224,0.00041582
randomQuboDWaveClique_L=40_dense_8.h5,40,-43.875046,-43.875046,0.0,0.002705314,0.000424484
randomQuboDWaveClique_L=40_dense_9.h5,40,-47.12922,-47.129223,8.094123e-6,0.002741985,0.000416841
randomQuboDWaveClique_L=60_dense_1.h5,60,-79.37093,-79.37093,0.0,0.00298658,0.000449408
randomQuboDWaveClique_L=60_dense_10.h5,60,-77.910736,-77.910736,0.0,0.002953142,0.000462846
randomQuboDWaveClique_L=60_dense_11.h5,60,-73.82185,-73.82185,0.0,0.002848746,0.000464753
randomQuboDWaveClique_L=60_dense_12.h5,60,-79.63569,-79.63569,0.0,0.002839414,0.000487279
randomQuboDWaveClique_L=60_dense_13.h5,60,-65.85873,-65.858734,1.1584484e-5,0.002741723,0.000465901
randomQuboDWaveClique_L=60_dense_14.h5,60,-78.87956,-78.879555,-9.672208e-6,0.002862993,0.000444807
