instance	dwave_energy	cplex_energy	gap	num_var
randomQuboDWaveClique_L=20_dense_1	-20.579638994325702	-20.579638994325702	0.0	60
randomQuboDWaveClique_L=20_dense_10	-14.360557203762202	-14.360557203762202	0.0	60
randomQuboDWaveClique_L=20_dense_11	-13.713812232169747	-13.713812232169747	0.0	60
randomQuboDWaveClique_L=20_dense_12	-14.929838981211681	-14.929838981211681	0.0	60
randomQuboDWaveClique_L=20_dense_13	-14.652770920192818	-14.652770920192818	0.0	60
randomQuboDWaveClique_L=20_dense_14	-15.697351078175044	-15.697351078175044	0.0	60
randomQuboDWaveClique_L=20_dense_15	-14.045870886246298	-14.045870886246298	0.0	60
randomQuboDWaveClique_L=20_dense_16	-13.276157423779894	-13.276157423779894	0.0	60
randomQuboDWaveClique_L=20_dense_17	-14.154011983210465	-14.154011983210465	0.0	60
randomQuboDWaveClique_L=20_dense_18	-14.756989339971396	-14.756989339971396	0.0	60
randomQuboDWaveClique_L=20_dense_19	-16.03533906908303	-16.03533906908303	0.0	60
randomQuboDWaveClique_L=20_dense_2	-18.49854559714218	-18.49854559714218	0.0	60
randomQuboDWaveClique_L=20_dense_20	-16.901284468438785	-16.901284468438785	0.0	60
randomQuboDWaveClique_L=20_dense_3	-15.348883527186127	-15.348883527186127	0.0	60
randomQuboDWaveClique_L=20_dense_4	-14.798709780506464	-14.798709780506464	0.0	60
randomQuboDWaveClique_L=20_dense_5	-17.174483520550297	-17.174483520550297	0.0	60
randomQuboDWaveClique_L=20_dense_6	-15.129643548088074	-15.129643548088074	0.0	60
randomQuboDWaveClique_L=20_dense_7	-12.20431453340065	-12.20431453340065	0.0	60
randomQuboDWaveClique_L=20_dense_8	-13.317307033914105	-13.317307033914105	0.0	60
randomQuboDWaveClique_L=20_dense_9	-17.182027636503822	-17.182027636503822	0.0	60
randomQuboDWaveClique_L=40_dense_1	-40.343355683576114	-40.58461243133805	0.5944537432015672	192
randomQuboDWaveClique_L=40_dense_10	-44.24115120676971	-44.45932956879603	0.490736959244323	192
randomQuboDWaveClique_L=40_dense_11	-44.80668702300374	-45.716431862556234	1.9899734132523494	192
randomQuboDWaveClique_L=40_dense_12	-57.76585440436561	-58.96319334836914	2.0306548475577832	192
randomQuboDWaveClique_L=40_dense_13	-36.553606964774055	-38.28153549310132	4.513738819694567	192
randomQuboDWaveClique_L=40_dense_14	-49.195488168584255	-49.764816511173585	1.1440378614909588	192
randomQuboDWaveClique_L=40_dense_15	-38.0527318254879	-39.93512975174727	4.713639189257937	192
randomQuboDWaveClique_L=40_dense_16	-48.40130769737011	-49.19009918628986	1.6035574271409458	192
randomQuboDWaveClique_L=40_dense_17	-51.23197496593298	-52.13497460680909	1.7320419693043727	192
randomQuboDWaveClique_L=40_dense_18	-42.4719197804328	-43.86245810792364	3.170224350102365	192
randomQuboDWaveClique_L=40_dense_19	-43.56828420489918	-43.68176627393314	0.2597927664424219	192
randomQuboDWaveClique_L=40_dense_2	-37.631012891684954	-38.887124615203355	3.2301481170127726	192
randomQuboDWaveClique_L=40_dense_20	-41.536311529331556	-41.536311529331556	0.0	192
randomQuboDWaveClique_L=40_dense_3	-38.13798971639188	-39.39879634294109	3.200114581102183	192
randomQuboDWaveClique_L=40_dense_4	-47.237474256742914	-47.24919215864879	0.024800216406938875	192
randomQuboDWaveClique_L=40_dense_5	-35.242391538463295	-36.82642560634074	4.30135165657975	192
randomQuboDWaveClique_L=40_dense_6	-46.06541750529201	-46.06541750529201	0.0	192
randomQuboDWaveClique_L=40_dense_7	-33.891678887617815	-35.186486330579214	3.679842968111688	192
randomQuboDWaveClique_L=40_dense_8	-42.88663876880951	-43.875046718900364	2.2527792538282796	192
randomQuboDWaveClique_L=40_dense_9	-46.51746873118441	-47.12922287035067	1.2980357024964173	192
randomQuboDWaveClique_L=60_dense_1	-73.76948358437633	-79.37093427726215	7.057307242117848	408
randomQuboDWaveClique_L=60_dense_10	-72.19163163115438	-77.91073478999692	7.340584290801513	408
randomQuboDWaveClique_L=60_dense_11	-67.69644917924333	-73.82185389351014	8.297549290895425	408
randomQuboDWaveClique_L=60_dense_12	-73.21860063363911	-79.63568803137942	8.058054819858821	408
randomQuboDWaveClique_L=60_dense_13	-56.73630749561479	-65.85873056364049	13.851501524479795	408
randomQuboDWaveClique_L=60_dense_14	-71.727432440765	-78.87955797264281	9.067147072956889	408
randomQuboDWaveClique_L=60_dense_15	-84.0998725875762	-89.95934831591181	6.5134706264865185	408
randomQuboDWaveClique_L=60_dense_16	-67.51814405451525	-71.56621712144536	5.656402182136688	408
randomQuboDWaveClique_L=60_dense_17	-64.15806686562614	-71.95718866464635	10.838558236853462	408
randomQuboDWaveClique_L=60_dense_18	-77.4343219217823	-83.90467192332223	7.7115491345380285	408
randomQuboDWaveClique_L=60_dense_19	-75.33307197952264	-81.26240398049013	7.296525466304238	408
randomQuboDWaveClique_L=60_dense_2	-70.75578719585465	-74.82880323799853	5.443112632964808	408
randomQuboDWaveClique_L=60_dense_20	-73.53228215133537	-77.8978767470307	5.604253643359715	408
randomQuboDWaveClique_L=60_dense_3	-67.55244104563782	-74.60500055488777	9.453199459547347	408
randomQuboDWaveClique_L=60_dense_4	-75.85395757199572	-80.82273192335943	6.147743627467793	408
randomQuboDWaveClique_L=60_dense_5	-63.877652122163454	-70.61736576236537	9.543989027970452	408
randomQuboDWaveClique_L=60_dense_6	-71.75543470532367	-79.58449503382265	9.837419116841424	408
randomQuboDWaveClique_L=60_dense_7	-75.07086535095561	-80.52704122452157	6.775582202695503	408
randomQuboDWaveClique_L=60_dense_8	-81.51477617146298	-88.20215928425716	7.581881404107284	408
randomQuboDWaveClique_L=60_dense_9	-83.42052853814293	-88.5017214153889	5.741349203138141	408
