instance,time_of_embedding[ns]
randomQuboDWaveClique_L=20_dense_1.txt,103233031
randomQuboDWaveClique_L=20_dense_2.txt,48905162
randomQuboDWaveClique_L=20_dense_3.txt,45919017
randomQuboDWaveClique_L=20_dense_4.txt,201359927
randomQuboDWaveClique_L=20_dense_5.txt,45833886
randomQuboDWaveClique_L=20_dense_6.txt,44349037
randomQuboDWaveClique_L=20_dense_7.txt,47870769
randomQuboDWaveClique_L=20_dense_8.txt,49254857
randomQuboDWaveClique_L=20_dense_9.txt,49405827
randomQuboDWaveClique_L=20_dense_10.txt,48986944
randomQuboDWaveClique_L=20_dense_11.txt,49804828
randomQuboDWaveClique_L=20_dense_12.txt,49694744
randomQuboDWaveClique_L=20_dense_13.txt,50985997
randomQuboDWaveClique_L=20_dense_14.txt,73831155
randomQuboDWaveClique_L=20_dense_15.txt,318392874
randomQuboDWaveClique_L=20_dense_16.txt,60594279
randomQuboDWaveClique_L=20_dense_17.txt,54576863
randomQuboDWaveClique_L=20_dense_18.txt,55231480
randomQuboDWaveClique_L=20_dense_19.txt,47201711
randomQuboDWaveClique_L=20_dense_20.txt,51664227
randomQuboDWaveClique_L=40_dense_1.txt,52381559
randomQuboDWaveClique_L=40_dense_2.txt,59948716
randomQuboDWaveClique_L=40_dense_3.txt,51881341
randomQuboDWaveClique_L=40_dense_4.txt,56477334
randomQuboDWaveClique_L=40_dense_5.txt,405163659
randomQuboDWaveClique_L=40_dense_6.txt,89624662
randomQuboDWaveClique_L=40_dense_7.txt,53389024
randomQuboDWaveClique_L=40_dense_8.txt,61039701
randomQuboDWaveClique_L=40_dense_9.txt,55741510
randomQuboDWaveClique_L=40_dense_10.txt,57901521
randomQuboDWaveClique_L=40_dense_11.txt,65023037
randomQuboDWaveClique_L=40_dense_12.txt,43243955
randomQuboDWaveClique_L=40_dense_13.txt,64057249
randomQuboDWaveClique_L=40_dense_14.txt,61517056
randomQuboDWaveClique_L=40_dense_15.txt,71446487
randomQuboDWaveClique_L=40_dense_16.txt,598495078
randomQuboDWaveClique_L=40_dense_17.txt,61560423
randomQuboDWaveClique_L=40_dense_18.txt,59605226
randomQuboDWaveClique_L=40_dense_19.txt,46605325
randomQuboDWaveClique_L=40_dense_20.txt,56566227
randomQuboDWaveClique_L=60_dense_1.txt,53520466
randomQuboDWaveClique_L=60_dense_2.txt,54162990
randomQuboDWaveClique_L=60_dense_3.txt,56665766
randomQuboDWaveClique_L=60_dense_4.txt,52776156
randomQuboDWaveClique_L=60_dense_5.txt,61967075
randomQuboDWaveClique_L=60_dense_6.txt,706565279
randomQuboDWaveClique_L=60_dense_7.txt,63367831
randomQuboDWaveClique_L=60_dense_8.txt,65745941
randomQuboDWaveClique_L=60_dense_9.txt,66587898
randomQuboDWaveClique_L=60_dense_10.txt,69571783
randomQuboDWaveClique_L=60_dense_11.txt,51923421
randomQuboDWaveClique_L=60_dense_12.txt,49880009
randomQuboDWaveClique_L=60_dense_13.txt,52728034
randomQuboDWaveClique_L=60_dense_14.txt,59552672
randomQuboDWaveClique_L=60_dense_15.txt,60602869
randomQuboDWaveClique_L=60_dense_16.txt,866896212
randomQuboDWaveClique_L=60_dense_17.txt,64840120
randomQuboDWaveClique_L=60_dense_18.txt,65982985
randomQuboDWaveClique_L=60_dense_19.txt,69084472
randomQuboDWaveClique_L=60_dense_20.txt,61837681
randomQuboDWaveClique_L=80_dense_1.txt,74765525
randomQuboDWaveClique_L=80_dense_2.txt,58275914
randomQuboDWaveClique_L=80_dense_3.txt,98380517
randomQuboDWaveClique_L=80_dense_4.txt,58287291
randomQuboDWaveClique_L=80_dense_5.txt,949517161
randomQuboDWaveClique_L=80_dense_6.txt,83735178
randomQuboDWaveClique_L=80_dense_7.txt,64382877
randomQuboDWaveClique_L=80_dense_8.txt,86848577
randomQuboDWaveClique_L=80_dense_9.txt,70593836
randomQuboDWaveClique_L=80_dense_10.txt,56532699
randomQuboDWaveClique_L=80_dense_11.txt,61034684
randomQuboDWaveClique_L=80_dense_12.txt,72218758
randomQuboDWaveClique_L=80_dense_13.txt,1072016423
randomQuboDWaveClique_L=80_dense_14.txt,74201481
randomQuboDWaveClique_L=80_dense_15.txt,72917950
randomQuboDWaveClique_L=80_dense_16.txt,65705740
randomQuboDWaveClique_L=80_dense_17.txt,73841759
randomQuboDWaveClique_L=80_dense_18.txt,69744998
randomQuboDWaveClique_L=80_dense_19.txt,62807581
randomQuboDWaveClique_L=80_dense_20.txt,77801965
randomQuboDWaveClique_L=100_dense_1.txt,1172086237
randomQuboDWaveClique_L=100_dense_2.txt,87476131
randomQuboDWaveClique_L=100_dense_3.txt,84801917
randomQuboDWaveClique_L=100_dense_4.txt,78138811
randomQuboDWaveClique_L=100_dense_5.txt,72498967
randomQuboDWaveClique_L=100_dense_6.txt,64314928
randomQuboDWaveClique_L=100_dense_7.txt,86349540
randomQuboDWaveClique_L=100_dense_8.txt,1193426214
randomQuboDWaveClique_L=100_dense_9.txt,75434350
randomQuboDWaveClique_L=100_dense_10.txt,77160736
randomQuboDWaveClique_L=100_dense_11.txt,72529080
randomQuboDWaveClique_L=100_dense_12.txt,65020516
randomQuboDWaveClique_L=100_dense_13.txt,72021011
randomQuboDWaveClique_L=100_dense_14.txt,67521215
randomQuboDWaveClique_L=100_dense_15.txt,1192781657
randomQuboDWaveClique_L=100_dense_16.txt,66966742
randomQuboDWaveClique_L=100_dense_17.txt,72153055
randomQuboDWaveClique_L=100_dense_18.txt,69799557
randomQuboDWaveClique_L=100_dense_19.txt,69220521
randomQuboDWaveClique_L=100_dense_20.txt,72086570
randomQuboDWaveClique_L=120_dense_1.txt,81400775
randomQuboDWaveClique_L=120_dense_2.txt,1339437791
randomQuboDWaveClique_L=120_dense_3.txt,84127838
randomQuboDWaveClique_L=120_dense_4.txt,125060082
randomQuboDWaveClique_L=120_dense_5.txt,88038784
randomQuboDWaveClique_L=120_dense_6.txt,84358894
randomQuboDWaveClique_L=120_dense_7.txt,87282908
randomQuboDWaveClique_L=120_dense_8.txt,1620011135
randomQuboDWaveClique_L=120_dense_9.txt,87950981
randomQuboDWaveClique_L=120_dense_10.txt,90534924
randomQuboDWaveClique_L=120_dense_11.txt,86069629
randomQuboDWaveClique_L=120_dense_12.txt,84372101
randomQuboDWaveClique_L=120_dense_13.txt,87528472
randomQuboDWaveClique_L=120_dense_14.txt,1829067099
randomQuboDWaveClique_L=120_dense_15.txt,80915225
randomQuboDWaveClique_L=120_dense_16.txt,83453582
randomQuboDWaveClique_L=120_dense_17.txt,82195392
randomQuboDWaveClique_L=120_dense_18.txt,77456756
randomQuboDWaveClique_L=120_dense_19.txt,75202861
randomQuboDWaveClique_L=120_dense_20.txt,1613527279
randomQuboDWaveClique_L=140_dense_1.txt,94027859
randomQuboDWaveClique_L=140_dense_2.txt,95838098
randomQuboDWaveClique_L=140_dense_3.txt,97434752
randomQuboDWaveClique_L=140_dense_4.txt,96297090
randomQuboDWaveClique_L=140_dense_5.txt,1648180641
randomQuboDWaveClique_L=140_dense_6.txt,104126508
randomQuboDWaveClique_L=140_dense_7.txt,92425499
randomQuboDWaveClique_L=140_dense_8.txt,89182712
randomQuboDWaveClique_L=140_dense_9.txt,89541449
randomQuboDWaveClique_L=140_dense_10.txt,1700530254
randomQuboDWaveClique_L=140_dense_11.txt,93825877
randomQuboDWaveClique_L=140_dense_12.txt,89825195
randomQuboDWaveClique_L=140_dense_13.txt,88210977
randomQuboDWaveClique_L=140_dense_14.txt,88655681
randomQuboDWaveClique_L=140_dense_15.txt,98508148
randomQuboDWaveClique_L=140_dense_16.txt,1747777047
randomQuboDWaveClique_L=140_dense_17.txt,98359027
randomQuboDWaveClique_L=140_dense_18.txt,91510798
randomQuboDWaveClique_L=140_dense_19.txt,87481104
randomQuboDWaveClique_L=140_dense_20.txt,87509247
randomQuboDWaveClique_L=160_dense_1.txt,1822613660
randomQuboDWaveClique_L=160_dense_2.txt,107935704
randomQuboDWaveClique_L=160_dense_3.txt,102438312
randomQuboDWaveClique_L=160_dense_4.txt,103595419
randomQuboDWaveClique_L=160_dense_5.txt,1890327720
randomQuboDWaveClique_L=160_dense_6.txt,102843959
randomQuboDWaveClique_L=160_dense_7.txt,99339202
randomQuboDWaveClique_L=160_dense_8.txt,98826142
randomQuboDWaveClique_L=160_dense_9.txt,101921723
randomQuboDWaveClique_L=160_dense_10.txt,1894349806
randomQuboDWaveClique_L=160_dense_11.txt,101411315
randomQuboDWaveClique_L=160_dense_12.txt,99783644
randomQuboDWaveClique_L=160_dense_13.txt,105242907
randomQuboDWaveClique_L=160_dense_14.txt,1944235723
