instance,time[ns]
randomQuboDWaveClique_L=20_dense_1.txt,27941918
randomQuboDWaveClique_L=20_dense_2.txt,1786162
randomQuboDWaveClique_L=20_dense_3.txt,1874524
randomQuboDWaveClique_L=20_dense_4.txt,1799179
randomQuboDWaveClique_L=20_dense_5.txt,2082812
randomQuboDWaveClique_L=20_dense_6.txt,1935908
randomQuboDWaveClique_L=20_dense_7.txt,1812523
randomQuboDWaveClique_L=20_dense_8.txt,2135365
randomQuboDWaveClique_L=20_dense_9.txt,2490149
randomQuboDWaveClique_L=20_dense_10.txt,1901053
randomQuboDWaveClique_L=20_dense_11.txt,1752232
randomQuboDWaveClique_L=20_dense_12.txt,1779988
randomQuboDWaveClique_L=20_dense_13.txt,2322302
randomQuboDWaveClique_L=20_dense_14.txt,1820326
randomQuboDWaveClique_L=20_dense_15.txt,1786045
randomQuboDWaveClique_L=20_dense_16.txt,1882846
randomQuboDWaveClique_L=20_dense_17.txt,2237420
randomQuboDWaveClique_L=20_dense_18.txt,1657497
randomQuboDWaveClique_L=20_dense_19.txt,1805555
randomQuboDWaveClique_L=20_dense_20.txt,2519421
randomQuboDWaveClique_L=40_dense_1.txt,3146837
randomQuboDWaveClique_L=40_dense_2.txt,4001285
randomQuboDWaveClique_L=40_dense_3.txt,2833950
randomQuboDWaveClique_L=40_dense_4.txt,3457823
randomQuboDWaveClique_L=40_dense_5.txt,3330045
randomQuboDWaveClique_L=40_dense_6.txt,3339634
randomQuboDWaveClique_L=40_dense_7.txt,3042926
randomQuboDWaveClique_L=40_dense_8.txt,3295585
randomQuboDWaveClique_L=40_dense_9.txt,3015843
randomQuboDWaveClique_L=40_dense_10.txt,3937334
randomQuboDWaveClique_L=40_dense_11.txt,3140272
randomQuboDWaveClique_L=40_dense_12.txt,3205802
randomQuboDWaveClique_L=40_dense_13.txt,4338237
randomQuboDWaveClique_L=40_dense_14.txt,3400443
randomQuboDWaveClique_L=40_dense_15.txt,3169032
randomQuboDWaveClique_L=40_dense_16.txt,3407211
randomQuboDWaveClique_L=40_dense_17.txt,3678046
randomQuboDWaveClique_L=40_dense_18.txt,3250302
randomQuboDWaveClique_L=40_dense_19.txt,4706543
randomQuboDWaveClique_L=40_dense_20.txt,3007476
randomQuboDWaveClique_L=60_dense_1.txt,5254779
