instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWavePegasus_2_dense_1.h5,40,-18.844648,-18.844648,0.0,0.038867988,0.000658642
randomIsingDWavePegasus_2_dense_10.h5,40,-22.405455,-22.405455,0.0,0.032881177,0.00050593
randomIsingDWavePegasus_2_dense_11.h5,40,-21.964588,-21.96459,8.6837435e-6,0.033869441,0.000450908
randomIsingDWavePegasus_2_dense_12.h5,40,-19.928192,-19.928192,0.0,0.032424436,0.000442822
randomIsingDWavePegasus_2_dense_13.h5,40,-20.193409,-20.193409,0.0,0.032676463,0.000457107
randomIsingDWavePegasus_2_dense_14.h5,40,-23.995031,-23.99503,-7.948933e-6,0.034426654,0.000470307
randomIsingDWavePegasus_2_dense_15.h5,40,-25.3662,-25.3662,0.0,0.033831286,0.000439957
randomIsingDWavePegasus_2_dense_16.h5,40,-20.376207,-20.376207,0.0,0.039207538,0.000505892
randomIsingDWavePegasus_2_dense_17.h5,40,-20.982922,-20.982922,0.0,0.033843972,0.000460845
randomIsingDWavePegasus_2_dense_18.h5,40,-22.549805,-22.549803,-8.458383e-6,0.032715348,0.00045935
randomIsingDWavePegasus_2_dense_19.h5,40,-17.991175,-17.991175,0.0,0.033289357,0.000452473
randomIsingDWavePegasus_2_dense_2.h5,40,-21.61429,-21.61429,0.0,0.033765479,0.000451435
randomIsingDWavePegasus_2_dense_20.h5,40,-20.682959,-20.682959,0.0,0.032784688,0.000447294
randomIsingDWavePegasus_2_dense_3.h5,40,-23.627296,-23.627298,8.072648e-6,0.033902882,0.000482
randomIsingDWavePegasus_2_dense_5.h5,40,-21.54823,-21.548231,8.851532e-6,0.033944021,0.000460398
randomIsingDWavePegasus_2_dense_6.h5,40,-20.219152,-20.219154,9.4333745e-6,0.034757389,0.000461439
randomIsingDWavePegasus_2_dense_7.h5,40,-22.613611,-22.613611,0.0,0.034620194,0.000457863
randomIsingDWavePegasus_2_dense_8.h5,40,-20.383505,-20.383505,0.0,0.034132973,0.000452614
randomIsingDWavePegasus_2_dense_9.h5,40,-18.767616,-18.767616,0.0,0.033909575,0.000447013
randomIsingDWavePegasus_3_dense_1.h5,128,-76.94287,-76.94288,9.9156605e-6,0.046727821,0.001041245
randomIsingDWavePegasus_3_dense_10.h5,128,-75.35373,-75.35373,0.0,0.034623115,0.000986688
randomIsingDWavePegasus_3_dense_11.h5,128,-73.27926,-73.27925,-1.0411398e-5,0.046750829,0.000969777
randomIsingDWavePegasus_3_dense_12.h5,128,-71.73505,-71.73505,0.0,0.046664616,0.000954995
randomIsingDWavePegasus_3_dense_13.h5,128,-72.205734,-72.20574,1.0566188e-5,0.034958336,0.000978535
randomIsingDWavePegasus_3_dense_14.h5,128,-81.75226,-81.75226,0.0,0.037541588,0.00098177
randomIsingDWavePegasus_3_dense_15.h5,128,-78.528824,-78.52882,-9.715408e-6,0.034723407,0.000953121
randomIsingDWavePegasus_3_dense_16.h5,128,-77.79281,-77.79281,0.0,0.034665881,0.000958783
randomIsingDWavePegasus_3_dense_17.h5,128,-77.916176,-77.916176,0.0,0.168700272,0.001021045
randomIsingDWavePegasus_3_dense_18.h5,128,-76.83426,-76.83425,-9.929679e-6,0.032957285,0.000981709
randomIsingDWavePegasus_3_dense_2.h5,128,-75.555984,-75.555984,0.0,0.033107372,0.000941874
randomIsingDWavePegasus_3_dense_20.h5,128,-67.39949,-67.39949,0.0,0.03276316,0.000977432
randomIsingDWavePegasus_3_dense_3.h5,128,-77.88358,-77.88359,9.795895e-6,0.033322716,0.000938807
randomIsingDWavePegasus_3_dense_4.h5,128,-82.646095,-82.646095,0.0,0.033566518,0.000915061
randomIsingDWavePegasus_3_dense_5.h5,128,-72.844925,-72.84493,1.0473473e-5,0.033683701,0.000948767
randomIsingDWavePegasus_3_dense_6.h5,128,-74.62683,-74.62682,-1.0223394e-5,0.034140187,0.000961487
randomIsingDWavePegasus_3_dense_7.h5,128,-80.89632,-80.89632,0.0,0.034576152,0.001030587
randomIsingDWavePegasus_3_dense_8.h5,128,-83.96982,-83.96981,-9.0858775e-6,0.034005061,0.00101598
randomIsingDWavePegasus_3_dense_9.h5,128,-76.981766,-76.98176,-9.910652e-6,0.034260957,0.000923532
randomIsingDWavePegasus_4_dense_1.h5,262,-163.09863,-163.09865,9.355558e-6,0.051786594,0.002193161
randomIsingDWavePegasus_4_dense_10.h5,262,-171.68175,-171.68173,-8.887835e-6,0.052491012,0.002072007
randomIsingDWavePegasus_4_dense_11.h5,262,-155.97241,-155.97243,9.783004e-6,0.051486255,0.002030567
