instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWavePegasus_2_dense_1.h5,40,-18.844648,-18.844648,0.0,0.001991785,0.000674601
randomIsingDWavePegasus_2_dense_10.h5,40,-22.405455,-22.405455,0.0,0.001718939,0.000461548
randomIsingDWavePegasus_2_dense_11.h5,40,-21.964588,-21.96459,8.6837435e-6,0.001660387,0.000455464
randomIsingDWavePegasus_2_dense_12.h5,40,-19.928192,-19.928192,0.0,0.001644711,0.000453846
randomIsingDWavePegasus_2_dense_13.h5,40,-20.193409,-20.193409,0.0,0.001632737,0.000457814
randomIsingDWavePegasus_2_dense_14.h5,40,-23.995031,-23.99503,-7.948933e-6,0.001626098,0.000449496
randomIsingDWavePegasus_2_dense_15.h5,40,-25.3662,-25.3662,0.0,0.001629791,0.000455861
randomIsingDWavePegasus_2_dense_16.h5,40,-20.376207,-20.376207,0.0,0.001640434,0.000445161
randomIsingDWavePegasus_2_dense_17.h5,40,-20.982922,-20.982922,0.0,0.001612035,0.000454323
randomIsingDWavePegasus_2_dense_18.h5,40,-22.549805,-22.549803,-8.458383e-6,0.001625702,0.000437558
randomIsingDWavePegasus_2_dense_19.h5,40,-17.991175,-17.991175,0.0,0.001630473,0.000453445
randomIsingDWavePegasus_2_dense_2.h5,40,-21.61429,-21.61429,0.0,0.001653236,0.000452345
randomIsingDWavePegasus_2_dense_20.h5,40,-20.682959,-20.682959,0.0,0.001612091,0.000435851
randomIsingDWavePegasus_2_dense_3.h5,40,-23.627296,-23.627298,8.072648e-6,0.001605117,0.000455301
randomIsingDWavePegasus_2_dense_5.h5,40,-21.54823,-21.548231,8.851532e-6,0.001613609,0.000454817
randomIsingDWavePegasus_2_dense_6.h5,40,-20.219152,-20.219154,9.4333745e-6,0.001632003,0.000453819
randomIsingDWavePegasus_2_dense_7.h5,40,-22.613611,-22.613611,0.0,0.001606045,0.000445568
randomIsingDWavePegasus_2_dense_8.h5,40,-20.383505,-20.383505,0.0,0.001739767,0.000516835
randomIsingDWavePegasus_2_dense_9.h5,40,-18.767616,-18.767616,0.0,0.001623104,0.000443108
randomIsingDWavePegasus_3_dense_1.h5,128,-76.94287,-76.94288,9.9156605e-6,0.0016697,0.000916491
randomIsingDWavePegasus_3_dense_10.h5,128,-75.35373,-75.35373,0.0,0.001684408,0.000945045
randomIsingDWavePegasus_3_dense_11.h5,128,-73.27926,-73.27925,-1.0411398e-5,0.001687439,0.000910732
randomIsingDWavePegasus_3_dense_12.h5,128,-71.73505,-71.73505,0.0,0.00168952,0.000906435
randomIsingDWavePegasus_3_dense_13.h5,128,-72.20574,-72.20574,0.0,0.001684684,0.000909121
randomIsingDWavePegasus_3_dense_14.h5,128,-81.75226,-81.75226,0.0,0.001673001,0.000911211
randomIsingDWavePegasus_3_dense_15.h5,128,-78.528824,-78.52882,-9.715408e-6,0.001688458,0.000914284
randomIsingDWavePegasus_3_dense_16.h5,128,-77.79281,-77.79281,0.0,0.001696351,0.000908007
randomIsingDWavePegasus_3_dense_17.h5,128,-77.916176,-77.916176,0.0,0.001663957,0.000939407
randomIsingDWavePegasus_3_dense_18.h5,128,-76.83426,-76.83425,-9.929679e-6,0.001675803,0.000909231
randomIsingDWavePegasus_3_dense_2.h5,128,-75.555984,-75.555984,0.0,0.001671652,0.000904409
randomIsingDWavePegasus_3_dense_20.h5,128,-67.39949,-67.39949,0.0,0.001679467,0.00089634
