instance	dwave_energy	cplex_energy	gap
randomIsingDWavePegasus_2_dense_1	-18.844647743611535	-18.844647743611535	0.0
randomIsingDWavePegasus_2_dense_10	-22.40545478267732	-22.40545478267732	0.0
randomIsingDWavePegasus_2_dense_11	-21.964589146819183	-21.964589146819183	0.0
randomIsingDWavePegasus_2_dense_12	-19.92819248149339	-19.92819248149339	0.0
randomIsingDWavePegasus_2_dense_13	-20.193409744988276	-20.193409744988276	0.0
randomIsingDWavePegasus_2_dense_14	-23.995029971636917	-23.995029971636917	0.0
randomIsingDWavePegasus_2_dense_15	-25.366200174256683	-25.366200174256683	0.0
randomIsingDWavePegasus_2_dense_16	-20.376207722492286	-20.376207722492286	0.0
randomIsingDWavePegasus_2_dense_17	-20.98292198376027	-20.98292198376027	0.0
randomIsingDWavePegasus_2_dense_18	-22.5498033410272	-22.5498033410272	0.0
randomIsingDWavePegasus_2_dense_19	-17.991174584739625	-17.991174584739625	0.0
randomIsingDWavePegasus_2_dense_2	-21.614290079904304	-21.614290079904304	0.0
randomIsingDWavePegasus_2_dense_20	-20.682959333648597	-20.682959333648597	0.0
randomIsingDWavePegasus_2_dense_3	-23.62729823630545	-23.62729823630545	0.0
randomIsingDWavePegasus_2_dense_5	-21.54823053580373	-21.54823053580373	0.0
randomIsingDWavePegasus_2_dense_6	-20.21915369206294	-20.21915369206294	0.0
randomIsingDWavePegasus_2_dense_7	-22.613611357560476	-22.613611357560476	0.0
randomIsingDWavePegasus_2_dense_8	-20.383505373795373	-20.383505373795373	0.0
randomIsingDWavePegasus_2_dense_9	-18.767617052244386	-18.767617052244386	0.0
randomIsingDWavePegasus_3_dense_1	-76.94287521570116	-76.94287521570116	0.0
randomIsingDWavePegasus_3_dense_10	-75.35373135548524	-75.35373135548524	0.0
randomIsingDWavePegasus_3_dense_11	-73.2792544838101	-73.2792544838101	0.0
randomIsingDWavePegasus_3_dense_12	-71.73504263240726	-71.73504263240726	0.0
randomIsingDWavePegasus_3_dense_13	-72.20573992384215	-72.20573992384215	0.0
randomIsingDWavePegasus_3_dense_14	-81.75225562587411	-81.75225562587411	0.0
randomIsingDWavePegasus_3_dense_15	-78.5288177186441	-78.5288177186441	0.0
randomIsingDWavePegasus_3_dense_16	-77.79280964885191	-77.79280964885191	0.0
randomIsingDWavePegasus_3_dense_17	-77.91617336380683	-77.91617336380683	0.0
randomIsingDWavePegasus_3_dense_18	-76.83425404957258	-76.83425404957258	0.0
randomIsingDWavePegasus_3_dense_2	-75.55598479817668	-75.55598479817668	0.0
randomIsingDWavePegasus_3_dense_20	-67.39949350110729	-67.39949350110729	0.0
randomIsingDWavePegasus_3_dense_3	-77.88358718382007	-77.88358718382007	0.0
randomIsingDWavePegasus_3_dense_4	-82.64609582680197	-82.64609582680197	0.0
randomIsingDWavePegasus_3_dense_5	-72.84493080628386	-72.84493080628386	0.0
randomIsingDWavePegasus_3_dense_6	-74.62682673915658	-74.62682673915658	0.0
randomIsingDWavePegasus_3_dense_7	-80.8963142141336	-80.8963142141336	0.0
randomIsingDWavePegasus_3_dense_8	-83.96981106094168	-83.96981106094168	0.0
randomIsingDWavePegasus_3_dense_9	-76.98176076462632	-76.98176076462632	0.0
randomIsingDWavePegasus_4_dense_1	-163.09864602084286	-163.09864602084286	0.0
randomIsingDWavePegasus_4_dense_10	-171.68173735702277	-171.68173735702277	0.0
randomIsingDWavePegasus_4_dense_11	-155.97242268545958	-155.97242268545958	0.0
randomIsingDWavePegasus_4_dense_12	-173.35021775472754	-173.35021775472754	0.0
randomIsingDWavePegasus_4_dense_13	-151.23564530532926	-151.23564530532926	0.0
randomIsingDWavePegasus_4_dense_14	-171.2721607279985	-171.2721607279985	0.0
randomIsingDWavePegasus_4_dense_15	-159.81594679527237	-159.84031805459878	0.015247254023912861
randomIsingDWavePegasus_4_dense_16	-167.44856391593416	-167.44856391593416	0.0
randomIsingDWavePegasus_4_dense_17	-165.9053881401218	-165.9053881401218	0.0
randomIsingDWavePegasus_4_dense_18	-162.49787949177517	-162.50035378059187	0.0015226359568672335
randomIsingDWavePegasus_4_dense_19	-165.2085844667622	-165.2085844667622	0.0
randomIsingDWavePegasus_4_dense_2	-151.52966998377204	-151.52966998377204	0.0
randomIsingDWavePegasus_4_dense_20	-165.57076343600227	-165.57076343600227	0.0
randomIsingDWavePegasus_4_dense_3	-164.39812932306702	-164.46896168888844	0.04306731500828973
randomIsingDWavePegasus_4_dense_4	-165.10476276239368	-165.10476276239368	0.0
randomIsingDWavePegasus_4_dense_5	-153.00971797165096	-153.2304141894234	0.1440289898972874
randomIsingDWavePegasus_4_dense_6	-175.35135225305368	-175.35135225305368	0.0
randomIsingDWavePegasus_4_dense_7	-165.99569427012622	-165.99569427012622	0.0
randomIsingDWavePegasus_4_dense_8	-174.911009155359	-174.911009155359	0.0
randomIsingDWavePegasus_4_dense_9	-168.6277384940982	-168.6277384940982	0.0
randomIsingDWavePegasus_5_dense_1	-276.036073192551	-276.1995634348874	0.05919279534812311
randomIsingDWavePegasus_5_dense_10	-275.2675898656961	-275.28528332657464	0.006427318113317846
randomIsingDWavePegasus_5_dense_11	-278.6130053996102	-278.6130053996102	0.0
randomIsingDWavePegasus_5_dense_12	-293.36017741676756	-293.4057669124128	0.015538036666757309
randomIsingDWavePegasus_5_dense_13	-290.86351778534134	-290.8830575880927	0.006717408333565738
randomIsingDWavePegasus_5_dense_14	-296.0897884535431	-296.0897884535431	0.0
randomIsingDWavePegasus_5_dense_15	-291.74817789652224	-292.12850313285236	0.13019107421953985
randomIsingDWavePegasus_5_dense_16	-284.6367240134049	-284.6367240134049	0.0
randomIsingDWavePegasus_5_dense_17	-283.1333399314906	-283.3029882658454	0.05988229612163835
randomIsingDWavePegasus_5_dense_18	-290.40577711858896	-290.4551553604675	0.017000297969314376
randomIsingDWavePegasus_5_dense_19	-285.0147211485918	-285.0416285529729	0.009439815692085697
randomIsingDWavePegasus_5_dense_2	-284.06236964548384	-284.3356767331498	0.0961212784853781
randomIsingDWavePegasus_5_dense_20	-290.25759131981545	-290.31748959100196	0.02063198854154338
randomIsingDWavePegasus_5_dense_3	-273.96192883807055	-274.2798192545171	0.11590003862135696
randomIsingDWavePegasus_5_dense_4	-278.7648423174585	-279.0417084026392	0.09922032328629525
randomIsingDWavePegasus_5_dense_5	-279.99425349958005	-280.0003607554629	0.0021811600050710344
randomIsingDWavePegasus_5_dense_6	-291.7619022814762	-291.77022705538764	0.002853195130795067
randomIsingDWavePegasus_5_dense_7	-274.26338554694604	-274.3445989525722	0.029602698918158154
randomIsingDWavePegasus_5_dense_8	-289.7078954160284	-289.7754410176028	0.023309636364354895
randomIsingDWavePegasus_5_dense_9	-281.93238667953756	-281.9561395452413	0.00842431228560501
randomIsingDWavePegasus_6_dense_1	-443.80430568462856	-444.3125303630525	0.11438450273023784
randomIsingDWavePegasus_6_dense_10	-411.0010839128856	-411.95362792201644	0.23122602753511357
randomIsingDWavePegasus_6_dense_11	-432.76969995092406	-432.99901316017764	0.052959291426548066
randomIsingDWavePegasus_6_dense_12	-449.76269475363523	-450.1723007136995	0.09098870797134093
randomIsingDWavePegasus_6_dense_13	-446.81479851689056	-447.1013893695016	0.06409974547723399
randomIsingDWavePegasus_6_dense_14	-417.7662228218771	-417.9962076189394	0.055020785564639796
randomIsingDWavePegasus_6_dense_15	-442.50776954498104	-443.2088630499433	0.15818580434914944
randomIsingDWavePegasus_6_dense_16	-442.5586415260434	-443.19597425440134	0.14380381713307128
randomIsingDWavePegasus_6_dense_17	-429.35663746961353	-429.76004807006234	0.09386880010378289
randomIsingDWavePegasus_6_dense_18	-429.06669551742885	-429.80390550778134	0.1715224037998268
randomIsingDWavePegasus_6_dense_19	-427.36300951917565	-428.90197882989116	0.35881609008054804
randomIsingDWavePegasus_6_dense_2	-449.43715332849746	-449.6167226088745	0.03993830107899723
randomIsingDWavePegasus_6_dense_20	-471.01350904205395	-471.2878085457589	0.058202121661352385
randomIsingDWavePegasus_6_dense_3	-436.3110062366309	-436.6146774456487	0.06955130569462112
randomIsingDWavePegasus_6_dense_4	-456.59798586650646	-456.9956520276692	0.08701749336089602
randomIsingDWavePegasus_6_dense_5	-442.5023840589629	-442.85793934961873	0.080286534137338
randomIsingDWavePegasus_6_dense_6	-444.71771864748945	-445.2202749312726	0.11287812170296077
randomIsingDWavePegasus_6_dense_7	-450.21499843029744	-450.73788480780223	0.11600675140225948
randomIsingDWavePegasus_6_dense_8	-438.06256552611444	-438.49245329872355	0.09803766732474294
randomIsingDWavePegasus_6_dense_9	-439.1597461882268	-439.3534521713962	0.04408887245839965
randomIsingDWavePegasus_7_dense_1	-640.788142917478	-641.9505647990019	0.1810765416006495
randomIsingDWavePegasus_7_dense_10	-623.6588870141113	-624.2928146864717	0.10154332349296402
randomIsingDWavePegasus_7_dense_11	-638.2855406518789	-639.1992468462307	0.1429454428896715
randomIsingDWavePegasus_7_dense_12	-652.4000007983049	-653.1490325286319	0.1146800642767848
randomIsingDWavePegasus_7_dense_13	-648.62752001886	-649.2444974863678	0.09503006492877723
randomIsingDWavePegasus_7_dense_14	-624.7824433024748	-625.7175739328629	0.14944931536931166
randomIsingDWavePegasus_7_dense_15	-614.172312511802	-615.4476877438458	0.20722723595227455
randomIsingDWavePegasus_7_dense_16	-637.1330840920392	-638.4406911678853	0.20481261516307162
randomIsingDWavePegasus_7_dense_17	-637.2915356719578	-638.256825545702	0.15123847252535735
randomIsingDWavePegasus_7_dense_18	-626.362356788076	-627.7632004146802	0.22314841419166903
randomIsingDWavePegasus_7_dense_19	-630.1950111654953	-631.134605254231	0.14887380297539216
randomIsingDWavePegasus_7_dense_2	-619.3987453480428	-620.4435366234893	0.16839425568559838
randomIsingDWavePegasus_7_dense_20	-626.0267171521641	-628.02520764652	0.3182181972989759
randomIsingDWavePegasus_7_dense_3	-635.2157806242774	-635.7699523102341	0.08716544151590956
randomIsingDWavePegasus_7_dense_4	-625.0552915698829	-625.6805747867113	0.09993649188190735
randomIsingDWavePegasus_7_dense_5	-637.5465645557216	-638.3093147165714	0.11949538307904674
randomIsingDWavePegasus_7_dense_6	-627.1462823671192	-627.8005463648727	0.10421526415386503
randomIsingDWavePegasus_7_dense_7	-658.8247099235629	-659.6844981048237	0.1303332401672074
randomIsingDWavePegasus_7_dense_8	-636.2228739140788	-636.8161522048852	0.09316319769091645
randomIsingDWavePegasus_7_dense_9	-649.0082773353358	-649.8346298752069	0.1271635123584883
randomIsingDWavePegasus_8_dense_1	-863.0202982606336	-864.4058620241688	0.16029088006074094
randomIsingDWavePegasus_8_dense_10	-855.2418961586394	-856.9488735680275	0.19919244450148102
randomIsingDWavePegasus_8_dense_11	-844.3750780573089	-845.3066202730494	0.11020169408345261
randomIsingDWavePegasus_8_dense_12	-848.7091504989602	-850.0002984968015	0.15189971110888897
randomIsingDWavePegasus_8_dense_13	-853.8132313201911	-855.8714010086277	0.2404765115426296
randomIsingDWavePegasus_8_dense_14	-859.531995775407	-861.3641854410571	0.21270789947133514
randomIsingDWavePegasus_8_dense_15	-848.5592843135871	-850.2890846357179	0.20343673150548525
randomIsingDWavePegasus_8_dense_16	-821.2889733823689	-823.1094445482048	0.22117000089035946
randomIsingDWavePegasus_8_dense_17	-883.0157493011916	-883.8577342887171	0.09526250151593602
randomIsingDWavePegasus_8_dense_18	-851.3998284129752	-853.5275799066708	0.24928913180851178
randomIsingDWavePegasus_8_dense_19	-850.9473982982508	-851.9319321329344	0.11556484709038506
randomIsingDWavePegasus_8_dense_2	-863.256331347846	-863.8438204452235	0.06800871679266811
randomIsingDWavePegasus_8_dense_20	-821.3823103959394	-823.22204423018	0.2234796610628939
randomIsingDWavePegasus_8_dense_3	-833.8330968379555	-834.7758582592942	0.11293587518265737
randomIsingDWavePegasus_8_dense_4	-839.0483611588547	-840.3886199671017	0.15948083736538918
randomIsingDWavePegasus_8_dense_5	-846.5508737951081	-847.8815842351876	0.15694531699019812
randomIsingDWavePegasus_8_dense_6	-855.4956826166772	-856.5447549204509	0.12247723166213127
randomIsingDWavePegasus_8_dense_7	-829.756776207357	-830.59624336418	0.10106801752713661
randomIsingDWavePegasus_8_dense_8	-843.0285489947303	-844.5661057354155	0.182052858887388
randomIsingDWavePegasus_8_dense_9	-843.1498392089059	-844.5838978955242	0.1697946989270798
randomIsingDWavePegasus_9_dense_1	-1083.8133302753874	-1087.100645438001	0.30239289953591286
randomIsingDWavePegasus_9_dense_10	-1114.011118274689	-1116.0370616210619	0.18153011365323782
randomIsingDWavePegasus_9_dense_11	-1093.1720231275601	-1095.3699067974687	0.20065218665122497
randomIsingDWavePegasus_9_dense_12	-1108.7458556316333	-1110.7362650059645	0.17919729795808054
randomIsingDWavePegasus_9_dense_13	-1098.268987232499	-1101.3922313085832	0.28357237206706454
randomIsingDWavePegasus_9_dense_14	-1114.4066283276675	-1116.9678158258212	0.2292982359800665
