instance,size,density,sa_energy,kerberos_energy,gap,kerberos_runtime
randomIsingDWavePegasus_20_sparse_1.h5,8968,0.001727024663368456,-6193.528441143297,-6208.341374541513,-0.2391679240514095,40.789044636
randomIsingDWavePegasus_20_sparse_10.h5,8968,0.001727024663368456,-6080.15979867786,-6096.645266357742,-0.27113543435925924,25.770646874
randomIsingDWavePegasus_20_sparse_2.h5,8968,0.001727024663368456,-6173.692241475679,-6187.6861763463285,-0.2266704319440521,22.663131188
randomIsingDWavePegasus_20_sparse_3.h5,8968,0.001727024663368456,-6130.84136161652,-6147.588142369853,-0.27315632171107773,17.031766683
randomIsingDWavePegasus_20_sparse_4.h5,8968,0.001727024663368456,-6117.957256843949,-6135.022684229274,-0.2789399577160278,30.157886534
randomIsingDWavePegasus_20_sparse_5.h5,8968,0.001727024663368456,-6158.781397904743,-6173.916300101628,-0.24574507875914312,37.379161605
randomIsingDWavePegasus_20_sparse_6.h5,8968,0.001727024663368456,-6115.983887614898,-6131.359249739451,-0.251396380485713,26.599960115
randomIsingDWavePegasus_20_sparse_7.h5,8968,0.001727024663368456,-6174.903644803736,-6190.137129204129,-0.24669995317599358,29.042708889
randomIsingDWavePegasus_20_sparse_8.h5,8968,0.001727024663368456,-6075.220083145641,-6091.6621475010525,-0.2706414603978901,20.515603019
randomIsingDWavePegasus_20_sparse_9.h5,8968,0.001727024663368456,-6129.064304447962,-6143.48055698558,-0.2352113115725618,17.943740658
randomIsingDWavePegasus_30_sparse_1.h5,20648,0.0007584933921643891,-14075.336647437636,-14118.167297451966,-0.30429574146013083,198.151170399
randomIsingDWavePegasus_30_sparse_10.h5,20648,0.0007584933921643891,-14287.816441138853,-14326.996073020155,-0.27421707188574657,120.157305739
randomIsingDWavePegasus_30_sparse_2.h5,20648,0.0007584933921643891,-14037.849588183706,-14077.502404044026,-0.2824707275229475,98.743757853
randomIsingDWavePegasus_30_sparse_3.h5,20648,0.0007584933921643891,-14196.175464823606,-14236.763424420224,-0.2859077058971978,158.338284285
randomIsingDWavePegasus_30_sparse_4.h5,20648,0.0007584933921643891,-14208.334251836583,-14247.69879039742,-0.27705245289925245,145.541818542
randomIsingDWavePegasus_30_sparse_5.h5,20648,0.0007584933921643891,-14256.946052622834,-14295.872546565151,-0.2730352895959519,159.951841277
randomIsingDWavePegasus_30_sparse_6.h5,20648,0.0007584933921643891,-14092.23646357578,-14133.222794136143,-0.2908433353804449,101.62012108
randomIsingDWavePegasus_30_sparse_7.h5,20648,0.0007584933921643891,-14053.159511018217,-14093.617594074381,-0.2878931461956564,212.920656876
randomIsingDWavePegasus_30_sparse_8.h5,20648,0.0007584933921643891,-14129.936047935571,-14170.124621533665,-0.28442148260087674,99.893669812
randomIsingDWavePegasus_30_sparse_9.h5,20648,0.0007584933921643891,-14334.94721375663,-14374.41594728344,-0.2753322557681518,117.557074858
randomIsingDWavePegasus_40_sparse_1.h5,37128,0.00042412834724329457,-25616.29230853346,-25687.934417558754,-0.2796739987286503,488.027468726
