instance,size,density,sa_energy,velox_energy,gap,runtime_velox,runtime_sa
randomIsingDWavePegasus_17_sparse_1.h5,6400,0.00224921875,-4288.715,-4299.7915,-0.25827459,0.321504665,228.643557693
randomIsingDWavePegasus_17_sparse_10.h5,6400,0.00224921875,-4424.554,-4433.549,-0.20328893,0.318894267,103.703991569
randomIsingDWavePegasus_17_sparse_2.h5,6400,0.00224921875,-4326.2563,-4336.475,-0.23620306,0.358520272,102.869069184
randomIsingDWavePegasus_17_sparse_3.h5,6400,0.00224921875,-4383.6143,-4395.456,-0.27013776,0.319175441,103.21611852
randomIsingDWavePegasus_17_sparse_4.h5,6400,0.00224921875,-4332.9434,-4343.961,-0.2542747,0.318195431,102.776504649
randomIsingDWavePegasus_17_sparse_5.h5,6400,0.00224921875,-4337.703,-4347.968,-0.23663786,0.331654823,103.435690563
randomIsingDWavePegasus_17_sparse_6.h5,6400,0.00224921875,-4345.919,-4356.785,-0.2500325,0.31223558,102.844836223
randomIsingDWavePegasus_17_sparse_7.h5,6400,0.00224921875,-4347.6074,-4358.4556,-0.24951987,0.323122157,102.716938388
randomIsingDWavePegasus_17_sparse_8.h5,6400,0.00224921875,-4409.8677,-4419.747,-0.22402927,0.314691927,103.669730608
randomIsingDWavePegasus_17_sparse_9.h5,6400,0.00224921875,-4300.831,-4311.7,-0.25272188,0.321417807,103.641090416
randomIsingDWavePegasus_18_sparse_1.h5,7208,0.0020018760755406806,-4880.768,-4892.2,-0.23422807,0.366889197,117.07703983
randomIsingDWavePegasus_18_sparse_10.h5,7208,0.0020018760755406806,-4877.293,-4888.375,-0.22721684,0.359475161,117.00241969
randomIsingDWavePegasus_18_sparse_2.h5,7208,0.0020018760755406806,-4900.6187,-4913.4307,-0.2614366,0.364740403,116.513324269
randomIsingDWavePegasus_18_sparse_3.h5,7208,0.0020018760755406806,-4876.4097,-4889.4165,-0.26672977,0.359030436,116.634752399
randomIsingDWavePegasus_18_sparse_4.h5,7208,0.0020018760755406806,-4935.979,-4946.09,-0.2048396,0.365157117,116.88332253
randomIsingDWavePegasus_18_sparse_5.h5,7208,0.0020018760755406806,-4891.2695,-4902.446,-0.22849424,0.36069737,116.588699674
randomIsingDWavePegasus_18_sparse_6.h5,7208,0.0020018760755406806,-4897.1553,-4909.1846,-0.24563847,0.359000838,116.917998378
randomIsingDWavePegasus_18_sparse_7.h5,7208,0.0020018760755406806,-4875.884,-4888.2773,-0.25418067,0.466924559,116.870410764
randomIsingDWavePegasus_18_sparse_8.h5,7208,0.0020018760755406806,-4961.8506,-4973.316,-0.23106967,0.37709113,116.634417538
randomIsingDWavePegasus_18_sparse_9.h5,7208,0.0020018760755406806,-4885.378,-4898.5835,-0.27030796,0.368453865,117.138579026
randomIsingDWavePegasus_19_sparse_1.h5,8064,0.0017931941295036534,-5585.0547,-5599.8813,-0.2654703,0.413157797,130.697045158
randomIsingDWavePegasus_19_sparse_10.h5,8064,0.0017931941295036534,-5582.6504,-5595.923,-0.2377448,0.414284511,130.623415553
randomIsingDWavePegasus_19_sparse_2.h5,8064,0.0017931941295036534,-5437.091,-5452.2427,-0.2786758,0.408385926,130.799292944
randomIsingDWavePegasus_19_sparse_3.h5,8064,0.0017931941295036534,-5559.497,-5571.939,-0.22379532,0.533636309,130.653645958
randomIsingDWavePegasus_19_sparse_4.h5,8064,0.0017931941295036534,-5496.994,-5509.634,-0.22993746,0.418762727,130.704394283
randomIsingDWavePegasus_19_sparse_5.h5,8064,0.0017931941295036534,-5548.796,-5562.106,-0.2398729,0.409463741,130.703816365
randomIsingDWavePegasus_19_sparse_6.h5,8064,0.0017931941295036534,-5505.324,-5519.958,-0.26581156,0.412585761,130.913457218
randomIsingDWavePegasus_19_sparse_7.h5,8064,0.0017931941295036534,-5441.548,-5455.3896,-0.25437242,0.410781234,130.919193071
randomIsingDWavePegasus_19_sparse_8.h5,8064,0.0017931941295036534,-5448.7764,-5463.878,-0.27715513,0.407379075,130.800530929
randomIsingDWavePegasus_19_sparse_9.h5,8064,0.0017931941295036534,-5543.9883,-5556.0645,-0.21782464,0.415159559,130.85696595
randomIsingDWavePegasus_20_sparse_1.h5,8968,0.001615517080852845,-6193.529,-6209.5435,-0.25857064,0.583404684,145.838371885
randomIsingDWavePegasus_20_sparse_10.h5,8968,0.001615517080852845,-6080.16,-6097.62,-0.28716284,0.451183713,145.865214666
randomIsingDWavePegasus_20_sparse_2.h5,8968,0.001615517080852845,-6173.6924,-6188.624,-0.24185917,0.456014933,145.841841994
randomIsingDWavePegasus_20_sparse_3.h5,8968,0.001615517080852845,-6130.842,-6146.8105,-0.26046586,0.448067319,145.750439613
randomIsingDWavePegasus_20_sparse_4.h5,8968,0.001615517080852845,-6117.957,-6134.704,-0.2737363,0.458566049,145.756579236
randomIsingDWavePegasus_20_sparse_5.h5,8968,0.001615517080852845,-6158.7812,-6174.34,-0.25262454,0.463982436,145.762686665
randomIsingDWavePegasus_20_sparse_6.h5,8968,0.001615517080852845,-6115.984,-6131.9614,-0.26124233,0.586564127,145.802339698
randomIsingDWavePegasus_20_sparse_7.h5,8968,0.001615517080852845,-6174.9033,-6190.744,-0.25653553,0.450027908,145.754769066
randomIsingDWavePegasus_20_sparse_8.h5,8968,0.001615517080852845,-6075.22,-6092.21,-0.27965647,0.472014827,145.880766919
randomIsingDWavePegasus_20_sparse_9.h5,8968,0.001615517080852845,-6129.0645,-6143.6387,-0.23778863,0.711222178,145.798432309
randomIsingDWavePegasus_30_sparse_1.h5,20648,0.0007100625514049935,-14075.336,-14116.398,-0.2917337,1.154455468,334.944876626
randomIsingDWavePegasus_30_sparse_10.h5,20648,0.0007100625514049935,-14287.816,-14326.62,-0.271586,1.173229175,334.738266642
randomIsingDWavePegasus_30_sparse_2.h5,20648,0.0007100625514049935,-14037.85,-14077.217,-0.28043604,1.151574449,334.997674299
randomIsingDWavePegasus_30_sparse_3.h5,20648,0.0007100625514049935,-14196.176,-14237.195,-0.28894776,1.147428305,334.763672103
randomIsingDWavePegasus_30_sparse_4.h5,20648,0.0007100625514049935,-14208.334,-14247.486,-0.275559,1.176204611,334.732712708
randomIsingDWavePegasus_30_sparse_5.h5,20648,0.0007100625514049935,-14256.946,-14295.189,-0.26824233,1.144951794,334.679661336
randomIsingDWavePegasus_30_sparse_6.h5,20648,0.0007100625514049935,-14092.236,-14134.061,-0.29678908,1.140024602,334.941465565
randomIsingDWavePegasus_30_sparse_7.h5,20648,0.0007100625514049935,-14053.159,-14092.025,-0.27656564,1.271359883,334.959951493
randomIsingDWavePegasus_30_sparse_8.h5,20648,0.0007100625514049935,-14129.936,-14170.143,-0.28455213,1.139444348,334.893169482
randomIsingDWavePegasus_30_sparse_9.h5,20648,0.0007100625514049935,-14334.947,-14373.6455,-0.26995733,1.832835716,334.755605849
randomIsingDWavePegasus_40_sparse_1.h5,37128,0.00039719449678003233,-25616.293,-25688.03,-0.2800418,2.13761228,599.146212751
randomIsingDWavePegasus_40_sparse_10.h5,37128,0.00039719449678003233,-25503.74,-25574.69,-0.27819142,2.095934146,599.251521431
randomIsingDWavePegasus_40_sparse_2.h5,37128,0.00039719449678003233,-25693.262,-25768.264,-0.29191294,2.232529562,598.991725117
randomIsingDWavePegasus_40_sparse_3.h5,37128,0.00039719449678003233,-25557.352,-25626.734,-0.2714789,2.140201214,599.241104584
randomIsingDWavePegasus_40_sparse_4.h5,37128,0.00039719449678003233,-25499.395,-25577.445,-0.30608875,2.090280112,599.171760081
randomIsingDWavePegasus_40_sparse_5.h5,37128,0.00039719449678003233,-25406.016,-25481.3,-0.29632807,2.091571252,599.285290073
randomIsingDWavePegasus_40_sparse_6.h5,37128,0.00039719449678003233,-25409.232,-25485.758,-0.3011716,2.213588321,599.315041931
randomIsingDWavePegasus_40_sparse_7.h5,37128,0.00039719449678003233,-25483.965,-25559.332,-0.29574358,2.214843047,599.143900778
randomIsingDWavePegasus_40_sparse_8.h5,37128,0.00039719449678003233,-25531.676,-25604.814,-0.2864625,2.086584919,599.211809022
randomIsingDWavePegasus_40_sparse_9.h5,37128,0.00039719449678003233,-25573.016,-25648.816,-0.29640925,2.180715725,599.284406109
randomIsingDWavePegasus_50_sparse_1.h5,58408,0.0002533575853986788,-40057.65,-40175.516,-0.2942439,3.393631136,939.591880322
randomIsingDWavePegasus_50_sparse_10.h5,58408,0.0002533575853986788,-40333.45,-40455.832,-0.3034276,3.386898062,939.288126083
randomIsingDWavePegasus_50_sparse_2.h5,58408,0.0002533575853986788,-40039.676,-40162.68,-0.30720505,3.389648777,939.697911552
randomIsingDWavePegasus_50_sparse_3.h5,58408,0.0002533575853986788,-40265.812,-40385.074,-0.29618606,3.401766861,939.423429306
randomIsingDWavePegasus_50_sparse_4.h5,58408,0.0002533575853986788,-40210.984,-40328.004,-0.29101384,3.408460404,940.27115549
randomIsingDWavePegasus_50_sparse_5.h5,58408,0.0002533575853986788,-40185.99,-40307.203,-0.30163458,3.397334826,939.408805219
randomIsingDWavePegasus_50_sparse_6.h5,58408,0.0002533575853986788,-40378.465,-40501.145,-0.30382454,3.403603007,939.515504992
randomIsingDWavePegasus_50_sparse_7.h5,58408,0.0002533575853986788,-40083.0,-40205.664,-0.30602515,3.400311153,939.642521855
randomIsingDWavePegasus_50_sparse_8.h5,58408,0.0002533575853986788,-40298.902,-40422.15,-0.30582988,3.394719124,939.347316436
randomIsingDWavePegasus_50_sparse_9.h5,58408,0.0002533575853986788,-40200.094,-40316.562,-0.2897226,3.410601746,939.353115675
randomIsingDWavePegasus_60_sparse_1.h5,84488,0.0001755518355580053,-58257.785,-58429.457,-0.29467627,4.864647129,1490.238918773
randomIsingDWavePegasus_60_sparse_2.h5,84488,0.0001755518355580053,-58406.344,-58579.0,-0.29561216,4.903000336,1467.560104148
randomIsingDWavePegasus_60_sparse_3.h5,84488,0.0001755518355580053,-58215.773,-58391.68,-0.30216253,4.901941455,1523.410727939
randomIsingDWavePegasus_60_sparse_4.h5,84488,0.0001755518355580053,-58545.367,-58721.047,-0.30007443,4.873535736,1509.091236897
randomIsingDWavePegasus_60_sparse_5.h5,84488,0.0001755518355580053,-58377.203,-58552.91,-0.3009857,4.879338071,1491.404809498
randomIsingDWavePegasus_70_sparse_1.h5,115368,0.00012877212014482747,-79450.78,-79692.484,-0.30421743,6.69114551,2594.475793486
randomIsingDWavePegasus_70_sparse_2.h5,115368,0.00012877212014482747,-79866.45,-80107.05,-0.30124506,6.778210067,2596.616919255
randomIsingDWavePegasus_70_sparse_3.h5,115368,0.00012877212014482747,-79726.836,-79967.78,-0.30221358,6.654845808,2600.143749711
randomIsingDWavePegasus_70_sparse_4.h5,115368,0.00012877212014482747,-79521.34,-79767.18,-0.3091446,6.799538202,2585.848637603
randomIsingDWavePegasus_70_sparse_5.h5,115368,0.00012877212014482747,-79566.19,-79808.92,-0.30507228,6.655300454,5178.576024959
randomIsingDWavePegasus_80_sparse_1.h5,151048,9.84737641958977e-5,-104600.234,-104914.92,-0.3008478,8.672602569,3725.391567627
randomIsingDWavePegasus_80_sparse_2.h5,151048,9.84737641958977e-5,-104418.14,-104741.2,-0.30939308,8.673636574,3722.642381342
randomIsingDWavePegasus_80_sparse_3.h5,151048,9.84737641958977e-5,-104238.375,-104560.89,-0.30940202,8.722980571,3722.796839584
randomIsingDWavePegasus_80_sparse_4.h5,151048,9.84737641958977e-5,-104340.56,-104658.6,-0.30480865,8.669403188,3722.723419443
randomIsingDWavePegasus_80_sparse_5.h5,151048,9.84737641958977e-5,-104136.086,-104453.125,-0.30444688,8.563201369,3722.743385361
randomIsingDWavePegasus_90_sparse_1.h5,191528,7.77343717839304e-5,-132557.66,-132969.84,-0.31094962,10.869879643,4857.403689286
randomIsingDWavePegasus_90_sparse_2.h5,191528,7.77343717839304e-5,-132376.4,-132787.06,-0.3102186,10.872858149,4857.522627252
randomIsingDWavePegasus_90_sparse_3.h5,191528,7.77343717839304e-5,-132405.61,-132813.5,-0.30806145,10.914527412,4857.971647569
randomIsingDWavePegasus_90_sparse_4.h5,191528,7.77343717839304e-5,-132634.9,-133035.38,-0.30193314,11.012074963,4857.557136678
randomIsingDWavePegasus_90_sparse_5.h5,191528,7.77343717839304e-5,-132227.1,-132627.19,-0.30258077,10.87545055,4857.588965796
randomIsingDWavePegasus_100_sparse_1.h5,236808,6.291818866452802e-5,-163881.73,-164391.97,-0.31134304,13.520031371,6094.101599313
randomIsingDWavePegasus_100_sparse_2.h5,236808,6.291818866452802e-5,-163713.97,-164222.97,-0.3109081,13.38329955,6094.635367513
randomIsingDWavePegasus_100_sparse_3.h5,236808,6.291818866452802e-5,-163478.44,-163991.94,-0.3141087,13.434846934,6095.060954585
randomIsingDWavePegasus_100_sparse_4.h5,236808,6.291818866452802e-5,-163424.97,-163935.31,-0.31228018,13.552468398,6094.815573058
randomIsingDWavePegasus_100_sparse_5.h5,236808,6.291818866452802e-5,-163535.75,-164050.78,-0.31493497,13.518908919,6094.784936697
randomIsingDWavePegasus_110_sparse_1.h5,286888,5.196698031245403e-5,-198203.5,-198834.4,-0.31831238,16.293148232,7451.472371595
randomIsingDWavePegasus_110_sparse_2.h5,286888,5.196698031245403e-5,-198542.8,-199158.77,-0.31024483,16.477457269,7450.49822368
randomIsingDWavePegasus_110_sparse_3.h5,286888,5.196698031245403e-5,-198366.08,-198995.97,-0.31753948,16.583236972,7451.325065637
randomIsingDWavePegasus_110_sparse_4.h5,286888,5.196698031245403e-5,-197989.69,-198611.45,-0.31403938,16.45791669,7451.173086542
randomIsingDWavePegasus_110_sparse_5.h5,286888,5.196698031245403e-5,-198477.67,-199097.97,-0.3125273,16.400955029,7451.520878058
randomIsingDWavePegasus_120_sparse_1.h5,341768,4.364463878895304e-5,-236276.03,-237019.98,-0.3148661,19.948786565,8931.400406049
randomIsingDWavePegasus_120_sparse_2.h5,341768,4.364463878895304e-5,-236425.6,-237167.27,-0.31370202,19.81082325,8985.145651445
randomIsingDWavePegasus_120_sparse_3.h5,341768,4.364463878895304e-5,-236905.06,-237638.4,-0.30955175,19.654515504,8984.394372756
randomIsingDWavePegasus_120_sparse_4.h5,341768,4.364463878895304e-5,-236471.38,-237207.67,-0.3113683,19.801898076,8993.826805901
randomIsingDWavePegasus_120_sparse_5.h5,341768,4.364463878895304e-5,-236065.38,-236804.08,-0.3129231,19.66758758,8993.708994032
randomIsingDWavePegasus_130_sparse_1.h5,401448,3.717243445211664e-5,-277799.38,-278664.8,-0.31153327,22.843125013,10610.202046639
randomIsingDWavePegasus_130_sparse_2.h5,401448,3.717243445211664e-5,-278322.56,-279188.4,-0.31109363,22.8940217,10610.107137856
