instance,size,density,sa_energy,velox_energy,gap,runtime_velox,runtime_sa
randomIsingDWavePegasus_17_sparse_1.h5,6400,0.00224921875,-4288.715,-4296.8125,-0.18881312,0.012238393,228.643557693
randomIsingDWavePegasus_17_sparse_10.h5,6400,0.00224921875,-4424.554,-4430.731,-0.13960181,0.013007494,103.703991569
randomIsingDWavePegasus_17_sparse_2.h5,6400,0.00224921875,-4326.2563,-4333.5186,-0.16786353,0.016587597,102.869069184
randomIsingDWavePegasus_17_sparse_3.h5,6400,0.00224921875,-4383.6143,-4389.0137,-0.12317265,0.013556879,103.21611852
randomIsingDWavePegasus_17_sparse_4.h5,6400,0.00224921875,-4332.9434,-4339.97,-0.1621728,0.022966548,102.776504649
randomIsingDWavePegasus_17_sparse_5.h5,6400,0.00224921875,-4337.703,-4344.415,-0.15473428,0.011782248,103.435690563
randomIsingDWavePegasus_17_sparse_6.h5,6400,0.00224921875,-4345.919,-4353.1973,-0.16747482,0.015606522,102.844836223
randomIsingDWavePegasus_17_sparse_7.h5,6400,0.00224921875,-4347.6074,-4355.251,-0.1758106,0.012232139,102.716938388
randomIsingDWavePegasus_17_sparse_8.h5,6400,0.00224921875,-4409.8677,-4416.841,-0.15812594,0.011278891,103.669730608
randomIsingDWavePegasus_17_sparse_9.h5,6400,0.00224921875,-4300.831,-4308.99,-0.1897117,0.011124802,103.641090416
randomIsingDWavePegasus_18_sparse_1.h5,7208,0.0020018760755406806,-4880.768,-4887.841,-0.14491068,0.013035482,117.07703983
randomIsingDWavePegasus_18_sparse_10.h5,7208,0.0020018760755406806,-4877.293,-4882.528,-0.10733133,0.011251575,117.00241969
randomIsingDWavePegasus_18_sparse_2.h5,7208,0.0020018760755406806,-4900.6187,-4909.4287,-0.17977442,0.013507268,116.513324269
randomIsingDWavePegasus_18_sparse_3.h5,7208,0.0020018760755406806,-4876.4097,-4884.7573,-0.17118447,0.013696196,116.634752399
randomIsingDWavePegasus_18_sparse_4.h5,7208,0.0020018760755406806,-4935.979,-4942.7583,-0.13734452,0.011028013,116.88332253
randomIsingDWavePegasus_18_sparse_5.h5,7208,0.0020018760755406806,-4891.2695,-4898.5356,-0.1485527,0.012785648,116.588699674
randomIsingDWavePegasus_18_sparse_6.h5,7208,0.0020018760755406806,-4897.1553,-4904.9116,-0.15838476,0.012444393,116.917998378
