instance,time[ns]
randomQuboDWavePegasus_2_dense_1.txt,13677107
randomQuboDWavePegasus_2_dense_2.txt,1546706
randomQuboDWavePegasus_2_dense_3.txt,1603601
randomQuboDWavePegasus_2_dense_4.txt,1508217
randomQuboDWavePegasus_2_dense_5.txt,12501667
randomQuboDWavePegasus_2_dense_6.txt,1494960
randomQuboDWavePegasus_2_dense_7.txt,1479229
randomQuboDWavePegasus_2_dense_8.txt,1477121
randomQuboDWavePegasus_2_dense_9.txt,1520177
randomQuboDWavePegasus_2_dense_10.txt,1463947
randomQuboDWavePegasus_2_dense_11.txt,3063461
randomQuboDWavePegasus_2_dense_12.txt,1278086
randomQuboDWavePegasus_2_dense_13.txt,1486580
randomQuboDWavePegasus_2_dense_14.txt,1513289
randomQuboDWavePegasus_2_dense_15.txt,1512518
randomQuboDWavePegasus_2_dense_16.txt,1401978
randomQuboDWavePegasus_2_dense_17.txt,1517062
randomQuboDWavePegasus_2_dense_18.txt,8007266
randomQuboDWavePegasus_2_dense_19.txt,1277173
randomQuboDWavePegasus_2_dense_20.txt,2914734
randomQuboDWavePegasus_3_dense_1.txt,2031399
randomQuboDWavePegasus_3_dense_2.txt,1915844
randomQuboDWavePegasus_3_dense_3.txt,2046394
randomQuboDWavePegasus_3_dense_4.txt,1873698
randomQuboDWavePegasus_3_dense_5.txt,1814099
randomQuboDWavePegasus_3_dense_6.txt,1862453
randomQuboDWavePegasus_3_dense_7.txt,3687388
randomQuboDWavePegasus_3_dense_8.txt,2025444
randomQuboDWavePegasus_3_dense_9.txt,2065029
randomQuboDWavePegasus_3_dense_10.txt,1909046
randomQuboDWavePegasus_3_dense_11.txt,4234559
randomQuboDWavePegasus_3_dense_12.txt,1931001
randomQuboDWavePegasus_3_dense_13.txt,2019004
randomQuboDWavePegasus_3_dense_14.txt,1922750
randomQuboDWavePegasus_3_dense_15.txt,2108117
randomQuboDWavePegasus_3_dense_16.txt,2088481
randomQuboDWavePegasus_3_dense_17.txt,1943689
randomQuboDWavePegasus_3_dense_18.txt,2145997
randomQuboDWavePegasus_3_dense_19.txt,2097417
randomQuboDWavePegasus_3_dense_20.txt,15692610
randomQuboDWavePegasus_4_dense_1.txt,3120868
randomQuboDWavePegasus_4_dense_2.txt,3328307
randomQuboDWavePegasus_4_dense_3.txt,3309127
randomQuboDWavePegasus_4_dense_4.txt,3319619
randomQuboDWavePegasus_4_dense_5.txt,3223341
randomQuboDWavePegasus_4_dense_6.txt,3428343
randomQuboDWavePegasus_4_dense_7.txt,3357091
randomQuboDWavePegasus_4_dense_8.txt,4502810
randomQuboDWavePegasus_4_dense_9.txt,3100878
randomQuboDWavePegasus_4_dense_10.txt,3175405
randomQuboDWavePegasus_4_dense_11.txt,19820753
randomQuboDWavePegasus_4_dense_12.txt,3088456
randomQuboDWavePegasus_4_dense_13.txt,18892277
randomQuboDWavePegasus_4_dense_14.txt,3171091
randomQuboDWavePegasus_4_dense_15.txt,23823936
randomQuboDWavePegasus_4_dense_16.txt,3578139
randomQuboDWavePegasus_4_dense_17.txt,3365341
randomQuboDWavePegasus_4_dense_18.txt,3037621
randomQuboDWavePegasus_4_dense_19.txt,3451829
