instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWaveZephyr_1_dense_1.h5,47,-32.862823,-32.86282,-1.1607943e-5,0.035002472,0.000613143
randomIsingDWaveZephyr_1_dense_10.h5,47,-29.57077,-29.570768,-6.450115e-6,0.034862476,0.000435077
randomIsingDWaveZephyr_1_dense_11.h5,47,-26.874079,-26.874079,0.0,0.034296463,0.00041061
randomIsingDWaveZephyr_1_dense_12.h5,47,-26.831253,-26.831255,7.1086824e-6,0.038389286,0.000395401
randomIsingDWaveZephyr_1_dense_13.h5,47,-24.68134,-24.68134,0.0,0.034853861,0.000421637
randomIsingDWaveZephyr_1_dense_14.h5,47,-27.038198,-27.038198,0.0,0.03418426,0.000402907
randomIsingDWaveZephyr_1_dense_15.h5,47,-29.764414,-29.764414,0.0,0.034304626,0.000404252
randomIsingDWaveZephyr_1_dense_16.h5,47,-27.560587,-27.560585,-6.920567e-6,0.035076376,0.000397642
randomIsingDWaveZephyr_1_dense_17.h5,47,-28.54897,-28.54897,0.0,0.0350267,0.000389534
randomIsingDWaveZephyr_1_dense_18.h5,47,-26.689106,-26.689106,0.0,0.035076766,0.000404753
randomIsingDWaveZephyr_1_dense_19.h5,47,-32.408363,-32.40836,-1.177072e-5,0.035538558,0.000430412
randomIsingDWaveZephyr_1_dense_2.h5,47,-31.135483,-31.135487,1.2251929e-5,0.035554807,0.000405475
randomIsingDWaveZephyr_1_dense_20.h5,47,-25.657482,-25.657482,0.0,0.035058963,0.000391804
randomIsingDWaveZephyr_1_dense_3.h5,47,-25.049105,-25.049105,0.0,0.034872806,0.000400088
randomIsingDWaveZephyr_1_dense_4.h5,47,-26.974813,-26.974813,0.0,0.034875054,0.000401831
randomIsingDWaveZephyr_1_dense_5.h5,47,-31.827774,-31.827774,0.0,0.034945431,0.000398398
randomIsingDWaveZephyr_1_dense_6.h5,47,-32.707214,-32.707214,0.0,0.035251281,0.00038977
randomIsingDWaveZephyr_1_dense_7.h5,47,-28.843336,-28.843336,0.0,0.034736221,0.000403679
randomIsingDWaveZephyr_1_dense_8.h5,47,-29.57579,-29.57579,0.0,0.034740809,0.000383719
randomIsingDWaveZephyr_1_dense_9.h5,47,-22.15836,-22.15836,0.0,0.034485071,0.000386846
randomIsingDWaveZephyr_2_dense_1.h5,158,-106.12402,-106.12402,0.0,0.047049225,0.000615305
randomIsingDWaveZephyr_2_dense_10.h5,158,-112.23174,-112.23174,0.0,0.046521153,0.000591836
randomIsingDWaveZephyr_2_dense_11.h5,158,-105.601944,-105.60194,-7.2246726e-6,0.046468166,0.000623339
randomIsingDWaveZephyr_2_dense_12.h5,158,-116.0165,-116.016495,-6.576129e-6,0.047824142,0.000615401
randomIsingDWaveZephyr_2_dense_13.h5,158,-109.01055,-109.01055,0.0,0.042098476,0.000594517
randomIsingDWaveZephyr_2_dense_14.h5,158,-95.274704,-95.274704,0.0,0.036616031,0.000632286
randomIsingDWaveZephyr_2_dense_15.h5,158,-109.34938,-109.34938,0.0,0.036438837,0.000594687
randomIsingDWaveZephyr_2_dense_16.h5,158,-112.059715,-112.059715,0.0,0.036230972,0.000600287
randomIsingDWaveZephyr_2_dense_17.h5,158,-113.45467,-113.45467,0.0,0.042797965,0.000606007
randomIsingDWaveZephyr_2_dense_18.h5,158,-111.299774,-111.299774,0.0,0.036441794,0.0006774
randomIsingDWaveZephyr_2_dense_19.h5,158,-103.28824,-103.28824,0.0,0.036535272,0.000647234
randomIsingDWaveZephyr_2_dense_2.h5,158,-103.151306,-103.15131,7.396314e-6,0.036452909,0.000623446
