instance,num_var,velox_energy,cplex_energy,gap,runtime,load_time
randomIsingDWaveZephyr_1_dense_1.h5,47,-32.862823,-32.86282,-1.1607943e-5,0.002223518,0.000632512
randomIsingDWaveZephyr_1_dense_10.h5,47,-29.57077,-29.570768,-6.450115e-6,0.0019878,0.000393217
randomIsingDWaveZephyr_1_dense_11.h5,47,-26.87408,-26.874079,-7.0973542e-6,0.001919138,0.000387742
randomIsingDWaveZephyr_1_dense_12.h5,47,-26.831253,-26.831255,7.1086824e-6,0.001926934,0.000369211
randomIsingDWaveZephyr_1_dense_13.h5,47,-24.68134,-24.68134,0.0,0.001877938,0.000378457
randomIsingDWaveZephyr_1_dense_14.h5,47,-27.038198,-27.038198,0.0,0.001900066,0.000385168
randomIsingDWaveZephyr_1_dense_15.h5,47,-29.764414,-29.764414,0.0,0.001894602,0.000371251
randomIsingDWaveZephyr_1_dense_16.h5,47,-27.560587,-27.560585,-6.920567e-6,0.001892406,0.000381263
randomIsingDWaveZephyr_1_dense_17.h5,47,-28.54897,-28.54897,0.0,0.001890108,0.000366976
randomIsingDWaveZephyr_1_dense_18.h5,47,-26.689106,-26.689106,0.0,0.001899935,0.000371488
randomIsingDWaveZephyr_1_dense_19.h5,47,-32.408363,-32.40836,-1.177072e-5,0.001898602,0.00037619
randomIsingDWaveZephyr_1_dense_2.h5,47,-31.135483,-31.135487,1.2251929e-5,0.001879248,0.000368945
randomIsingDWaveZephyr_1_dense_20.h5,47,-25.657482,-25.657482,0.0,0.001878853,0.000378522
randomIsingDWaveZephyr_1_dense_3.h5,47,-25.049105,-25.049105,0.0,0.001908884,0.000388072
randomIsingDWaveZephyr_1_dense_4.h5,47,-26.974813,-26.974813,0.0,0.001882835,0.000373425
randomIsingDWaveZephyr_1_dense_5.h5,47,-31.827774,-31.827774,0.0,0.001881743,0.000407847
randomIsingDWaveZephyr_1_dense_6.h5,47,-32.707214,-32.707214,0.0,0.001894562,0.000371848
randomIsingDWaveZephyr_1_dense_7.h5,47,-28.843336,-28.843336,0.0,0.001872044,0.000376791
randomIsingDWaveZephyr_1_dense_8.h5,47,-29.57579,-29.57579,0.0,0.001878266,0.0003881
randomIsingDWaveZephyr_1_dense_9.h5,47,-22.15836,-22.15836,0.0,0.00188219,0.000376911
randomIsingDWaveZephyr_2_dense_1.h5,158,-106.12402,-106.12402,0.0,0.001904414,0.000571657
randomIsingDWaveZephyr_2_dense_10.h5,158,-112.20679,-112.23174,0.02223591,0.001928677,0.000575614
randomIsingDWaveZephyr_2_dense_11.h5,158,-105.601944,-105.60194,-7.2246726e-6,0.001939953,0.000576017
randomIsingDWaveZephyr_2_dense_12.h5,158,-116.0165,-116.016495,-6.576129e-6,0.001935206,0.000555713
randomIsingDWaveZephyr_2_dense_13.h5,158,-109.01055,-109.01055,0.0,0.001927623,0.000570568
randomIsingDWaveZephyr_2_dense_14.h5,158,-95.21283,-95.274704,0.06494314,0.001901174,0.000564901
randomIsingDWaveZephyr_2_dense_15.h5,158,-109.33688,-109.34938,0.011428458,0.001936348,0.000565686
randomIsingDWaveZephyr_2_dense_16.h5,158,-112.059715,-112.059715,0.0,0.001910844,0.000564566
randomIsingDWaveZephyr_2_dense_17.h5,158,-113.45467,-113.45467,0.0,0.001930885,0.000572658
randomIsingDWaveZephyr_2_dense_18.h5,158,-111.299774,-111.299774,0.0,0.001919144,0.00056426
randomIsingDWaveZephyr_2_dense_19.h5,158,-103.28824,-103.28824,0.0,0.001890496,0.000563302
randomIsingDWaveZephyr_2_dense_2.h5,158,-103.151306,-103.15131,7.396314e-6,0.001911461,0.000600413
randomIsingDWaveZephyr_2_dense_20.h5,158,-112.8207,-112.8207,0.0,0.001895744,0.00055591
randomIsingDWaveZephyr_2_dense_3.h5,158,-120.79409,-120.7941,6.316033e-6,0.001899602,0.000551713
randomIsingDWaveZephyr_2_dense_4.h5,158,-107.2204,-107.220406,7.115618e-6,0.001881977,0.000567402
randomIsingDWaveZephyr_2_dense_5.h5,158,-119.04001,-119.04001,0.0,0.001885694,0.000566464
randomIsingDWaveZephyr_2_dense_6.h5,158,-108.35525,-108.36751,0.011313758,0.001928693,0.000558554
randomIsingDWaveZephyr_2_dense_7.h5,158,-106.07509,-106.07508,-7.1924474e-6,0.001890193,0.000573402
randomIsingDWaveZephyr_2_dense_8.h5,158,-107.83761,-107.8376,-7.0748924e-6,0.00189171,0.000567205
randomIsingDWaveZephyr_2_dense_9.h5,158,-99.26493,-99.26493,0.0,0.001906026,0.000556562
randomIsingDWaveZephyr_3_dense_1.h5,327,-242.9794,-242.9794,0.0,0.00199809,0.001244157
randomIsingDWaveZephyr_3_dense_10.h5,327,-239.39482,-239.43196,0.015511669,0.002021696,0.001203021
randomIsingDWaveZephyr_3_dense_11.h5,327,-225.20642,-225.38257,0.07815488,0.001994926,0.001203937
randomIsingDWaveZephyr_3_dense_12.h5,327,-229.42172,-229.74225,0.13951553,0.001996688,0.001189661
randomIsingDWaveZephyr_3_dense_13.h5,327,-250.35257,-250.44983,0.038833935,0.001984045,0.001190622
randomIsingDWaveZephyr_3_dense_14.h5,327,-229.68759,-229.91214,0.097667016,0.002053362,0.001361827
randomIsingDWaveZephyr_3_dense_15.h5,327,-250.85599,-250.92642,0.02806981,0.002038549,0.001375868
randomIsingDWaveZephyr_3_dense_16.h5,327,-243.22612,-243.22614,6.273499e-6,0.002060677,0.001355739
randomIsingDWaveZephyr_3_dense_17.h5,327,-223.74084,-223.77,0.013031035,0.002048472,0.001365352
randomIsingDWaveZephyr_3_dense_18.h5,327,-232.90228,-233.1698,0.1147306,0.002074409,0.001361645
randomIsingDWaveZephyr_3_dense_19.h5,327,-235.1886,-235.20164,0.0055468422,0.002059083,0.001367072
randomIsingDWaveZephyr_3_dense_2.h5,327,-245.70166,-245.74529,0.01775207,0.002059643,0.001352134
randomIsingDWaveZephyr_3_dense_20.h5,327,-236.29294,-236.46051,0.07086681,0.002123065,0.001370731
randomIsingDWaveZephyr_3_dense_3.h5,327,-222.05807,-222.20312,0.065278135,0.002085107,0.001361346
randomIsingDWaveZephyr_3_dense_4.h5,327,-245.52716,-245.55028,0.0094143925,0.001982711,0.001271864
randomIsingDWaveZephyr_3_dense_5.h5,327,-229.02516,-229.13577,0.04827311,0.001972312,0.001182206
randomIsingDWaveZephyr_3_dense_6.h5,327,-237.23311,-237.29485,0.026017025,0.001990957,0.001175557
randomIsingDWaveZephyr_3_dense_7.h5,957,-228.33386,-228.33386,0.0,0.003378014,0.006977349
randomIsingDWaveZephyr_3_dense_8.h5,327,-242.10214,-242.12376,0.008930022,0.001995172,0.001191079
randomIsingDWaveZephyr_3_dense_9.h5,327,-243.91164,-243.91164,0.0,0.001989164,0.001184924
randomIsingDWaveZephyr_4_dense_1.h5,563,-405.38315,-405.66257,0.06887965,0.002231533,0.002762986
randomIsingDWaveZephyr_4_dense_10.h5,563,-427.76227,-427.7953,0.007718649,0.002472372,0.003446082
randomIsingDWaveZephyr_4_dense_11.h5,563,-421.36478,-421.87256,0.12036384,0.002458365,0.003463292
randomIsingDWaveZephyr_4_dense_12.h5,563,-414.87302,-415.17712,0.07324769,0.002454927,0.003463772
randomIsingDWaveZephyr_4_dense_13.h5,563,-404.6972,-405.1738,0.11762681,0.002472348,0.003479568
randomIsingDWaveZephyr_4_dense_14.h5,563,-403.37323,-403.95224,0.14333625,0.002433519,0.003217501
randomIsingDWaveZephyr_4_dense_15.h5,563,-418.72748,-418.9399,0.050707236,0.002331463,0.00324911
randomIsingDWaveZephyr_4_dense_16.h5,563,-423.80396,-424.00052,0.04635931,0.002437028,0.003206813
randomIsingDWaveZephyr_4_dense_17.h5,563,-410.29504,-410.69376,0.09708259,0.002410382,0.003139598
randomIsingDWaveZephyr_4_dense_18.h5,563,-412.01453,-413.40018,0.33518386,0.00244706,0.003490723
randomIsingDWaveZephyr_4_dense_19.h5,563,-418.0589,-418.44012,0.09110636,0.002207497,0.002715417
randomIsingDWaveZephyr_4_dense_2.h5,563,-415.75604,-415.88983,0.032169353,0.002219109,0.002706041
