instance	dwave_energy	cplex_energy	gap
randomIsingDWaveZephyr_1_dense_1	-32.862821419661685	-32.862821419661685	0.0
randomIsingDWaveZephyr_1_dense_10	-29.570769246211174	-29.570769246211174	0.0
randomIsingDWaveZephyr_1_dense_11	-26.874078401176117	-26.874078401176117	0.0
randomIsingDWaveZephyr_1_dense_12	-26.83125544466826	-26.83125544466826	0.0
randomIsingDWaveZephyr_1_dense_13	-24.681338409530976	-24.681338409530976	0.0
randomIsingDWaveZephyr_1_dense_14	-27.03819883035146	-27.03819883035146	0.0
randomIsingDWaveZephyr_1_dense_15	-29.764413129633283	-29.764413129633283	0.0
randomIsingDWaveZephyr_1_dense_16	-27.560585646173845	-27.560585646173845	0.0
randomIsingDWaveZephyr_1_dense_17	-28.54897001735927	-28.54897001735927	0.0
randomIsingDWaveZephyr_1_dense_18	-26.689105256716363	-26.689105256716363	0.0
randomIsingDWaveZephyr_1_dense_19	-32.40835942906128	-32.40835942906128	0.0
randomIsingDWaveZephyr_1_dense_2	-31.135485718012923	-31.135485718012923	0.0
randomIsingDWaveZephyr_1_dense_20	-25.65748275304273	-25.65748275304273	0.0
randomIsingDWaveZephyr_1_dense_3	-25.04910408520478	-25.04910408520478	0.0
randomIsingDWaveZephyr_1_dense_4	-26.974814282141278	-26.974814282141278	0.0
randomIsingDWaveZephyr_1_dense_5	-31.827774275563154	-31.827774275563154	0.0
randomIsingDWaveZephyr_1_dense_6	-32.70721492441494	-32.70721492441494	0.0
randomIsingDWaveZephyr_1_dense_7	-28.843336121543846	-28.843336121543846	0.0
randomIsingDWaveZephyr_1_dense_8	-29.575789870494877	-29.575789870494877	0.0
randomIsingDWaveZephyr_1_dense_9	-22.15835972135577	-22.15835972135577	0.0
randomIsingDWaveZephyr_2_dense_1	-106.12402374487827	-106.12402374487827	0.0
randomIsingDWaveZephyr_2_dense_10	-112.23174162095818	-112.23174162095818	0.0
randomIsingDWaveZephyr_2_dense_11	-105.60193654496497	-105.60193654496497	0.0
randomIsingDWaveZephyr_2_dense_12	-116.01649532735041	-116.01649532735041	0.0
randomIsingDWaveZephyr_2_dense_13	-109.01055221484137	-109.01055221484137	0.0
randomIsingDWaveZephyr_2_dense_14	-95.27470290404248	-95.27470290404248	0.0
randomIsingDWaveZephyr_2_dense_15	-109.34937815445913	-109.34937815445913	0.0
randomIsingDWaveZephyr_2_dense_16	-112.05971477995607	-112.05971477995607	0.0
randomIsingDWaveZephyr_2_dense_17	-113.45467530072648	-113.45467530072648	0.0
randomIsingDWaveZephyr_2_dense_18	-111.29977486501826	-111.29977486501826	0.0
