instance,size,density,sa_energy,kerberos_energy,gap,kerberos_runtime
randomIsingDWaveZephyr_30_sparse_1.h5,29280,0.0007048396488399176,-23039.847446968502,-23085.735045505393,-0.19916624292982527,225.649376705
randomIsingDWaveZephyr_30_sparse_2.h5,29280,0.0007048396488399176,-23120.04717235957,-23169.864726438063,-0.21547341018426608,215.650334875
randomIsingDWaveZephyr_30_sparse_3.h5,29280,0.0007048396488399176,-22999.731720507967,-23045.149574935764,-0.1974712356635848,251.053985156
randomIsingDWaveZephyr_30_sparse_4.h5,29280,0.0007048396488399176,-23034.853639999317,-23080.160526905096,-0.1966884079832172,376.139146957
randomIsingDWaveZephyr_30_sparse_5.h5,29280,0.0007048396488399176,-23099.426825368144,-23144.766828895685,-0.19628194184345624,306.310151652
randomIsingDWaveZephyr_40_sparse_1.h5,51840,0.00039983543857643653,-40769.99228850313,-40858.432332074255,-0.21692435687820366,695.264841134
randomIsingDWaveZephyr_40_sparse_2.h5,51840,0.00039983543857643653,-40855.29166618946,-40944.227586444766,-0.21768519236616507,978.559311719
randomIsingDWaveZephyr_40_sparse_3.h5,51840,0.00039983543857643653,-40736.122849251675,-40824.31520227469,-0.21649667875702733,1110.510365818
randomIsingDWaveZephyr_40_sparse_4.h5,51840,0.00039983543857643653,-40971.06432843075,-41060.41326283713,-0.21807813848852592,1533.869915605
randomIsingDWaveZephyr_40_sparse_5.h5,51840,0.00039983543857643653,-40764.73390855313,-40853.15177586385,-0.21689793807821706,1525.762791189
randomIsingDWaveZephyr_50_sparse_1.h5,80800,0.0002571978237427703,-63730.247800345765,-63874.03982956896,-0.22562603188624927,2813.474221904
randomIsingDWaveZephyr_50_sparse_2.h5,80800,0.0002571978237427703,-63449.081916782154,-63591.557665225395,-0.2245513160144822,2100.128572943
randomIsingDWaveZephyr_50_sparse_3.h5,80800,0.0002571978237427703,-63787.79713880962,-63923.49469530831,-0.21273278367553553,1751.150995819
randomIsingDWaveZephyr_50_sparse_4.h5,80800,0.0002571978237427703,-64010.51498627132,-64148.70725850119,-0.21588995536047226,3548.206279744
randomIsingDWaveZephyr_50_sparse_5.h5,80800,0.0002571978237427703,-63510.19685566649,-63648.43000564756,-0.21765504883447997,1404.139199087
randomIsingDWaveZephyr_60_sparse_1.h5,116160,0.0001792163274366505,-91711.33259195699,-91923.04246637222,-0.23084374464077798,4736.604887261
randomIsingDWaveZephyr_60_sparse_2.h5,116160,0.0001792163274366505,-91507.63241967562,-91716.2578335281,-0.22798689938307706,3963.084183259
randomIsingDWaveZephyr_60_sparse_3.h5,116160,0.0001792163274366505,-91617.7506093607,-91832.10084795207,-0.23396147271211648,5571.445515455
