instance,size,density,sa_energy,velox_energy,gap,runtime_velox,runtime_sa
randomIsingDWaveZephyr_30_sparse_1.h5,29280,0.0006706866433754367,-23039.848,-23086.016,-0.20038313,4.271010915,1200.746178566
randomIsingDWaveZephyr_30_sparse_2.h5,29280,0.0006706866433754367,-23120.047,-23169.01,-0.21177676,4.194231226,588.519464484
randomIsingDWaveZephyr_30_sparse_3.h5,29280,0.0006706866433754367,-22999.73,-23047.441,-0.2074413,4.202095587,588.616378514
randomIsingDWaveZephyr_30_sparse_4.h5,29280,0.0006706866433754367,-23034.855,-23079.602,-0.19425385,4.468951546,588.532039845
randomIsingDWaveZephyr_30_sparse_5.h5,29280,0.0006706866433754367,-23099.426,-23145.012,-0.19734663,4.361076154,588.450918885
randomIsingDWaveZephyr_40_sparse_1.h5,51840,0.0003805453151196464,-40769.992,-40859.617,-0.2198308,7.849288494,1039.546998067
randomIsingDWaveZephyr_40_sparse_2.h5,51840,0.0003805453151196464,-40855.29,-40942.836,-0.21428528,7.841360034,1039.424385095
randomIsingDWaveZephyr_40_sparse_3.h5,51840,0.0003805453151196464,-40736.12,-40823.688,-0.2149601,7.807662249,1039.593203924
randomIsingDWaveZephyr_40_sparse_4.h5,51840,0.0003805453151196464,-40971.062,-41057.53,-0.21104833,7.837329886,1039.277430287
randomIsingDWaveZephyr_40_sparse_5.h5,51840,0.0003805453151196464,-40764.734,-40849.86,-0.2088202,7.818337029,1039.422018062
randomIsingDWaveZephyr_50_sparse_1.h5,80800,0.0002448215861190079,-63730.246,-63869.2,-0.21803325,12.014685708,1803.580060452
randomIsingDWaveZephyr_50_sparse_2.h5,80800,0.0002448215861190079,-63449.082,-63589.062,-0.22061858,11.969686169,1803.030334632
randomIsingDWaveZephyr_50_sparse_3.h5,80800,0.0002448215861190079,-63787.797,-63920.953,-0.20874879,11.948626068,1767.022860631
randomIsingDWaveZephyr_50_sparse_4.h5,80800,0.0002448215861190079,-64010.516,-64146.76,-0.21284956,11.946961663,1840.67812416
randomIsingDWaveZephyr_50_sparse_5.h5,80800,0.0002448215861190079,-63510.195,-63645.516,-0.21306865,11.922159719,1835.44813203
randomIsingDWaveZephyr_60_sparse_1.h5,116160,0.00017060751200965326,-91711.336,-91913.84,-0.22081001,17.472377304,3409.446558256
randomIsingDWaveZephyr_60_sparse_2.h5,116160,0.00017060751200965326,-91507.625,-91709.67,-0.22079787,17.430863136,3410.437863067
randomIsingDWaveZephyr_60_sparse_3.h5,116160,0.00017060751200965326,-91617.75,-91826.125,-0.22743954,17.297408862,3409.117747852
