instance,time[ns]
randomQuboDWaveZephyr_1_dense_1.txt,721073
randomQuboDWaveZephyr_1_dense_2.txt,770800
randomQuboDWaveZephyr_1_dense_3.txt,1284902
randomQuboDWaveZephyr_1_dense_4.txt,781507
randomQuboDWaveZephyr_1_dense_5.txt,824611
randomQuboDWaveZephyr_1_dense_6.txt,792646
randomQuboDWaveZephyr_1_dense_7.txt,781464
randomQuboDWaveZephyr_1_dense_8.txt,2308590
randomQuboDWaveZephyr_1_dense_9.txt,732808
randomQuboDWaveZephyr_1_dense_10.txt,5166023
randomQuboDWaveZephyr_1_dense_11.txt,837059
randomQuboDWaveZephyr_1_dense_12.txt,837505
randomQuboDWaveZephyr_1_dense_13.txt,821941
randomQuboDWaveZephyr_1_dense_14.txt,822263
randomQuboDWaveZephyr_1_dense_15.txt,848504
randomQuboDWaveZephyr_1_dense_16.txt,762645
randomQuboDWaveZephyr_1_dense_17.txt,1012648
randomQuboDWaveZephyr_1_dense_18.txt,768860
randomQuboDWaveZephyr_1_dense_19.txt,853934
randomQuboDWaveZephyr_1_dense_20.txt,944848
randomQuboDWaveZephyr_2_dense_1.txt,1910521
randomQuboDWaveZephyr_2_dense_2.txt,1805633
randomQuboDWaveZephyr_2_dense_3.txt,1915219
randomQuboDWaveZephyr_2_dense_4.txt,2342780
randomQuboDWaveZephyr_2_dense_5.txt,4667696
randomQuboDWaveZephyr_2_dense_6.txt,2304144
randomQuboDWaveZephyr_2_dense_7.txt,2311876
randomQuboDWaveZephyr_2_dense_8.txt,1918624
randomQuboDWaveZephyr_2_dense_9.txt,1993357
randomQuboDWaveZephyr_2_dense_10.txt,1900801
randomQuboDWaveZephyr_2_dense_11.txt,2086297
randomQuboDWaveZephyr_2_dense_12.txt,1990348
randomQuboDWaveZephyr_2_dense_13.txt,1975288
randomQuboDWaveZephyr_2_dense_14.txt,2194621
randomQuboDWaveZephyr_2_dense_15.txt,2366334
randomQuboDWaveZephyr_2_dense_16.txt,1954932
randomQuboDWaveZephyr_2_dense_17.txt,2731244
randomQuboDWaveZephyr_2_dense_18.txt,1870982
randomQuboDWaveZephyr_2_dense_19.txt,1914453
randomQuboDWaveZephyr_2_dense_20.txt,1857156
randomQuboDWaveZephyr_3_dense_1.txt,3514837
randomQuboDWaveZephyr_3_dense_2.txt,3552583
randomQuboDWaveZephyr_3_dense_3.txt,3491393
randomQuboDWaveZephyr_3_dense_4.txt,4891659
randomQuboDWaveZephyr_3_dense_5.txt,3942782
randomQuboDWaveZephyr_3_dense_6.txt,3875484
randomQuboDWaveZephyr_3_dense_7.txt,4773157
randomQuboDWaveZephyr_3_dense_8.txt,3735838
randomQuboDWaveZephyr_3_dense_9.txt,4022122
randomQuboDWaveZephyr_3_dense_10.txt,3880549
randomQuboDWaveZephyr_3_dense_11.txt,6046489
randomQuboDWaveZephyr_3_dense_12.txt,3817897
randomQuboDWaveZephyr_3_dense_13.txt,3683707
randomQuboDWaveZephyr_3_dense_14.txt,3727307
randomQuboDWaveZephyr_3_dense_15.txt,3591586
randomQuboDWaveZephyr_3_dense_16.txt,3995458
randomQuboDWaveZephyr_3_dense_17.txt,4094307
randomQuboDWaveZephyr_3_dense_18.txt,4639874
randomQuboDWaveZephyr_3_dense_19.txt,3563993
randomQuboDWaveZephyr_3_dense_20.txt,5129312
randomQuboDWaveZephyr_4_dense_1.txt,6505186
randomQuboDWaveZephyr_4_dense_2.txt,8544865
randomQuboDWaveZephyr_4_dense_3.txt,6288416
randomQuboDWaveZephyr_4_dense_4.txt,6573251
randomQuboDWaveZephyr_4_dense_5.txt,6030553
