series,graph_size,num_var,runtime_mean,runtime_std
D-Wave qpu access time,2.0,40.0,0.17786218,5.697644942867395e-07
D-Wave wall time,2.0,40.0,0.77646416213,0.1631938367668777
VeloxQ job time,2.0,40.0,1.1106875999999999,0.04469625896908579
VeloxQ solver time,2.0,40.0,0.06391102,0.003127179685811061
VeloxQ wall time,2.0,40.0,3.3246914140880106,0.18131915692309306
D-Wave qpu access time,3.0,128.0,0.1849275,7.83782998973225e-07
D-Wave wall time,3.0,128.0,0.81256394998,0.16371538663794274
VeloxQ job time,3.0,128.0,1.1250284499999998,0.03477981972423091
VeloxQ solver time,3.0,128.0,0.07043944345,0.0042595192039364405
VeloxQ wall time,3.0,128.0,3.432893032208085,0.22824831039366278
D-Wave qpu access time,4.0,264.0,0.198896014,9.3098928706535e-07
D-Wave wall time,4.0,264.0,0.87342108305,0.16041961894184126
VeloxQ job time,4.0,264.0,1.1891573,0.04636094352509263
VeloxQ solver time,4.0,264.0,0.055248284700000004,0.006655478772528365
VeloxQ wall time,4.0,264.0,3.4680216021835806,0.19640203275689883
D-Wave qpu access time,5.0,448.0,0.20596198000000002,1.0925585615947637e-06
D-Wave wall time,5.0,448.0,1.055829680195,0.1350754116048687
VeloxQ job time,5.0,448.0,1.21140315,0.06214010337622471
VeloxQ solver time,5.0,448.0,0.054979481399999995,0.001997941136796377
VeloxQ wall time,5.0,448.0,3.4903624527156354,0.18471817855012085
D-Wave qpu access time,6.0,680.0,0.21984865999999997,2.188101796924166e-06
D-Wave wall time,6.0,680.0,1.131104059925,0.12956956863379226
VeloxQ job time,6.0,680.0,1.2926723,0.1434113043379261
VeloxQ solver time,6.0,680.0,0.05517900815,0.001551068122061333
VeloxQ wall time,6.0,680.0,3.485944963991642,0.191052247585088
D-Wave qpu access time,7.0,960.0,0.26023646,1.4479022938719928e-06
D-Wave wall time,7.0,960.0,1.2340931585050001,0.1630460985940561
VeloxQ job time,7.0,960.0,1.30372855,0.05303158314723999
VeloxQ solver time,7.0,960.0,0.07856337195,0.0005407242004872501
VeloxQ wall time,7.0,960.0,3.5014686338603496,0.18469339197187665
D-Wave qpu access time,8.0,1288.0,0.2740608,2.2255927655067136e-06
D-Wave wall time,8.0,1288.0,1.284514727235,0.22045053862895272
VeloxQ job time,8.0,1288.0,1.40715675,0.18108268067373773
VeloxQ solver time,8.0,1288.0,0.12607732955,0.0006983850110162418
VeloxQ wall time,8.0,1288.0,3.708400445058942,0.47260159825888015
D-Wave qpu access time,9.0,1662.0,0.2792832,1.912177045315034e-06
D-Wave wall time,9.0,1662.0,1.404796947335,0.22349999277151722
VeloxQ job time,9.0,1662.0,1.51797805,0.20977356989795976
VeloxQ solver time,9.0,1662.0,0.20002943850000002,0.0007938897122169822
VeloxQ wall time,9.0,1662.0,3.8052231963723897,0.4192133571393193
D-Wave qpu access time,10.0,2086.0,0.28866324,2.312801900637512e-06
D-Wave wall time,10.0,2086.0,1.51841979518,0.3173155531026244
VeloxQ job time,10.0,2086.0,1.55002425,0.0458904789596354
VeloxQ solver time,10.0,2086.0,0.2777459189,0.0046995117393324555
VeloxQ wall time,10.0,2086.0,3.7957040786743166,0.1881654477557276
D-Wave qpu access time,11.0,2556.0,0.29388442000000004,2.869439703247998e-06
D-Wave wall time,11.0,2556.0,1.4745082092800001,0.24219840795750214
VeloxQ job time,11.0,2556.0,1.6632521,0.07193744513841248
VeloxQ solver time,11.0,2556.0,0.3744028063,0.0023927375343716305
VeloxQ wall time,11.0,2556.0,3.89921706058085,0.24114553837535982
D-Wave qpu access time,12.0,3075.0,0.2959738,3.370709748790849e-06
D-Wave wall time,12.0,3075.0,1.746358846875,0.3249940397389434
VeloxQ job time,12.0,3075.0,1.8840014,0.06454932338868356
VeloxQ solver time,12.0,3075.0,0.57279306125,0.0027501213467819377
VeloxQ wall time,12.0,3075.0,4.1234876226633785,0.18694953239432613
D-Wave qpu access time,13.0,3640.0,0.30119432,3.4235100485507518e-06
D-Wave wall time,13.0,3640.0,1.835454318465,0.341534042188717
VeloxQ job time,13.0,3640.0,2.0335375,0.03751879515165129
VeloxQ solver time,13.0,3640.0,0.70455783795,0.007498497403399286
VeloxQ wall time,13.0,3640.0,4.247124257683754,0.176680063507218
D-Wave qpu access time,14.0,4252.0,0.306415792,5.001045785364218e-06
D-Wave wall time,14.0,4252.0,1.902276294195,0.24734526255254602
VeloxQ job time,14.0,4252.0,2.35406115,0.05221537257639845
VeloxQ solver time,14.0,4252.0,0.976939969,0.005674772512447564
VeloxQ wall time,14.0,4252.0,4.57999976798892,0.30615565973025805
D-Wave qpu access time,15.0,4909.0,0.31686024,3.7069493770874577e-06
D-Wave wall time,15.0,4909.0,2.08587594846,0.25790549806435775
VeloxQ job time,15.0,4909.0,2.6163613999999997,0.03318336360825849
VeloxQ solver time,15.0,4909.0,1.23071628665,0.003452596990603859
VeloxQ wall time,15.0,4909.0,4.832896134257316,0.1863929402283778
D-Wave qpu access time,16.0,5612.0,0.3168623466666667,2.868427929719962e-06
D-Wave wall time,16.0,5612.0,2.072439517558333,0.2794644072213286
VeloxQ job time,16.0,5612.0,2.8644889,0.03188333208317978
VeloxQ solver time,16.0,5612.0,1.45681378945,0.004622496567678167
VeloxQ wall time,16.0,5612.0,5.014880254492164,0.14072371406563072
