solver,clique,runtime_mean,runtime_std,gap_mean,gap_std,num_qubits_mean,runtime_qpu_mean,runtime_qpu_std
AutoTune VeloxQ,20.0,0.04269538547,0.0001715093142948937,0.0,0.0,,,
Custom VeloxQ,20.0,0.002465510785,5.722940143887455e-05,0.0,0.0,,,
D-Wave Advantage6.4,20.0,0.4689068474,3.6418618717166935e-07,-3.341220675054547e-15,4.8964636528247804e-14,60.0,0.17964678,3.641861871955974e-07
AutoTune VeloxQ,40.0,0.045888375695,0.0010048966656705125,7.222416172298967e-16,3.2299627046108644e-15,,,
Custom VeloxQ,40.0,0.00257081917,6.258716653730456e-06,7.222416172298967e-16,3.2299627046108644e-15,,,
D-Wave Advantage6.4,40.0,1.4074090455000001,6.287832862597271e-07,3.044964156104705e-15,7.349043588715712e-14,192.0,0.19060306,6.287832862431846e-07
AutoTune VeloxQ,60.0,0.044684319925,0.001828654763286696,8.952178051451429e-16,4.003535733945401e-15,,,
Custom VeloxQ,60.0,0.00255133601,1.0995548209396383e-05,8.952178051451429e-16,4.003535733945401e-15,,,
D-Wave Advantage6.4,60.0,2.912277596,9.490161109709763e-07,-2.8774970635322163e-14,1.4030985554620905e-13,403.99999999999994,0.21428097999999998,9.490161110155462e-07
AutoTune VeloxQ,80.0,0.046422473455,0.0017456523539222443,3.9047406726099616e-15,8.280845361495573e-15,,,
Custom VeloxQ,80.0,0.00272171899,7.49314954523558e-06,0.0018076692460533693,0.005804131814077275,,,
D-Wave Advantage6.4,80.0,4.8542221368,1.0414564699707274e-06,2.6036718589935898e-14,1.7974318145474045e-13,674.0,0.21749555999999998,1.0414564700315272e-06
AutoTune VeloxQ,100.0,0.045013486899999997,0.0024942547717147923,1.799123786587904e-15,5.5617521886667585e-15,,,
Custom VeloxQ,100.0,0.00262954426,5.204196462993655e-05,0.0006822504813883631,0.002144688167758051,,,
D-Wave Advantage6.4,100.0,2.3864722286999998,1.9866544213043026e-06,-1.214088314525243e-14,2.0390173573669763e-13,982.0,0.266667812,1.986654421252993e-06
AutoTune VeloxQ,120.0,0.04738483811,0.003258847794036832,3.926794053671745e-15,1.0888467152767581e-14,,,
Custom VeloxQ,120.0,0.002730944765,5.927479845980103e-06,0.005429893927522241,0.010071331032501836,,,
D-Wave Advantage6.4,120.0,3.861622936800001,1.8279698258173112e-06,0.05740631168232132,0.14957028585399446,1408.0,0.28200748,1.8279698258599746e-06
AutoTune VeloxQ,140.0,0.047516036355,0.009862771333986116,9.328895236524818e-16,4.1720087807686944e-15,,,
Custom VeloxQ,140.0,0.00262233011,5.852025150492732e-06,0.01373980068837923,0.027294849303643575,,,
D-Wave Advantage6.4,140.0,4.570218616499999,2.3123467232838395e-06,0.17727000634751158,0.2206087627637816,1890.0,0.2960773,2.31234672322549e-06
AutoTune VeloxQ,160.0,0.046526221875,0.0012855343644810583,1.6307090076063412e-15,5.0210225748226814e-15,,,
Custom VeloxQ,160.0,0.002741838935,6.219870310229704e-06,0.001484172260326176,0.003308434039232568,,,
D-Wave Advantage6.4,160.0,4.760444810199999,2.906254598084529e-06,0.3586367441073835,0.2779332121667087,2435.8,0.30565951999999996,2.9062545981892846e-06
