num_var,beit_runtime_mean,velox_autotune_runtime_mean,velox_custom_runtime_mean,ttn_cpu_energy_only_runtime_mean,ttn_cpu_state_runtime_mean,ttn_gpu_energy_only_runtime_mean,ttn_gpu_state_runtime_mean
128,142.002225795,0.053079449,0.016275103,0.004994802,0.249570931,0.027214859,0.071303029
192,111.968876052,0.108907871,0.033248924,0.038348547,0.418532421,0.078537237,0.187420654
256,115.253426179,0.099026364,0.027152955,0.13082007,2.165234137,0.733779773,1.200139195
320,116.23025011,0.123168438,0.033443708,1.239595851,18.595840098,2.596183811,4.155564551
384,116.271442122,0.142011507,0.047168791,97.278239179,4199.18634546,27.252367126,36.097428479
448,115.314305282,0.16525145,0.046526052,729.805307837,11611.009526392,431.453646323,651.733429793
512,114.92966425,0.193393979,0.053892559,,,,
576,120.367354772,0.221454934,0.062145632,,,,
640,114.308202796,0.288992935,0.066691358,,,,
704,115.567396071,0.368949778,0.070313255,,,,
768,112.025980047,0.291103181,0.077578644,,,,
832,350.542877065,0.32361446,0.085695421,,,,
896,118.624833416,0.339614959,0.093179249,,,,
960,120.743232584,0.393351952,0.101190957,,,,
1024,115.258955152,0.38326971,0.104182976,,,,
