instance,energy
weighted_max3SATIsing_sparse_L=100_1.h5,-67.42223
weighted_max3SATIsing_sparse_L=100_2.h5,-58.564106
weighted_max3SATIsing_sparse_L=100_3.h5,-67.84631
weighted_max3SATIsing_sparse_L=100_4.h5,-57.687733
weighted_max3SATIsing_sparse_L=100_5.h5,-64.65024
weighted_max3SATIsing_sparse_L=100_6.h5,-67.74759
weighted_max3SATIsing_sparse_L=100_7.h5,-58.539265
weighted_max3SATIsing_sparse_L=100_8.h5,-62.92247
weighted_max3SATIsing_sparse_L=100_9.h5,-63.350777
weighted_max3SATIsing_sparse_L=100_10.h5,-63.207115
weighted_max3SATIsing_sparse_L=156_1.h5,-92.84442
weighted_max3SATIsing_sparse_L=156_2.h5,-95.08972
weighted_max3SATIsing_sparse_L=156_3.h5,-90.245224
weighted_max3SATIsing_sparse_L=156_4.h5,-97.9954
weighted_max3SATIsing_sparse_L=156_5.h5,-99.95329
weighted_max3SATIsing_sparse_L=156_6.h5,-98.917885
weighted_max3SATIsing_sparse_L=156_7.h5,-101.38189
weighted_max3SATIsing_sparse_L=156_8.h5,-99.38405
weighted_max3SATIsing_sparse_L=156_9.h5,-99.65083
weighted_max3SATIsing_sparse_L=156_10.h5,-88.60967
weighted_max3SATIsing_sparse_L=433_1.h5,-272.8769
weighted_max3SATIsing_sparse_L=433_2.h5,-273.91782
weighted_max3SATIsing_sparse_L=433_3.h5,-273.85223
weighted_max3SATIsing_sparse_L=433_4.h5,-267.65573
weighted_max3SATIsing_sparse_L=433_5.h5,-255.66315
weighted_max3SATIsing_sparse_L=433_6.h5,-269.72717
weighted_max3SATIsing_sparse_L=433_7.h5,-271.98038
weighted_max3SATIsing_sparse_L=433_8.h5,-264.1853
weighted_max3SATIsing_sparse_L=433_9.h5,-266.9216
weighted_max3SATIsing_sparse_L=433_10.h5,-266.64886
weighted_max3SATIsing_sparse_L=1000_1.h5,-620.1846
weighted_max3SATIsing_sparse_L=1000_2.h5,-614.9646
weighted_max3SATIsing_sparse_L=1000_3.h5,-619.5852
weighted_max3SATIsing_sparse_L=1000_4.h5,-601.90906
weighted_max3SATIsing_sparse_L=1000_5.h5,-626.4029
weighted_max3SATIsing_sparse_L=1000_6.h5,-600.3653
weighted_max3SATIsing_sparse_L=1000_7.h5,-610.3248
weighted_max3SATIsing_sparse_L=1000_8.h5,-639.9828
weighted_max3SATIsing_sparse_L=1000_9.h5,-627.3827
weighted_max3SATIsing_sparse_L=1000_10.h5,-634.7753
weighted_max3SATIsing_sparse_L=10000_1.h5,-6195.95
weighted_max3SATIsing_sparse_L=10000_2.h5,-6242.287
weighted_max3SATIsing_sparse_L=10000_3.h5,-6238.2764
weighted_max3SATIsing_sparse_L=10000_4.h5,-6220.343
weighted_max3SATIsing_sparse_L=10000_5.h5,-6260.293
weighted_max3SATIsing_sparse_L=10000_6.h5,-6297.619
weighted_max3SATIsing_sparse_L=10000_7.h5,-6236.6494
weighted_max3SATIsing_sparse_L=10000_8.h5,-6299.375
weighted_max3SATIsing_sparse_L=10000_9.h5,-6249.654
weighted_max3SATIsing_sparse_L=10000_10.h5,-6208.077
weighted_max3SATIsing_sparse_L=20000_1.h5,-12362.685
weighted_max3SATIsing_sparse_L=20000_2.h5,-12374.512
weighted_max3SATIsing_sparse_L=20000_3.h5,-12617.217
weighted_max3SATIsing_sparse_L=20000_4.h5,-12636.039
weighted_max3SATIsing_sparse_L=20000_5.h5,-12468.549
weighted_max3SATIsing_sparse_L=20000_6.h5,-12470.4375
weighted_max3SATIsing_sparse_L=20000_7.h5,-12507.837
weighted_max3SATIsing_sparse_L=20000_8.h5,-12522.124
weighted_max3SATIsing_sparse_L=20000_9.h5,-12602.225
weighted_max3SATIsing_sparse_L=20000_10.h5,-12535.711
weighted_max3SATIsing_sparse_L=50000_1.h5,-31287.629
weighted_max3SATIsing_sparse_L=50000_2.h5,-31069.531
weighted_max3SATIsing_sparse_L=50000_3.h5,-31246.357
weighted_max3SATIsing_sparse_L=50000_4.h5,-31379.172
weighted_max3SATIsing_sparse_L=50000_5.h5,-31246.746
weighted_max3SATIsing_sparse_L=50000_6.h5,-31175.438
weighted_max3SATIsing_sparse_L=50000_7.h5,-31223.148
weighted_max3SATIsing_sparse_L=50000_8.h5,-31328.396
weighted_max3SATIsing_sparse_L=50000_9.h5,-31249.746
weighted_max3SATIsing_sparse_L=50000_10.h5,-31257.848
weighted_max3SATIsing_sparse_L=100000_1.h5,-62662.742
weighted_max3SATIsing_sparse_L=100000_2.h5,-62410.727
weighted_max3SATIsing_sparse_L=100000_3.h5,-62354.27
weighted_max3SATIsing_sparse_L=100000_4.h5,-62552.938
weighted_max3SATIsing_sparse_L=100000_5.h5,-62367.152
weighted_max3SATIsing_sparse_L=100000_6.h5,-62577.305
weighted_max3SATIsing_sparse_L=100000_7.h5,-62471.984
weighted_max3SATIsing_sparse_L=100000_8.h5,-62433.156
weighted_max3SATIsing_sparse_L=100000_9.h5,-62444.297
weighted_max3SATIsing_sparse_L=100000_10.h5,-62398.89
weighted_max3SATIsing_sparse_L=500000_1.h5,-312743.03
weighted_max3SATIsing_sparse_L=500000_2.h5,-312728.75
weighted_max3SATIsing_sparse_L=500000_3.h5,-312061.88
weighted_max3SATIsing_sparse_L=500000_4.h5,-312333.7
weighted_max3SATIsing_sparse_L=500000_5.h5,-312543.72
weighted_max3SATIsing_sparse_L=500000_6.h5,-312191.8
weighted_max3SATIsing_sparse_L=500000_7.h5,-312584.44
weighted_max3SATIsing_sparse_L=500000_8.h5,-312383.5
weighted_max3SATIsing_sparse_L=500000_9.h5,-312546.16
weighted_max3SATIsing_sparse_L=500000_10.h5,-312417.1
weighted_max3SATIsing_sparse_L=1000000_1.h5,-625227.5
weighted_max3SATIsing_sparse_L=1000000_2.h5,-625196.75
weighted_max3SATIsing_sparse_L=1000000_3.h5,-625326.8
weighted_max3SATIsing_sparse_L=1000000_4.h5,-625000.75
weighted_max3SATIsing_sparse_L=1000000_5.h5,-624598.2
weighted_max3SATIsing_sparse_L=1000000_6.h5,-624769.0
weighted_max3SATIsing_sparse_L=1000000_7.h5,-625169.5
weighted_max3SATIsing_sparse_L=1000000_8.h5,-625027.56
weighted_max3SATIsing_sparse_L=1000000_9.h5,-624388.6
weighted_max3SATIsing_sparse_L=1000000_10.h5,-625273.1
weighted_max3SATIsing_sparse_L=5000000_1.h5,-3124787.0
weighted_max3SATIsing_sparse_L=5000000_2.h5,-3125714.5
weighted_max3SATIsing_sparse_L=5000000_3.h5,-3123032.5
weighted_max3SATIsing_sparse_L=5000000_4.h5,-3124898.0
weighted_max3SATIsing_sparse_L=5000000_5.h5,-3125173.5
weighted_max3SATIsing_sparse_L=5000000_6.h5,-3123348.5
weighted_max3SATIsing_sparse_L=5000000_7.h5,-3124741.0
weighted_max3SATIsing_sparse_L=5000000_8.h5,-3124181.8
weighted_max3SATIsing_sparse_L=5000000_9.h5,-3125635.0
weighted_max3SATIsing_sparse_L=5000000_10.h5,-3125411.2
weighted_max3SATIsing_sparse_L=10000000_1.h5,-6251079.5
weighted_max3SATIsing_sparse_L=10000000_2.h5,-6251763.0
weighted_max3SATIsing_sparse_L=10000000_3.h5,-6249333.0
weighted_max3SATIsing_sparse_L=10000000_4.h5,-6248511.5
weighted_max3SATIsing_sparse_L=10000000_5.h5,-6250257.0
weighted_max3SATIsing_sparse_L=50000000_1.h5,-31249512.0
weighted_max3SATIsing_sparse_L=50000000_2.h5,-31248752.0
