size,x_value,solver_variant,runtime_velox_mean,runtime_velox_std,runtime_sa_mean,runtime_sa_std,runtime_cplex_mean,runtime_cplex_std,gap_sa_mean,gap_sa_std,gap_cplex_mean,gap_cplex_std,cplex_gap_above_threshold
198,100.0,AutoTune VeloxQ,0.0558277295,0.002541559819470378,3.1694994062,0.9359856067604849,0.0056518040999999995,0.00019855599217038665,0.0,0.0,-6.787144353800937e-07,3.686659131670343e-06,True
198,100.0,Custom VeloxQ,0.014495355399999998,0.0012615880632592667,3.1694994062,0.9359856067604849,0.0056518040999999995,0.00019855599217038665,0.0,0.0,-6.787144353800937e-07,3.686659131670343e-06,True
310,156.0,AutoTune VeloxQ,0.0550315746,0.002242041357922741,4.3305311953,0.28058340310276614,0.0077019822000000005,0.0006297050587113162,0.0,0.0,1.1194112383203135e-06,5.7232989369636155e-06,True
310,156.0,Custom VeloxQ,0.0160917427,0.006242125708658303,4.3305311953,0.28058340310276614,0.0077019822000000005,0.0006297050587113162,0.0,0.0,1.1194112383203135e-06,5.7232989369636155e-06,True
864,433.0,AutoTune VeloxQ,0.063216071,0.002421061725740358,17.4479508831,0.4426812583976655,0.0195163034,0.00232689608676266,4.756680016318501e-05,0.00014943386170418376,4.461610291398932e-05,0.00014644490343367712,True
864,433.0,Custom VeloxQ,0.0154134501,0.005046321410942308,17.4479508831,0.4426812583976655,0.0195163034,0.00232689608676266,0.0013006083846605829,0.0013658602135461822,0.0012976577680896759,0.0013619757401821348,True
1998,1000.0,AutoTune VeloxQ,0.11120116529999999,0.0025728057586247494,27.037569696600002,1.1085009274906972,0.041524290000000005,0.0028560920808088273,0.0013594089699752916,0.0014849391945418364,0.0013577965469640386,0.0014865580142934644,True
1998,1000.0,Custom VeloxQ,0.0153876017,0.0018181067504273686,27.037569696600002,1.1085009274906972,0.041524290000000005,0.0028560920808088273,0.0033390280214633493,0.0020313198419790583,0.003337415665139757,0.002030602018605999,True
19998,10000.0,AutoTune VeloxQ,0.8293640216,0.0067151663881344185,344.0773287135,9.377578097462264,0.6374160742,0.0881099123544368,0.007207618893127182,0.0009812231284697349,0.007205865664757831,0.0009827158878899674,True
19998,10000.0,Custom VeloxQ,0.0190402029,0.0003986099963418574,344.0773287135,9.377578097462264,0.6374160742,0.0881099123544368,0.00838510258499354,0.0019531181221778876,0.008383349383459712,0.0019535165064939615,True
39998,20000.0,AutoTune VeloxQ,1.6339564262,0.015304852447437386,674.9957972232,14.978055927980314,0.9580579234,0.06898435205244043,0.008330666132874498,0.000660521490325614,0.008328686416509763,0.0006609211966307084,True
39998,20000.0,Custom VeloxQ,0.0293830776,0.00536754009018514,674.9957972232,14.978055927980314,0.9580579234,0.06898435205244043,0.008596198893100588,0.001597544195697612,0.008594219211463897,0.0015956588546347438,True
99998,50000.0,AutoTune VeloxQ,4.0523007498,0.034411725041672545,1673.0492846737002,34.58789529796704,2.657455485,0.12013895856191766,0.009230889771460369,0.00034897669410124347,0.009231210043895714,0.00035096333208676356,True
99998,50000.0,Custom VeloxQ,0.051504000800000005,0.0018226303097698495,1673.0492846737002,34.58789529796704,2.657455485,0.12013895856191766,0.008395568778087972,0.0018710842625847108,0.008395889045663876,0.0018719030517635267,True
199998,100000.0,AutoTune VeloxQ,8.082176495599999,0.53908110214167,3305.065817391,51.60006397592213,5.7260436416,0.17022987947810106,0.01020892126847616,0.0004907617896331176,0.010206364377066762,0.0004930649473424571,True
199998,100000.0,Custom VeloxQ,0.0982019352,0.009481867640942117,3305.065817391,51.60006397592213,5.7260436416,0.17022987947810106,0.007545401481570582,0.0009735801151670034,0.007542844535667499,0.000973189949175752,True
999998,500000.0,AutoTune VeloxQ,41.5501962377,1.0640027001440975,15941.0190739903,248.5083616074232,39.534724734600005,1.7634640328839875,0.010887088332635103,0.00040204424159211383,0.010887726628218835,0.00039973779619497404,True
999998,500000.0,Custom VeloxQ,0.6254986741999999,0.06811989231088038,15941.0190739903,248.5083616074232,39.534724734600005,1.7634640328839875,0.01018275439779746,0.002245003234012149,0.010183392640939693,0.002247407669052761,True
1999998,1000000.0,AutoTune VeloxQ,81.64757070350001,1.3190401117126636,31816.237826902,545.8938524414897,87.2859907847,6.595821905872533,0.011133640189414042,0.00029597006052983586,0.011136998859211586,0.00029442169815695126,True
1999998,1000000.0,Custom VeloxQ,1.443692361,0.20154828312899914,31816.237826902,545.8938524414897,87.2859907847,6.595821905872533,0.008308213758208062,0.0014983835195843457,0.008311572529766373,0.0014975700126652308,True
9999998,5000000.0,AutoTune VeloxQ,477.85337905140005,144.50815446042984,156443.9533385671,2010.1574619850603,583.1446559839,28.234999444501945,0.011747717894403733,0.0002481497751800598,0.011748675619023692,0.0002490360289117358,True
9999998,5000000.0,Custom VeloxQ,7.691935172300001,0.1417040707501555,156443.9533385671,2010.1574619850603,583.1446559839,28.234999444501945,0.009010956378543006,0.0025204641203306396,0.009011913998373927,0.002526318880210697,True
19999998,10000000.0,AutoTune VeloxQ,665.989811563,33.01927034879068,110850.2336878872,873.5374847168514,1142.0586814996,37.59070905672146,0.012116395969092864,0.0002985329051475842,0.012113196697664294,0.00029896224042024676,True
19999998,10000000.0,Custom VeloxQ,15.142067144399999,0.1870419784898454,110850.2336878872,873.5374847168514,1142.0586814996,37.59070905672146,0.009290936577007478,0.0017016046299111478,0.00928773721088572,0.0017019950094616604,True
99999998,50000000.0,AutoTune VeloxQ,3982.8929328615,109.40834813616407,554681.8340577965,5926.7039693286015,3777.162994194,74.43698348738347,0.012083533610536152,0.00023512386902257117,-224.06195929448626,0.04375311754680011,False
99999998,50000000.0,Custom VeloxQ,57.2009421025,0.07318205662399073,554681.8340577965,5926.7039693286015,3777.162994194,74.43698348738347,0.009110632084113376,0.00243914662806368,-224.06564845909716,0.04648909403058856,False
