instance,num_var,ground_energy
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,100,-138
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,100,-122
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,100,-124
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,100,-120
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,100,-136
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,100,-130
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,100,-116
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,100,-124
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,100,-122
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,100,-124
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,100,-172
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,100,-182
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,100,-184
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,100,-184
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,100,-170
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,100,-176
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,100,-188
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,100,-174
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,100,-184
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,100,-184
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,400,-492
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,400,-460
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,400,-456
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,400,-488
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,400,-466
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,400,-506
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,400,-478
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,400,-482
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,400,-470
tile_planting_2D_L_20_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,400,-492
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,400,-730
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,400,-728
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,400,-742
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,400,-722
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,400,-710
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,400,-740
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,400,-722
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,400,-746
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,400,-716
tile_planting_2D_L_20_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,400,-730
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,900,-1070
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,900,-1080
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,900,-1086
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,900,-1076
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,900,-1080
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,900,-1082
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,900,-1070
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,900,-1108
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,900,-1050
tile_planting_2D_L_30_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,900,-1084
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,900,-1600
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,900,-1612
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,900,-1638
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,900,-1636
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,900,-1594
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,900,-1624
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,900,-1620
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,900,-1618
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,900,-1626
tile_planting_2D_L_30_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,900,-1616
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,1600,-1938
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,1600,-1912
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,1600,-1906
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,1600,-1938
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,1600,-1908
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,1600,-1920
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,1600,-1974
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,1600,-1914
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,1600,-1904
tile_planting_2D_L_40_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,1600,-1896
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,1600,-2900
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,1600,-2898
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,1600,-2898
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,1600,-2852
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,1600,-2878
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,1600,-2888
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,1600,-2846
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,1600,-2864
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,1600,-2890
tile_planting_2D_L_40_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,1600,-2918
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,2500,-2986
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,2500,-2996
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,2500,-3000
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,2500,-2982
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,2500,-2988
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,2500,-2982
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,2500,-3010
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,2500,-3008
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,2500,-2966
tile_planting_2D_L_50_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,2500,-3016
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,2500,-4454
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,2500,-4490
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,2500,-4514
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,2500,-4492
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,2500,-4482
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,2500,-4504
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,2500,-4506
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,2500,-4520
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,2500,-4516
tile_planting_2D_L_50_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,2500,-4522
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,3600,-4340
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,3600,-4342
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,3600,-4322
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,3600,-4394
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,3600,-4322
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,3600,-4450
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,3600,-4382
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,3600,-4352
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,3600,-4282
tile_planting_2D_L_60_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,3600,-4384
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,3600,-6462
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,3600,-6476
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,3600,-6428
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,3600,-6494
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,3600,-6490
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,3600,-6498
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,3600,-6486
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,3600,-6462
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,3600,-6458
tile_planting_2D_L_60_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,3600,-6468
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,4900,-5902
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,4900,-5802
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,4900,-5850
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,4900,-5832
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,4900,-5884
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,4900,-5892
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,4900,-5882
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,4900,-5868
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,4900,-5890
tile_planting_2D_L_70_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,4900,-5856
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,4900,-8826
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,4900,-8882
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,4900,-8736
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,4900,-8780
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,4900,-8840
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,4900,-8748
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,4900,-8886
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,4900,-8796
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,4900,-8842
tile_planting_2D_L_70_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,4900,-8846
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,6400,-7652
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,6400,-7712
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,6400,-7712
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,6400,-7674
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,6400,-7628
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,6400,-7702
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,6400,-7736
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,6400,-7718
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,6400,-7658
tile_planting_2D_L_80_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,6400,-7628
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,6400,-11502
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,6400,-11508
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,6400,-11528
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_3.h5,6400,-11552
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_4.h5,6400,-11590
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_5.h5,6400,-11488
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_6.h5,6400,-11500
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_7.h5,6400,-11524
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_8.h5,6400,-11398
tile_planting_2D_L_80_p1_0.0_p2_0.8_p3_0.0_inst_9.h5,6400,-11476
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_1.h5,8100,-9794
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_10.h5,8100,-9732
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_2.h5,8100,-9742
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_3.h5,8100,-9750
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_4.h5,8100,-9790
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_5.h5,8100,-9718
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_6.h5,8100,-9728
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_7.h5,8100,-9830
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_8.h5,8100,-9824
tile_planting_2D_L_90_p1_0.0_p2_0.2_p3_0.0_inst_9.h5,8100,-9610
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_1.h5,8100,-14606
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_10.h5,8100,-14504
tile_planting_2D_L_90_p1_0.0_p2_0.8_p3_0.0_inst_2.h5,8100,-14630
