instance,num_var,ground_energy
wishart_planting_N_100_alpha_0.20_inst_1.h5,100,-10.030782
wishart_planting_N_100_alpha_0.20_inst_10.h5,100,-9.9990045
wishart_planting_N_100_alpha_0.20_inst_2.h5,100,-10.714504
wishart_planting_N_100_alpha_0.20_inst_3.h5,100,-10.441126
wishart_planting_N_100_alpha_0.20_inst_4.h5,100,-9.7316258
wishart_planting_N_100_alpha_0.20_inst_5.h5,100,-10.138936
wishart_planting_N_100_alpha_0.20_inst_6.h5,100,-9.8432723
wishart_planting_N_100_alpha_0.20_inst_7.h5,100,-9.8152643
wishart_planting_N_100_alpha_0.20_inst_8.h5,100,-9.6665973
wishart_planting_N_100_alpha_0.20_inst_9.h5,100,-10.552662
wishart_planting_N_100_alpha_1.00_inst_1.h5,100,-50.396215
wishart_planting_N_100_alpha_1.00_inst_10.h5,100,-50.553973
wishart_planting_N_100_alpha_1.00_inst_2.h5,100,-49.173151
wishart_planting_N_100_alpha_1.00_inst_3.h5,100,-50.256163
wishart_planting_N_100_alpha_1.00_inst_4.h5,100,-49.20462
wishart_planting_N_100_alpha_1.00_inst_5.h5,100,-49.917059
wishart_planting_N_100_alpha_1.00_inst_6.h5,100,-50.128551
wishart_planting_N_100_alpha_1.00_inst_7.h5,100,-50.008075
wishart_planting_N_100_alpha_1.00_inst_8.h5,100,-51.218709
wishart_planting_N_100_alpha_1.00_inst_9.h5,100,-50.29858
wishart_planting_N_200_alpha_0.20_inst_1.h5,200,-20.017775
wishart_planting_N_200_alpha_0.20_inst_10.h5,200,-19.690121
wishart_planting_N_200_alpha_0.20_inst_2.h5,200,-20.749707
wishart_planting_N_200_alpha_0.20_inst_3.h5,200,-20.097412
wishart_planting_N_200_alpha_0.20_inst_4.h5,200,-20.3129
wishart_planting_N_200_alpha_0.20_inst_5.h5,200,-20.452831
wishart_planting_N_200_alpha_0.20_inst_6.h5,200,-19.388888
wishart_planting_N_200_alpha_0.20_inst_7.h5,200,-19.849365
wishart_planting_N_200_alpha_0.20_inst_8.h5,200,-19.978247
wishart_planting_N_200_alpha_0.20_inst_9.h5,200,-20.246376
wishart_planting_N_200_alpha_1.00_inst_1.h5,200,-102.36224
wishart_planting_N_200_alpha_1.00_inst_10.h5,200,-99.525658
wishart_planting_N_200_alpha_1.00_inst_2.h5,200,-100.8026
wishart_planting_N_200_alpha_1.00_inst_3.h5,200,-100.23608
wishart_planting_N_200_alpha_1.00_inst_4.h5,200,-100.07942
wishart_planting_N_200_alpha_1.00_inst_5.h5,200,-100.3555
wishart_planting_N_200_alpha_1.00_inst_6.h5,200,-100.28945
wishart_planting_N_200_alpha_1.00_inst_7.h5,200,-99.651325
wishart_planting_N_200_alpha_1.00_inst_8.h5,200,-101.31678
wishart_planting_N_200_alpha_1.00_inst_9.h5,200,-98.493471
wishart_planting_N_300_alpha_0.20_inst_1.h5,300,-29.961801
