instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_with_HUBO_Float64_10_10_sparse.h5,10,0.5,-5.0,0.0,0.051204923
3R3X_Ising_with_HUBO_Float64_10_1_sparse.h5,10,0.5,-5.0,0.0,0.036436653
3R3X_Ising_with_HUBO_Float64_10_2_sparse.h5,10,0.5,-5.0,0.0,0.038027265
3R3X_Ising_with_HUBO_Float64_10_3_sparse.h5,10,0.5,-5.0,0.0,0.056511014
3R3X_Ising_with_HUBO_Float64_10_4_sparse.h5,10,0.5,-5.0,0.0,0.03543351
3R3X_Ising_with_HUBO_Float64_10_5_sparse.h5,10,0.5,-5.0,0.0,0.038349108
3R3X_Ising_with_HUBO_Float64_10_6_sparse.h5,10,0.5,-5.0,0.0,0.06103989
3R3X_Ising_with_HUBO_Float64_10_7_sparse.h5,10,0.5,-5.0,0.0,0.035180048
3R3X_Ising_with_HUBO_Float64_10_8_sparse.h5,10,0.5,-5.0,0.0,0.047424979
3R3X_Ising_with_HUBO_Float64_10_9_sparse.h5,10,0.5,-5.0,0.0,0.038514527
3R3X_Ising_with_HUBO_Float64_20_10_sparse.h5,20,0.285,-10.0,0.0,0.098794554
3R3X_Ising_with_HUBO_Float64_20_1_sparse.h5,20,0.275,-10.0,0.0,0.03608933
3R3X_Ising_with_HUBO_Float64_20_2_sparse.h5,20,0.285,-10.0,0.0,0.044008993
3R3X_Ising_with_HUBO_Float64_20_3_sparse.h5,20,0.275,-10.0,0.0,0.036672952
3R3X_Ising_with_HUBO_Float64_20_4_sparse.h5,20,0.255,-10.0,0.0,0.044693923
3R3X_Ising_with_HUBO_Float64_20_5_sparse.h5,20,0.275,-10.0,0.0,0.038122491
3R3X_Ising_with_HUBO_Float64_20_6_sparse.h5,20,0.275,-10.0,0.0,0.078816388
3R3X_Ising_with_HUBO_Float64_20_7_sparse.h5,20,0.275,-10.0,0.0,0.035983007
3R3X_Ising_with_HUBO_Float64_20_8_sparse.h5,20,0.285,-10.0,0.0,0.035937214
3R3X_Ising_with_HUBO_Float64_20_9_sparse.h5,20,0.29,-10.0,0.0,0.036186971
3R3X_Ising_with_HUBO_Float64_30_10_sparse.h5,30,0.18888888888888888,-15.0,0.0,0.037854683
3R3X_Ising_with_HUBO_Float64_30_1_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.037216435
3R3X_Ising_with_HUBO_Float64_30_2_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.083700046
3R3X_Ising_with_HUBO_Float64_30_3_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.044163452
3R3X_Ising_with_HUBO_Float64_30_4_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.036471326
3R3X_Ising_with_HUBO_Float64_30_5_sparse.h5,30,0.17777777777777778,-15.0,0.0,0.045996281
3R3X_Ising_with_HUBO_Float64_30_6_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.035655887
3R3X_Ising_with_HUBO_Float64_30_7_sparse.h5,30,0.18888888888888888,-15.0,0.0,0.038091881
3R3X_Ising_with_HUBO_Float64_30_8_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.03748065
3R3X_Ising_with_HUBO_Float64_30_9_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.035171148
3R3X_Ising_with_HUBO_Float64_40_10_sparse.h5,40,0.1475,-20.0,0.0,0.036583987
3R3X_Ising_with_HUBO_Float64_40_1_sparse.h5,40,0.145,-20.0,0.0,0.035461122
3R3X_Ising_with_HUBO_Float64_40_2_sparse.h5,40,0.14625,-20.0,0.0,0.043489892
3R3X_Ising_with_HUBO_Float64_40_3_sparse.h5,40,0.14625,-20.0,0.0,0.036841354
3R3X_Ising_with_HUBO_Float64_40_4_sparse.h5,40,0.14125,-20.0,0.0,0.037641409
3R3X_Ising_with_HUBO_Float64_40_5_sparse.h5,40,0.145,-20.0,0.0,0.08912578
3R3X_Ising_with_HUBO_Float64_40_6_sparse.h5,40,0.1425,-20.0,0.0,0.036457584
3R3X_Ising_with_HUBO_Float64_40_7_sparse.h5,40,0.14375,-20.0,0.0,0.03562545
3R3X_Ising_with_HUBO_Float64_40_8_sparse.h5,40,0.14625,-20.0,0.0,0.035781542
3R3X_Ising_with_HUBO_Float64_40_9_sparse.h5,40,0.14625,-20.0,0.0,0.035987788
3R3X_Ising_with_HUBO_Float64_50_10_sparse.h5,50,0.1152,-25.0,0.0,0.036302299
3R3X_Ising_with_HUBO_Float64_50_1_sparse.h5,50,0.116,-25.0,0.0,0.042297088
3R3X_Ising_with_HUBO_Float64_50_2_sparse.h5,50,0.1176,-25.0,0.0,0.087603517
3R3X_Ising_with_HUBO_Float64_50_3_sparse.h5,50,0.116,-25.0,0.0,0.035817646
3R3X_Ising_with_HUBO_Float64_50_4_sparse.h5,50,0.1184,-25.0,0.0,0.035200363
3R3X_Ising_with_HUBO_Float64_50_5_sparse.h5,50,0.1152,-25.0,0.0,0.043201196
3R3X_Ising_with_HUBO_Float64_50_6_sparse.h5,50,0.116,-25.0,0.0,0.037350667
3R3X_Ising_with_HUBO_Float64_50_7_sparse.h5,50,0.1152,-25.0,0.0,0.038289361
3R3X_Ising_with_HUBO_Float64_50_8_sparse.h5,50,0.1168,-25.0,0.0,0.037405161
3R3X_Ising_with_HUBO_Float64_50_9_sparse.h5,50,0.1176,-25.0,0.0,0.08825806
3R3X_Ising_with_HUBO_Float64_60_10_sparse.h5,60,0.09777777777777778,-30.0,0.0,0.035638384
3R3X_Ising_with_HUBO_Float64_60_1_sparse.h5,60,0.09833333333333333,-30.0,0.0,0.036060025
3R3X_Ising_with_HUBO_Float64_60_2_sparse.h5,60,0.09666666666666666,-30.0,0.0,0.036273383
3R3X_Ising_with_HUBO_Float64_60_3_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.037409724
3R3X_Ising_with_HUBO_Float64_60_4_sparse.h5,60,0.09777777777777778,-30.0,0.0,0.037969755
3R3X_Ising_with_HUBO_Float64_60_5_sparse.h5,60,0.0961111111111111,-30.0,0.0,0.043113211
3R3X_Ising_with_HUBO_Float64_60_6_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.087925973
3R3X_Ising_with_HUBO_Float64_60_7_sparse.h5,60,0.09722222222222222,-30.0,0.0,0.036364243
3R3X_Ising_with_HUBO_Float64_60_8_sparse.h5,60,0.09833333333333333,-30.0,0.0,0.035834041
3R3X_Ising_with_HUBO_Float64_60_9_sparse.h5,60,0.09777777777777778,-30.0,0.0,0.035609051
3R3X_Ising_with_HUBO_Float64_70_10_sparse.h5,70,0.08489795918367347,-34.5,1.4285715,0.037953768
3R3X_Ising_with_HUBO_Float64_70_1_sparse.h5,70,0.08285714285714285,-35.0,0.0,0.0375592
3R3X_Ising_with_HUBO_Float64_70_2_sparse.h5,70,0.08489795918367347,-34.5,1.4285715,0.084255843
3R3X_Ising_with_HUBO_Float64_70_3_sparse.h5,70,0.0836734693877551,-34.5,1.4285715,0.03736552
