instance,num_var,density,velox_energy,gap,runtime_velox
3R3X_Ising_with_HUBO_Float64_10_10_sparse.h5,10,0.5,-5.0,0.0,0.007902864
3R3X_Ising_with_HUBO_Float64_10_1_sparse.h5,10,0.5,-5.0,0.0,0.0099208
3R3X_Ising_with_HUBO_Float64_10_2_sparse.h5,10,0.5,-5.0,0.0,0.00773458
3R3X_Ising_with_HUBO_Float64_10_3_sparse.h5,10,0.5,-5.0,0.0,0.007646324
3R3X_Ising_with_HUBO_Float64_10_4_sparse.h5,10,0.5,-5.0,0.0,0.007539
3R3X_Ising_with_HUBO_Float64_10_5_sparse.h5,10,0.5,-5.0,0.0,0.009290001
3R3X_Ising_with_HUBO_Float64_10_6_sparse.h5,10,0.5,-5.0,0.0,0.007524455
3R3X_Ising_with_HUBO_Float64_10_7_sparse.h5,10,0.5,-5.0,0.0,0.007745309
3R3X_Ising_with_HUBO_Float64_10_8_sparse.h5,10,0.5,-5.0,0.0,0.007834661
3R3X_Ising_with_HUBO_Float64_10_9_sparse.h5,10,0.5,-5.0,0.0,0.008039225
3R3X_Ising_with_HUBO_Float64_20_10_sparse.h5,20,0.285,-10.0,0.0,0.007707881
3R3X_Ising_with_HUBO_Float64_20_1_sparse.h5,20,0.275,-10.0,0.0,0.00806812
3R3X_Ising_with_HUBO_Float64_20_2_sparse.h5,20,0.285,-10.0,0.0,0.007673926
3R3X_Ising_with_HUBO_Float64_20_3_sparse.h5,20,0.275,-10.0,0.0,0.007790743
3R3X_Ising_with_HUBO_Float64_20_4_sparse.h5,20,0.255,-10.0,0.0,0.007612234
3R3X_Ising_with_HUBO_Float64_20_5_sparse.h5,20,0.275,-10.0,0.0,0.011823085
3R3X_Ising_with_HUBO_Float64_20_6_sparse.h5,20,0.275,-10.0,0.0,0.009338465
3R3X_Ising_with_HUBO_Float64_20_7_sparse.h5,20,0.275,-10.0,0.0,0.009660015
3R3X_Ising_with_HUBO_Float64_20_8_sparse.h5,20,0.285,-10.0,0.0,0.007563495
3R3X_Ising_with_HUBO_Float64_20_9_sparse.h5,20,0.29,-10.0,0.0,0.009415876
3R3X_Ising_with_HUBO_Float64_30_10_sparse.h5,30,0.18888888888888888,-15.0,0.0,0.007945569
3R3X_Ising_with_HUBO_Float64_30_1_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.007638076
3R3X_Ising_with_HUBO_Float64_30_2_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.006920175
3R3X_Ising_with_HUBO_Float64_30_3_sparse.h5,30,0.18666666666666668,-15.0,0.0,0.007945673
3R3X_Ising_with_HUBO_Float64_30_4_sparse.h5,30,0.19111111111111112,-15.0,0.0,0.009113893
