instance,num_var,density,velox_energy,gap,runtime_velox
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_10_sparse.h5,100,0.04,-100.0,0.0,0.085532051
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_1_sparse.h5,100,0.04,-100.0,0.0,0.060746251
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_2_sparse.h5,100,0.04,-100.0,0.0,0.041655262
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_3_sparse.h5,100,0.04,-100.0,0.0,0.041298257
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_4_sparse.h5,100,0.04,-100.0,0.0,0.062911091
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_5_sparse.h5,100,0.04,-100.0,0.0,0.076579009
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_6_sparse.h5,100,0.04,-100.0,0.0,0.042084131
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_7_sparse.h5,100,0.04,-100.0,0.0,0.040405642
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_8_sparse.h5,100,0.04,-100.0,0.0,0.06151927
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_9_sparse.h5,100,0.04,-100.0,0.0,0.037913832
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_10_sparse.h5,100,0.04,-108.0,0.0,0.083355911
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_1_sparse.h5,100,0.04,-114.0,0.0,0.061991783
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_2_sparse.h5,100,0.04,-108.0,0.0,0.041885799
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_3_sparse.h5,100,0.04,-110.0,0.0,0.037003349
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_4_sparse.h5,100,0.04,-116.0,0.0,0.068662827
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_5_sparse.h5,100,0.04,-112.0,0.0,0.036181319
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_6_sparse.h5,100,0.04,-124.0,0.0,0.037510375
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_7_sparse.h5,100,0.04,-102.0,0.0,0.127845268
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_8_sparse.h5,100,0.04,-112.0,0.0,0.045986709
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_9_sparse.h5,100,0.04,-112.0,0.0,0.076899406
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_10_sparse.h5,100,0.04,-122.0,0.0,0.036114602
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_1_sparse.h5,100,0.04,-138.0,0.0,0.03843808
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_2_sparse.h5,100,0.04,-124.0,0.0,0.036135135
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_3_sparse.h5,100,0.04,-120.0,0.0,0.038522656
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_4_sparse.h5,100,0.04,-136.0,0.0,0.035588128
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_5_sparse.h5,100,0.04,-130.0,0.0,0.043099848
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_6_sparse.h5,100,0.04,-116.0,0.0,0.036646777
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_7_sparse.h5,100,0.04,-124.0,0.0,0.038201808
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_8_sparse.h5,100,0.04,-122.0,0.0,0.072101201
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_9_sparse.h5,100,0.04,-124.0,0.0,0.036410046
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_10_sparse.h5,100,0.04,-126.0,0.0,0.036414974
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_1_sparse.h5,100,0.04,-120.0,0.0,0.037048044
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_2_sparse.h5,100,0.04,-138.0,0.0,0.036463728
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_3_sparse.h5,100,0.04,-134.0,0.0,0.071261479
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_4_sparse.h5,100,0.04,-132.0,0.0,0.036063794
