instance,num_var,density,velox_energy,gap,runtime_velox
wishart_planting_N_100_alpha_0.01_inst_1_sparse.h5,100,0.99,-0.6284477,0.002903662794572078,0.032825712
wishart_planting_N_100_alpha_0.01_inst_2_sparse.h5,100,0.99,-0.46158016,0.0008433393727018462,0.03310614
wishart_planting_N_100_alpha_0.01_inst_3_sparse.h5,100,0.99,-0.53658104,0.0018767681948924334,0.047802991
wishart_planting_N_100_alpha_0.01_inst_4_sparse.h5,100,0.99,-0.5079729,0.0003531476950898504,0.033516631
wishart_planting_N_100_alpha_0.01_inst_5_sparse.h5,100,0.99,-0.54423434,4.677715984450935e-5,0.032615457
wishart_planting_N_100_alpha_0.01_inst_6_sparse.h5,100,0.99,-0.4998291,0.00028139869711143106,0.040372847
wishart_planting_N_100_alpha_0.01_inst_7_sparse.h5,100,0.99,-0.54515904,0.00020876771276928535,0.032931247
wishart_planting_N_100_alpha_0.01_inst_8_sparse.h5,100,0.99,-0.5028704,0.00539257434199036,0.041017327
wishart_planting_N_100_alpha_0.01_inst_9_sparse.h5,100,0.99,-0.56454575,0.00016108181722674793,0.039664884
wishart_planting_N_100_alpha_0.01_inst_10_sparse.h5,100,0.99,-0.59265286,0.001704627598218075,0.031871835
wishart_planting_N_100_alpha_0.20_inst_1_sparse.h5,100,0.99,-9.896797,1.335736534043099,0.041056503
wishart_planting_N_100_alpha_0.20_inst_2_sparse.h5,100,0.99,-10.527424,1.7460457465639259,0.03230266
wishart_planting_N_100_alpha_0.20_inst_3_sparse.h5,100,0.99,-10.282222,1.5219067931139094,0.034112844
wishart_planting_N_100_alpha_0.20_inst_4_sparse.h5,100,0.99,-9.629318,1.051289525490307,0.04051786
wishart_planting_N_100_alpha_0.20_inst_5_sparse.h5,100,0.99,-9.975836,1.6086520304408751,0.040316197
wishart_planting_N_100_alpha_0.20_inst_6_sparse.h5,100,0.99,-9.70248,1.4303371840875645,0.032717613
wishart_planting_N_100_alpha_0.20_inst_7_sparse.h5,100,0.99,-9.688448,1.2920319194002041,0.041397365
wishart_planting_N_100_alpha_0.20_inst_8_sparse.h5,100,0.99,-9.539604,1.3137312856539565,0.032651322
wishart_planting_N_100_alpha_0.20_inst_9_sparse.h5,100,0.99,-10.388887,1.5519742279672366,0.033894686
wishart_planting_N_100_alpha_0.20_inst_10_sparse.h5,100,0.99,-9.851322,1.476970291669878,0.039691978
wishart_planting_N_100_alpha_0.40_inst_1_sparse.h5,100,0.99,-19.64578,3.1542052433345873,0.04245258
wishart_planting_N_100_alpha_0.40_inst_2_sparse.h5,100,0.99,-18.981672,3.0719784586120293,0.033580738
wishart_planting_N_100_alpha_0.40_inst_3_sparse.h5,100,0.99,-18.554249,3.4447509113823522,0.041312327
wishart_planting_N_100_alpha_0.40_inst_4_sparse.h5,100,0.99,-18.602036,3.071482209592189,0.033618139
wishart_planting_N_100_alpha_0.40_inst_5_sparse.h5,100,0.99,-19.990211,3.5741371167225595,0.034151266
wishart_planting_N_100_alpha_0.40_inst_6_sparse.h5,100,0.99,-19.677567,3.163526400058936,0.040473079
wishart_planting_N_100_alpha_0.40_inst_7_sparse.h5,100,0.99,-19.01884,3.22302839099078,0.033104116
wishart_planting_N_100_alpha_0.40_inst_8_sparse.h5,100,0.99,-18.901535,3.2974476580866883,0.033777879
wishart_planting_N_100_alpha_0.40_inst_9_sparse.h5,100,0.99,-19.466637,3.254713630372423,0.040320627
wishart_planting_N_100_alpha_0.40_inst_10_sparse.h5,100,0.99,-18.630888,3.505984207176336,0.032516531
wishart_planting_N_100_alpha_0.60_inst_1_sparse.h5,100,0.99,-27.619411,5.617338742810311,0.041752573
wishart_planting_N_100_alpha_0.60_inst_2_sparse.h5,100,0.99,-27.42245,6.054486984643445,0.039518222
wishart_planting_N_100_alpha_0.60_inst_3_sparse.h5,100,0.99,-27.120102,5.568535245311666,0.034559235
wishart_planting_N_100_alpha_0.60_inst_4_sparse.h5,100,0.99,-29.58222,5.2476344755155155,0.046389141
wishart_planting_N_100_alpha_0.60_inst_5_sparse.h5,100,0.99,-27.985245,5.8086055986304235,0.039387097
wishart_planting_N_100_alpha_0.60_inst_6_sparse.h5,100,0.99,-29.075106,5.335016881027375,0.033518698
wishart_planting_N_100_alpha_0.60_inst_7_sparse.h5,100,0.99,-28.07674,5.746083485120306,0.034375798
wishart_planting_N_100_alpha_0.60_inst_8_sparse.h5,100,0.99,-28.21112,5.593623008952894,0.039909069
wishart_planting_N_100_alpha_0.60_inst_9_sparse.h5,100,0.99,-28.159164,5.358996049928446,0.040743659
wishart_planting_N_100_alpha_0.60_inst_10_sparse.h5,100,0.99,-28.543701,6.019122161620358,0.033325384
wishart_planting_N_100_alpha_0.80_inst_1_sparse.h5,100,0.99,-37.94127,7.8305352206798515,0.041959458
wishart_planting_N_100_alpha_0.80_inst_2_sparse.h5,100,0.99,-37.024944,7.130843656741338,0.03978121
wishart_planting_N_100_alpha_0.80_inst_3_sparse.h5,100,0.99,-40.48168,-2.034822780575333e-6,0.033376475
wishart_planting_N_100_alpha_0.80_inst_4_sparse.h5,100,0.99,-38.983932,-3.835214024889601e-6,0.04255494
wishart_planting_N_100_alpha_0.80_inst_5_sparse.h5,100,0.99,-39.93956,5.166497731569306e-6,0.039882945
wishart_planting_N_100_alpha_0.80_inst_6_sparse.h5,100,0.99,-38.990368,-2.2810872689806952e-6,0.033479977
wishart_planting_N_100_alpha_0.80_inst_7_sparse.h5,100,0.99,-39.699642,2.061992137854363e-6,0.041889021
wishart_planting_N_100_alpha_0.80_inst_8_sparse.h5,100,0.99,-39.80269,1.008392142485711e-6,0.041519466
wishart_planting_N_100_alpha_0.80_inst_9_sparse.h5,100,0.99,-39.067616,-3.86261931474055e-6,0.032943926
wishart_planting_N_100_alpha_0.80_inst_10_sparse.h5,100,0.99,-40.31889,3.42787225677084e-6,0.042408527
wishart_planting_N_100_alpha_1.00_inst_1_sparse.h5,100,0.99,-50.396217,-4.65549130676685e-6,0.040059925
wishart_planting_N_100_alpha_1.00_inst_2_sparse.h5,100,0.99,-49.17315,3.845824886060867e-6,0.033326463
wishart_planting_N_100_alpha_1.00_inst_3_sparse.h5,100,0.99,-50.256165,-3.085753381517165e-6,0.043271596
wishart_planting_N_100_alpha_1.00_inst_4_sparse.h5,100,0.99,-49.20462,-7.343378051293249e-7,0.039601037
wishart_planting_N_100_alpha_1.00_inst_5_sparse.h5,100,0.99,-49.91706,-3.710256206009833e-6,0.033308093
wishart_planting_N_100_alpha_1.00_inst_6_sparse.h5,100,0.99,-50.128548,6.645998944565904e-6,0.043015267
wishart_planting_N_100_alpha_1.00_inst_7_sparse.h5,100,0.99,-50.00807,6.200170543569124e-6,0.038797077
wishart_planting_N_100_alpha_1.00_inst_8_sparse.h5,100,0.99,-51.21871,-5.570283598550603e-6,0.035340063
wishart_planting_N_100_alpha_1.00_inst_9_sparse.h5,100,0.99,-50.298576,7.246764287237921e-6,0.033168299
wishart_planting_N_100_alpha_1.00_inst_10_sparse.h5,100,0.99,-50.553974,-2.277983827234436e-6,0.042307229
wishart_planting_N_100_alpha_1.20_inst_1_sparse.h5,100,0.99,-60.274067,1.2435061691790717e-7,0.033502319
wishart_planting_N_100_alpha_1.20_inst_2_sparse.h5,100,0.99,-59.50011,2.3088684241792307e-6,0.043466436
wishart_planting_N_100_alpha_1.20_inst_3_sparse.h5,100,0.99,-59.938404,1.529483558858898e-6,0.040212363
wishart_planting_N_100_alpha_1.20_inst_4_sparse.h5,100,0.99,-60.22165,1.3783716018973761e-6,0.034796691
wishart_planting_N_100_alpha_1.20_inst_5_sparse.h5,100,0.99,-59.31495,-1.7460093366920762e-6,0.033608729
wishart_planting_N_100_alpha_1.20_inst_6_sparse.h5,100,0.99,-58.452415,6.045415169672245e-6,0.04039783
wishart_planting_N_100_alpha_1.20_inst_7_sparse.h5,100,0.99,-59.45473,-5.024913788550753e-6,0.033741526
wishart_planting_N_100_alpha_1.20_inst_8_sparse.h5,100,0.99,-60.319714,-2.6401473770535797e-6,0.033662502
wishart_planting_N_100_alpha_1.20_inst_9_sparse.h5,100,0.99,-59.993023,3.469234683628839e-6,0.040597411
wishart_planting_N_100_alpha_1.20_inst_10_sparse.h5,100,0.99,-59.058464,-8.551345658374643e-6,0.033905896
wishart_planting_N_200_alpha_0.01_inst_1_sparse.h5,200,0.995,-0.98068285,0.03607613157729035,0.034631581
wishart_planting_N_200_alpha_0.01_inst_2_sparse.h5,200,0.995,-1.02409,0.19133007421048168,0.043251234
wishart_planting_N_200_alpha_0.01_inst_3_sparse.h5,200,0.995,-1.1117058,0.13735824943172742,0.041943058
wishart_planting_N_200_alpha_0.01_inst_4_sparse.h5,200,0.995,-1.1041672,0.37791805171204396,0.034340581
wishart_planting_N_200_alpha_0.01_inst_5_sparse.h5,200,0.995,-0.9178655,0.028445447718712342,0.034435713
wishart_planting_N_200_alpha_0.01_inst_6_sparse.h5,200,0.995,-1.0021932,0.5114124755925031,0.042490582
