instance,num_var,density,velox_energy,gap,runtime_velox
wishart_planting_N_100_alpha_0.20_inst_1_sparse.h5,100,0.99,-9.941999,0.8851011274614046,0.041697999
wishart_planting_N_100_alpha_0.20_inst_2_sparse.h5,100,0.99,-10.582594,1.2311356844266437,0.01282491
wishart_planting_N_100_alpha_0.20_inst_3_sparse.h5,100,0.99,-10.315502,1.203163655452043,0.013014878
wishart_planting_N_100_alpha_0.20_inst_4_sparse.h5,100,0.99,-9.636357,0.9789576225374155,0.012835963
wishart_planting_N_100_alpha_0.20_inst_5_sparse.h5,100,0.99,-10.05531,0.8247980919436321,0.012830972
wishart_planting_N_100_alpha_0.20_inst_6_sparse.h5,100,0.99,-9.746887,0.9791976695468502,0.012844095
wishart_planting_N_100_alpha_0.20_inst_7_sparse.h5,100,0.99,-9.738916,0.7778486709244729,0.012905765
wishart_planting_N_100_alpha_0.20_inst_8_sparse.h5,100,0.99,-9.563953,1.0618410714367534,0.012822428
wishart_planting_N_100_alpha_0.20_inst_9_sparse.h5,100,0.99,-10.434052,1.1239773684953462,0.013057871
wishart_planting_N_100_alpha_0.20_inst_10_sparse.h5,100,0.99,-9.892507,1.0650850349525327,0.012789646
wishart_planting_N_100_alpha_1.00_inst_1_sparse.h5,100,0.99,-50.396217,-4.65549130676685e-6,0.012863249
wishart_planting_N_100_alpha_1.00_inst_2_sparse.h5,100,0.99,-49.17315,3.845824886060867e-6,0.012964632
wishart_planting_N_100_alpha_1.00_inst_3_sparse.h5,100,0.99,-50.256165,-3.085753381517165e-6,0.013195316
wishart_planting_N_100_alpha_1.00_inst_4_sparse.h5,100,0.99,-49.20462,-7.343378051293249e-7,0.013052471
wishart_planting_N_100_alpha_1.00_inst_5_sparse.h5,100,0.99,-49.91706,-3.710256206009833e-6,0.046045424
wishart_planting_N_100_alpha_1.00_inst_6_sparse.h5,100,0.99,-50.128548,6.645998944565904e-6,0.012172081
wishart_planting_N_100_alpha_1.00_inst_7_sparse.h5,100,0.99,-50.00807,6.200170543569124e-6,0.012036464
wishart_planting_N_100_alpha_1.00_inst_8_sparse.h5,100,0.99,-51.21871,-5.570283598550603e-6,0.012128423
wishart_planting_N_100_alpha_1.00_inst_9_sparse.h5,100,0.99,-50.298576,7.246764287237921e-6,0.012680126
wishart_planting_N_100_alpha_1.00_inst_10_sparse.h5,100,0.99,-50.553974,-2.277983827234436e-6,0.01244173
wishart_planting_N_200_alpha_0.20_inst_1_sparse.h5,200,0.995,-19.710129,1.536865190163806,0.029799494
wishart_planting_N_200_alpha_0.20_inst_2_sparse.h5,200,0.995,-20.437683,1.503750845885442,0.012490801
wishart_planting_N_200_alpha_0.20_inst_3_sparse.h5,200,0.995,-19.776165,1.5984495489024988,0.012424304
wishart_planting_N_200_alpha_0.20_inst_4_sparse.h5,200,0.995,-20.008982,1.4961836827242048,0.012762519
wishart_planting_N_200_alpha_0.20_inst_5_sparse.h5,200,0.995,-20.193579,1.267561834873746,0.013023479
wishart_planting_N_200_alpha_0.20_inst_6_sparse.h5,200,0.995,-19.099583,1.4921192379927142,0.014413063
