instance,num_var,ground_energy,pa_energy,gap,pa_runtime
3R3X_Ising_with_HUBO_Float64_10_10_sparse.h5,10,-5.0,-5.0,0.0,0.031099377
3R3X_Ising_with_HUBO_Float64_10_1_sparse.h5,10,-5.0,-5.0,0.0,0.004231783
3R3X_Ising_with_HUBO_Float64_10_2_sparse.h5,10,-5.0,-5.0,0.0,0.00400167
3R3X_Ising_with_HUBO_Float64_10_3_sparse.h5,10,-5.0,-5.0,0.0,0.004034335
3R3X_Ising_with_HUBO_Float64_10_4_sparse.h5,10,-5.0,-5.0,0.0,0.004664957
3R3X_Ising_with_HUBO_Float64_10_5_sparse.h5,10,-5.0,-5.0,0.0,0.003998006
3R3X_Ising_with_HUBO_Float64_10_6_sparse.h5,10,-5.0,-5.0,0.0,0.004266087
3R3X_Ising_with_HUBO_Float64_10_7_sparse.h5,10,-5.0,-5.0,0.0,0.004150881
3R3X_Ising_with_HUBO_Float64_10_8_sparse.h5,10,-5.0,-5.0,0.0,0.004442877
3R3X_Ising_with_HUBO_Float64_10_9_sparse.h5,10,-5.0,-5.0,0.0,0.004098952
3R3X_Ising_with_HUBO_Float64_20_10_sparse.h5,20,-10.0,-10.0,0.0,0.006157792
3R3X_Ising_with_HUBO_Float64_20_1_sparse.h5,20,-10.0,-10.0,0.0,0.005578148
3R3X_Ising_with_HUBO_Float64_20_2_sparse.h5,20,-10.0,-10.0,0.0,0.00564851
3R3X_Ising_with_HUBO_Float64_20_3_sparse.h5,20,-10.0,-10.0,0.0,0.005787589
3R3X_Ising_with_HUBO_Float64_20_4_sparse.h5,20,-10.0,-10.0,0.0,0.009886274
3R3X_Ising_with_HUBO_Float64_20_5_sparse.h5,20,-10.0,-10.0,0.0,0.007838277
3R3X_Ising_with_HUBO_Float64_20_6_sparse.h5,20,-10.0,-10.0,0.0,0.005534283
3R3X_Ising_with_HUBO_Float64_20_7_sparse.h5,20,-10.0,-10.0,0.0,0.005637753
3R3X_Ising_with_HUBO_Float64_20_8_sparse.h5,20,-10.0,-10.0,0.0,0.005345617
3R3X_Ising_with_HUBO_Float64_20_9_sparse.h5,20,-10.0,-10.0,0.0,0.00548109
3R3X_Ising_with_HUBO_Float64_30_10_sparse.h5,30,-15.0,-15.0,0.0,0.006007477
3R3X_Ising_with_HUBO_Float64_30_1_sparse.h5,30,-15.0,-15.0,0.0,0.00618008
3R3X_Ising_with_HUBO_Float64_30_2_sparse.h5,30,-15.0,-15.0,0.0,0.005466436
3R3X_Ising_with_HUBO_Float64_30_3_sparse.h5,30,-15.0,-15.0,0.0,0.006044974
3R3X_Ising_with_HUBO_Float64_30_4_sparse.h5,30,-15.0,-15.0,0.0,0.005361742
3R3X_Ising_with_HUBO_Float64_30_5_sparse.h5,30,-15.0,-15.0,0.0,0.005673643
3R3X_Ising_with_HUBO_Float64_30_6_sparse.h5,30,-15.0,-15.0,0.0,0.010977468
3R3X_Ising_with_HUBO_Float64_30_7_sparse.h5,30,-15.0,-15.0,0.0,0.007735466
3R3X_Ising_with_HUBO_Float64_30_8_sparse.h5,30,-15.0,-15.0,0.0,0.00935002
3R3X_Ising_with_HUBO_Float64_30_9_sparse.h5,30,-15.0,-15.0,0.0,0.005633444
3R3X_Ising_with_HUBO_Float64_40_10_sparse.h5,40,-20.0,-20.0,0.0,0.005510266
3R3X_Ising_with_HUBO_Float64_40_1_sparse.h5,40,-20.0,-20.0,0.0,0.005588928
3R3X_Ising_with_HUBO_Float64_40_2_sparse.h5,40,-20.0,-20.0,0.0,0.005514322
3R3X_Ising_with_HUBO_Float64_40_3_sparse.h5,40,-20.0,-20.0,0.0,0.005839726
3R3X_Ising_with_HUBO_Float64_40_4_sparse.h5,40,-20.0,-19.5,2.5,0.006284204
3R3X_Ising_with_HUBO_Float64_40_5_sparse.h5,40,-20.0,-20.0,0.0,0.005869534
3R3X_Ising_with_HUBO_Float64_40_6_sparse.h5,40,-20.0,-20.0,0.0,0.005899261
3R3X_Ising_with_HUBO_Float64_40_7_sparse.h5,40,-20.0,-20.0,0.0,0.010909688
3R3X_Ising_with_HUBO_Float64_40_8_sparse.h5,40,-20.0,-20.0,0.0,0.007373754
3R3X_Ising_with_HUBO_Float64_40_9_sparse.h5,40,-20.0,-20.0,0.0,0.009087202
3R3X_Ising_with_HUBO_Float64_50_10_sparse.h5,50,-25.0,-25.0,0.0,0.010029448
3R3X_Ising_with_HUBO_Float64_50_1_sparse.h5,50,-25.0,-24.5,2.0,0.006033312
3R3X_Ising_with_HUBO_Float64_50_2_sparse.h5,50,-25.0,-25.0,0.0,0.006645428
3R3X_Ising_with_HUBO_Float64_50_3_sparse.h5,50,-25.0,-24.5,2.0,0.006644329
3R3X_Ising_with_HUBO_Float64_50_4_sparse.h5,50,-25.0,-25.0,0.0,0.006362524
3R3X_Ising_with_HUBO_Float64_50_5_sparse.h5,50,-25.0,-25.0,0.0,0.005673401
3R3X_Ising_with_HUBO_Float64_50_6_sparse.h5,50,-25.0,-25.0,0.0,0.006540776
3R3X_Ising_with_HUBO_Float64_50_7_sparse.h5,50,-25.0,-24.5,2.0,0.00876026
3R3X_Ising_with_HUBO_Float64_50_8_sparse.h5,50,-25.0,-25.0,0.0,0.006770253
3R3X_Ising_with_HUBO_Float64_50_9_sparse.h5,50,-25.0,-25.0,0.0,0.00946601
3R3X_Ising_with_HUBO_Float64_60_10_sparse.h5,60,-30.0,-30.0,0.0,0.009510666
3R3X_Ising_with_HUBO_Float64_60_1_sparse.h5,60,-30.0,-30.0,0.0,0.006805458
3R3X_Ising_with_HUBO_Float64_60_2_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.00644859
3R3X_Ising_with_HUBO_Float64_60_3_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.006670379
3R3X_Ising_with_HUBO_Float64_60_4_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.007476107
3R3X_Ising_with_HUBO_Float64_60_5_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.006365876
3R3X_Ising_with_HUBO_Float64_60_6_sparse.h5,60,-30.0,-30.0,0.0,0.006554743
3R3X_Ising_with_HUBO_Float64_60_7_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.008324562
3R3X_Ising_with_HUBO_Float64_60_8_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.006444769
3R3X_Ising_with_HUBO_Float64_60_9_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.00711144
3R3X_Ising_with_HUBO_Float64_70_10_sparse.h5,70,-35.0,-35.0,0.0,0.007047311
3R3X_Ising_with_HUBO_Float64_70_1_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.007543327
3R3X_Ising_with_HUBO_Float64_70_2_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.007423261
3R3X_Ising_with_HUBO_Float64_70_3_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.008490587
