instance,num_var,ground_energy,pa_energy,gap,pa_runtime
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_2_sparse.h5,100,-100,-100.0,0.0,0.059596386
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_3_sparse.h5,100,-100,-100.0,0.0,0.00444832
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_4_sparse.h5,100,-100,-100.0,0.0,0.004436059
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_5_sparse.h5,100,-100,-100.0,0.0,0.004290362
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_6_sparse.h5,100,-100,-100.0,0.0,0.046494917
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_7_sparse.h5,100,-100,-100.0,0.0,0.004527141
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_8_sparse.h5,100,-100,-100.0,0.0,0.004415755
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_9_sparse.h5,100,-100,-100.0,0.0,0.005019142
tile_planting_2D_L_10_p1_0.0_p2_0.0_p3_0.0_inst_10_sparse.h5,100,-100,-100.0,0.0,0.048171993
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_1_sparse.h5,100,-114,-114.0,0.0,0.004385937
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_2_sparse.h5,100,-108,-108.0,0.0,0.004557972
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_3_sparse.h5,100,-110,-110.0,0.0,0.004761903
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_4_sparse.h5,100,-116,-116.0,0.0,0.004405347
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_5_sparse.h5,100,-112,-112.0,0.0,0.004454165
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_6_sparse.h5,100,-124,-124.0,0.0,0.00444629
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_7_sparse.h5,100,-102,-102.0,0.0,0.004900739
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_8_sparse.h5,100,-112,-112.0,0.0,0.004331451
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_9_sparse.h5,100,-112,-112.0,0.0,0.004319871
tile_planting_2D_L_10_p1_0.0_p2_0.1_p3_0.0_inst_10_sparse.h5,100,-108,-108.0,0.0,0.004244222
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_1_sparse.h5,100,-138,-138.0,0.0,0.004440142
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_2_sparse.h5,100,-124,-124.0,0.0,0.00431053
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_3_sparse.h5,100,-120,-120.0,0.0,0.004032467
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_4_sparse.h5,100,-136,-136.0,0.0,0.004482706
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_5_sparse.h5,100,-130,-130.0,0.0,0.003994612
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_6_sparse.h5,100,-116,-116.0,0.0,0.004308696
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_7_sparse.h5,100,-124,-124.0,0.0,0.004160166
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_8_sparse.h5,100,-122,-122.0,0.0,0.004129709
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_9_sparse.h5,100,-124,-124.0,0.0,0.004312357
tile_planting_2D_L_10_p1_0.0_p2_0.2_p3_0.0_inst_10_sparse.h5,100,-122,-122.0,0.0,0.004139798
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_1_sparse.h5,100,-120,-120.0,0.0,0.004331643
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_2_sparse.h5,100,-138,-138.0,0.0,0.004180559
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_3_sparse.h5,100,-134,-134.0,0.0,0.004402735
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_4_sparse.h5,100,-132,-132.0,0.0,0.004302385
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_5_sparse.h5,100,-124,-124.0,0.0,0.004075427
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_6_sparse.h5,100,-140,-140.0,0.0,0.004263941
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_7_sparse.h5,100,-124,-124.0,0.0,0.004004065
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_8_sparse.h5,100,-136,-136.0,0.0,0.00443739
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_9_sparse.h5,100,-130,-130.0,0.0,0.004312043
tile_planting_2D_L_10_p1_0.0_p2_0.3_p3_0.0_inst_10_sparse.h5,100,-126,-126.0,0.0,0.004081759
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_1_sparse.h5,100,-148,-148.0,0.0,0.004352716
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_2_sparse.h5,100,-136,-136.0,0.0,0.004380317
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_3_sparse.h5,100,-142,-142.0,0.0,0.003998251
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_4_sparse.h5,100,-130,-130.0,0.0,0.004290924
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_5_sparse.h5,100,-144,-144.0,0.0,0.004075978
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_6_sparse.h5,100,-148,-148.0,0.0,0.004336819
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_7_sparse.h5,100,-142,-142.0,0.0,0.004058808
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_8_sparse.h5,100,-140,-140.0,0.0,0.004053629
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_9_sparse.h5,100,-140,-140.0,0.0,0.004292708
tile_planting_2D_L_10_p1_0.0_p2_0.4_p3_0.0_inst_10_sparse.h5,100,-154,-154.0,0.0,0.00393176
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_1_sparse.h5,100,-150,-150.0,0.0,0.004446193
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_2_sparse.h5,100,-148,-148.0,0.0,0.004056942
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_3_sparse.h5,100,-156,-156.0,0.0,0.004164706
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_4_sparse.h5,100,-156,-156.0,0.0,0.004350915
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_5_sparse.h5,100,-132,-132.0,0.0,0.004446376
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_6_sparse.h5,100,-146,-146.0,0.0,0.004298369
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_7_sparse.h5,100,-144,-144.0,0.0,0.004050842
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_8_sparse.h5,100,-150,-150.0,0.0,0.004418175
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_9_sparse.h5,100,-158,-158.0,0.0,0.004325198
tile_planting_2D_L_10_p1_0.0_p2_0.5_p3_0.0_inst_10_sparse.h5,100,-146,-146.0,0.0,0.004019449
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_1_sparse.h5,100,-156,-156.0,0.0,0.004333852
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_2_sparse.h5,100,-156,-156.0,0.0,0.003988808
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_3_sparse.h5,100,-164,-164.0,0.0,0.004221195
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_4_sparse.h5,100,-170,-170.0,0.0,0.004278754
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_5_sparse.h5,100,-164,-164.0,0.0,0.003958786
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_6_sparse.h5,100,-142,-142.0,0.0,0.00428777
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_7_sparse.h5,100,-150,-150.0,0.0,0.004144564
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_8_sparse.h5,100,-168,-168.0,0.0,0.004343327
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_9_sparse.h5,100,-160,-160.0,0.0,0.004330782
tile_planting_2D_L_10_p1_0.0_p2_0.6_p3_0.0_inst_10_sparse.h5,100,-166,-166.0,0.0,0.004202839
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_1_sparse.h5,100,-170,-170.0,0.0,0.004362589
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_2_sparse.h5,100,-166,-166.0,0.0,0.004100661
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_3_sparse.h5,100,-166,-166.0,0.0,0.004209113
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_4_sparse.h5,100,-178,-178.0,0.0,0.00642498
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_5_sparse.h5,100,-174,-174.0,0.0,0.004203174
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_6_sparse.h5,100,-172,-172.0,0.0,0.004337824
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_7_sparse.h5,100,-176,-176.0,0.0,0.006230727
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_8_sparse.h5,100,-178,-178.0,0.0,0.004134566
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_9_sparse.h5,100,-162,-162.0,0.0,0.00474366
tile_planting_2D_L_10_p1_0.0_p2_0.7_p3_0.0_inst_10_sparse.h5,100,-178,-178.0,0.0,0.004284838
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_1_sparse.h5,100,-172,-172.0,0.0,0.004333527
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_2_sparse.h5,100,-184,-184.0,0.0,0.004303904
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_3_sparse.h5,100,-184,-184.0,0.0,0.004229724
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_4_sparse.h5,100,-170,-170.0,0.0,0.004345445
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_5_sparse.h5,100,-176,-176.0,0.0,0.004105826
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_6_sparse.h5,100,-188,-188.0,0.0,0.004370568
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_7_sparse.h5,100,-174,-174.0,0.0,0.003984101
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_8_sparse.h5,100,-184,-184.0,0.0,0.004211817
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_9_sparse.h5,100,-184,-184.0,0.0,0.004435157
tile_planting_2D_L_10_p1_0.0_p2_0.8_p3_0.0_inst_10_sparse.h5,100,-182,-182.0,0.0,0.004124845
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_1_sparse.h5,100,-192,-192.0,0.0,0.004365584
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_2_sparse.h5,100,-198,-198.0,0.0,0.004318742
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_3_sparse.h5,100,-188,-188.0,0.0,0.004164401
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_4_sparse.h5,100,-192,-192.0,0.0,0.00433122
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_5_sparse.h5,100,-190,-190.0,0.0,0.00402856
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_6_sparse.h5,100,-188,-188.0,0.0,0.004336822
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_7_sparse.h5,100,-192,-192.0,0.0,0.004083694
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_8_sparse.h5,100,-194,-194.0,0.0,0.004114273
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_9_sparse.h5,100,-186,-186.0,0.0,0.004317877
tile_planting_2D_L_10_p1_0.0_p2_0.9_p3_0.0_inst_10_sparse.h5,100,-184,-184.0,0.0,0.004185433
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_1_sparse.h5,100,-200,-200.0,0.0,0.004335265
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_2_sparse.h5,100,-200,-200.0,0.0,0.00406258
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_3_sparse.h5,100,-200,-200.0,0.0,0.004109956
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_4_sparse.h5,100,-200,-200.0,0.0,0.004448846
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_5_sparse.h5,100,-200,-200.0,0.0,0.004129697
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_6_sparse.h5,100,-200,-200.0,0.0,0.004317899
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_7_sparse.h5,100,-200,-200.0,0.0,0.004203485
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_8_sparse.h5,100,-200,-200.0,0.0,0.004363838
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_9_sparse.h5,100,-200,-200.0,0.0,0.004366903
tile_planting_2D_L_10_p1_0.0_p2_1.0_p3_0.0_inst_10_sparse.h5,100,-200,-200.0,0.0,0.004514682
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_1_sparse.h5,400,-400,-400.0,0.0,0.012001729
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_2_sparse.h5,400,-400,-400.0,0.0,0.011829399
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_3_sparse.h5,400,-400,-400.0,0.0,0.011631118
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_4_sparse.h5,400,-400,-400.0,0.0,0.011613647
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_5_sparse.h5,400,-400,-400.0,0.0,0.011610782
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_6_sparse.h5,400,-400,-400.0,0.0,0.011541495
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_7_sparse.h5,400,-400,-400.0,0.0,0.01204539
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_8_sparse.h5,400,-400,-400.0,0.0,0.011265587
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_9_sparse.h5,400,-400,-400.0,0.0,0.012007589
tile_planting_2D_L_20_p1_0.0_p2_0.0_p3_0.0_inst_10_sparse.h5,400,-400,-400.0,0.0,0.012219459
tile_planting_2D_L_20_p1_0.0_p2_0.1_p3_0.0_inst_1_sparse.h5,400,-436,-436.0,0.0,0.011270158
tile_planting_2D_L_20_p1_0.0_p2_0.1_p3_0.0_inst_2_sparse.h5,400,-448,-448.0,0.0,0.011517651
