instance,num_var,ground_energy,pa_energy,gap,pa_runtime
wishart_planting_N_100_alpha_0.01_inst_1_sparse.h5,100,-0.62846596,-0.6284653544425964,9.635484530532298e-5,0.224950727
wishart_planting_N_100_alpha_0.01_inst_2_sparse.h5,100,-0.46158405,-0.46158406138420105,-2.4663332769643754e-6,0.205374079
wishart_planting_N_100_alpha_0.01_inst_3_sparse.h5,100,-0.53659111,-0.5365910530090332,1.0620930122127234e-5,0.207450274
wishart_planting_N_100_alpha_0.01_inst_4_sparse.h5,100,-0.50797469,-0.5079746842384338,1.1342230679040059e-6,0.19661761
wishart_planting_N_100_alpha_0.01_inst_5_sparse.h5,100,-0.54423459,-0.5442346930503845,-1.8934920060655035e-5,0.212171352
wishart_planting_N_100_alpha_0.01_inst_6_sparse.h5,100,-0.49983052,-0.49983036518096924,3.0974305202909134e-5,0.211087998
wishart_planting_N_100_alpha_0.01_inst_7_sparse.h5,100,-0.54516018,-0.545160710811615,-9.736800934287213e-5,0.194655445
wishart_planting_N_100_alpha_0.01_inst_8_sparse.h5,100,-0.5028975,-0.5028974413871765,1.1655023833609844e-5,0.188355048
wishart_planting_N_100_alpha_0.01_inst_9_sparse.h5,100,-0.56454666,-0.5645467638969421,-1.840360585265539e-5,0.19460048
wishart_planting_N_100_alpha_0.01_inst_10_sparse.h5,100,-0.59266296,-0.5926629900932312,-5.077629828639532e-6,0.196563848
wishart_planting_N_100_alpha_0.20_inst_1_sparse.h5,100,-10.030782,-9.872516632080078,1.577796904766968,0.185138732
wishart_planting_N_100_alpha_0.20_inst_2_sparse.h5,100,-10.714504,-10.58673095703125,1.1925241053505584,0.186822574
wishart_planting_N_100_alpha_0.20_inst_3_sparse.h5,100,-10.441126,-10.287649154663086,1.4699261874333729,0.186942406
wishart_planting_N_100_alpha_0.20_inst_4_sparse.h5,100,-9.7316258,-9.624809265136719,1.097622710310964,0.211506947
wishart_planting_N_100_alpha_0.20_inst_5_sparse.h5,100,-10.138936,-10.04640007019043,0.9126789024959778,0.199511625
wishart_planting_N_100_alpha_0.20_inst_6_sparse.h5,100,-9.8432723,-9.689827919006348,1.5588757104042827,0.229839952
wishart_planting_N_100_alpha_0.20_inst_7_sparse.h5,100,-9.8152643,-9.686908721923828,1.3077139255045092,0.234279874
wishart_planting_N_100_alpha_0.20_inst_8_sparse.h5,100,-9.6665973,-9.542777061462402,1.2809082109750973,0.230339187
wishart_planting_N_100_alpha_0.20_inst_9_sparse.h5,100,-10.552662,-10.401154518127441,1.4357276095127312,0.196352029
wishart_planting_N_100_alpha_0.20_inst_10_sparse.h5,100,-9.9990045,-9.866439819335938,1.3257787879189609,0.186857765
wishart_planting_N_100_alpha_0.40_inst_1_sparse.h5,100,-20.285631,-19.655914306640625,3.1042499656992364,0.190585891
wishart_planting_N_100_alpha_0.40_inst_2_sparse.h5,100,-19.583266,-18.825345993041992,3.870243129813006,0.206469045
wishart_planting_N_100_alpha_0.40_inst_3_sparse.h5,100,-19.216199,-18.55147933959961,3.459163075904815,0.196403538
wishart_planting_N_100_alpha_0.40_inst_4_sparse.h5,100,-19.191499,-18.429048538208008,3.972855178180675,0.233731208
wishart_planting_N_100_alpha_0.40_inst_5_sparse.h5,100,-20.731172,-19.905546188354492,3.9825332192772724,0.196275538
wishart_planting_N_100_alpha_0.40_inst_6_sparse.h5,100,-20.320408,-19.511226654052734,3.9821117073400596,0.190509139
wishart_planting_N_100_alpha_0.40_inst_7_sparse.h5,100,-19.652238,-18.873353958129883,3.963335075985329,0.185474149
wishart_planting_N_100_alpha_0.40_inst_8_sparse.h5,100,-19.546056,-18.738361358642578,4.132264029927173,0.211137443
wishart_planting_N_100_alpha_0.40_inst_9_sparse.h5,100,-20.121535,-19.335695266723633,3.9054661251061042,0.185436451
wishart_planting_N_100_alpha_0.40_inst_10_sparse.h5,100,-19.307817,-18.525365829467773,4.052509771209384,0.205290326
wishart_planting_N_100_alpha_0.60_inst_1_sparse.h5,100,-29.263226,-27.3278751373291,6.6135936710152805,0.209183884
wishart_planting_N_100_alpha_0.60_inst_2_sparse.h5,100,-29.189738,-27.2789249420166,6.546180914619367,0.225220583
wishart_planting_N_100_alpha_0.60_inst_3_sparse.h5,100,-28.719349,-26.872472763061523,6.430773333122828,0.211734544
wishart_planting_N_100_alpha_0.60_inst_4_sparse.h5,100,-31.220561,-29.361602783203125,5.9542755070828965,0.200135891
wishart_planting_N_100_alpha_0.60_inst_5_sparse.h5,100,-29.711042,-27.853511810302734,6.251986011454141,0.188463604
wishart_planting_N_100_alpha_0.60_inst_6_sparse.h5,100,-30.713686,-28.583833694458008,6.934538256144155,0.179826874
wishart_planting_N_100_alpha_0.60_inst_7_sparse.h5,100,-29.788407,-27.833436965942383,6.562855254588191,0.179761134
wishart_planting_N_100_alpha_0.60_inst_8_sparse.h5,100,-29.882643,-27.79521369934082,6.985423948809284,0.194063219
wishart_planting_N_100_alpha_0.60_inst_9_sparse.h5,100,-29.753662,-27.845308303833008,6.413844777046236,0.206056346
wishart_planting_N_100_alpha_0.60_inst_10_sparse.h5,100,-30.371818,-28.244115829467773,7.005514686451194,0.190468917
wishart_planting_N_100_alpha_0.80_inst_1_sparse.h5,100,-41.164684,-39.28239059448242,4.572592869940601,0.19500584
wishart_planting_N_100_alpha_0.80_inst_2_sparse.h5,100,-39.867859,-39.867862701416016,-9.284210654006735e-6,0.208398548
wishart_planting_N_100_alpha_0.80_inst_3_sparse.h5,100,-40.481681,-40.481685638427734,-1.1458090716570875e-5,0.179617678
wishart_planting_N_100_alpha_0.80_inst_4_sparse.h5,100,-38.983931,-37.2951545715332,4.3319808576174506,0.192400119
wishart_planting_N_100_alpha_0.80_inst_5_sparse.h5,100,-39.939562,-36.53510284423828,8.5240272684055,0.193264442
wishart_planting_N_100_alpha_0.80_inst_6_sparse.h5,100,-38.990367,-38.9903678894043,-2.2810872689806952e-6,0.201518457
wishart_planting_N_100_alpha_0.80_inst_7_sparse.h5,100,-39.699643,-39.69964599609375,-7.546903502907444e-6,0.208981587
wishart_planting_N_100_alpha_0.80_inst_8_sparse.h5,100,-39.802689,-37.33658218383789,6.195829674126062,0.224234375
wishart_planting_N_100_alpha_0.80_inst_9_sparse.h5,100,-39.067614,-35.42127227783203,9.333412893267472,0.176655254
wishart_planting_N_100_alpha_0.80_inst_10_sparse.h5,100,-40.318891,-38.85795974731445,3.623441063112444,0.191598338
wishart_planting_N_100_alpha_1.00_inst_1_sparse.h5,100,-50.396215,-50.39621353149414,2.913920931086728e-6,0.193638908
wishart_planting_N_100_alpha_1.00_inst_2_sparse.h5,100,-49.173151,-49.173152923583984,-3.911858296830951e-6,0.224247261
wishart_planting_N_100_alpha_1.00_inst_3_sparse.h5,100,-50.256163,-50.25616455078125,-3.085753381517165e-6,0.190452791
wishart_planting_N_100_alpha_1.00_inst_4_sparse.h5,100,-49.20462,-49.204620361328125,-7.343378051293249e-7,0.19571454
wishart_planting_N_100_alpha_1.00_inst_5_sparse.h5,100,-49.917059,-49.91706085205078,-3.710256206009833e-6,0.183404061
wishart_planting_N_100_alpha_1.00_inst_6_sparse.h5,100,-50.128551,-50.12854766845703,6.645998944565904e-6,0.199435404
wishart_planting_N_100_alpha_1.00_inst_7_sparse.h5,100,-50.008075,-50.00807571411133,-1.427992039423723e-6,0.186854298
wishart_planting_N_100_alpha_1.00_inst_8_sparse.h5,100,-51.218709,-51.21870803833008,1.8775754750254221e-6,0.228128588
wishart_planting_N_100_alpha_1.00_inst_9_sparse.h5,100,-50.29858,-50.2985725402832,1.4830869575349434e-5,0.218513066
wishart_planting_N_100_alpha_1.00_inst_10_sparse.h5,100,-50.553973,-50.55397415161133,-2.277983827234436e-6,0.207756054
wishart_planting_N_100_alpha_1.20_inst_1_sparse.h5,100,-60.274067,-60.27406311035156,6.453270259299099e-6,0.225952136
wishart_planting_N_100_alpha_1.20_inst_2_sparse.h5,100,-59.500112,-59.50010681152344,8.720112264568977e-6,0.197581916
wishart_planting_N_100_alpha_1.20_inst_3_sparse.h5,100,-59.938405,-59.93840408325195,1.529483558858898e-6,0.208039501
wishart_planting_N_100_alpha_1.20_inst_4_sparse.h5,100,-60.22165,-60.221649169921875,1.3783716018973761e-6,0.24096542
wishart_planting_N_100_alpha_1.20_inst_5_sparse.h5,100,-59.314948,-59.314945220947266,4.6852485405381284e-6,0.205576734
wishart_planting_N_100_alpha_1.20_inst_6_sparse.h5,100,-58.452419,-58.452415466308594,6.045415169672245e-6,0.191843939
wishart_planting_N_100_alpha_1.20_inst_7_sparse.h5,100,-59.454728,-59.454734802246094,-1.1441051569258452e-5,0.196459433
wishart_planting_N_100_alpha_1.20_inst_8_sparse.h5,100,-60.319712,-60.3197135925293,-2.6401473770535797e-6,0.191807246
wishart_planting_N_100_alpha_1.20_inst_9_sparse.h5,100,-59.993025,-59.99302673339844,-2.889333275938127e-6,0.210436926
