instance,num_var,ground_energy,sbm_energy,gap,sbm_runtime
3R3X_Ising_with_HUBO_Float64_10_1_sparse.h5,10,-5.0,-5.0,0.0,0.063414658
3R3X_Ising_with_HUBO_Float64_10_2_sparse.h5,10,-5.0,-5.0,0.0,0.062868908
3R3X_Ising_with_HUBO_Float64_10_3_sparse.h5,10,-5.0,-5.0,0.0,0.062810924
3R3X_Ising_with_HUBO_Float64_10_4_sparse.h5,10,-5.0,-5.0,0.0,0.062793574
3R3X_Ising_with_HUBO_Float64_10_5_sparse.h5,10,-5.0,-5.0,0.0,0.062805372
3R3X_Ising_with_HUBO_Float64_10_6_sparse.h5,10,-5.0,-5.0,0.0,0.063734013
3R3X_Ising_with_HUBO_Float64_10_7_sparse.h5,10,-5.0,-5.0,0.0,0.064284951
3R3X_Ising_with_HUBO_Float64_10_8_sparse.h5,10,-5.0,-5.0,0.0,0.063566174
3R3X_Ising_with_HUBO_Float64_10_9_sparse.h5,10,-5.0,-5.0,0.0,0.063566403
3R3X_Ising_with_HUBO_Float64_20_10_sparse.h5,20,-10.0,-10.0,0.0,0.063560366
3R3X_Ising_with_HUBO_Float64_20_1_sparse.h5,20,-10.0,-10.0,0.0,0.063536239
3R3X_Ising_with_HUBO_Float64_20_2_sparse.h5,20,-10.0,-10.0,0.0,0.063711138
3R3X_Ising_with_HUBO_Float64_20_3_sparse.h5,20,-10.0,-10.0,0.0,0.064425685
3R3X_Ising_with_HUBO_Float64_20_4_sparse.h5,20,-10.0,-10.0,0.0,0.063789682
3R3X_Ising_with_HUBO_Float64_20_5_sparse.h5,20,-10.0,-10.0,0.0,0.063638745
3R3X_Ising_with_HUBO_Float64_20_6_sparse.h5,20,-10.0,-10.0,0.0,0.063609591
3R3X_Ising_with_HUBO_Float64_20_7_sparse.h5,20,-10.0,-10.0,0.0,0.063716372
3R3X_Ising_with_HUBO_Float64_20_8_sparse.h5,20,-10.0,-10.0,0.0,0.064048469
3R3X_Ising_with_HUBO_Float64_20_9_sparse.h5,20,-10.0,-10.0,0.0,0.064601535
3R3X_Ising_with_HUBO_Float64_30_10_sparse.h5,30,-15.0,-15.0,0.0,0.063502335
3R3X_Ising_with_HUBO_Float64_30_1_sparse.h5,30,-15.0,-15.0,0.0,0.063517481
3R3X_Ising_with_HUBO_Float64_30_2_sparse.h5,30,-15.0,-15.0,0.0,0.063601921
3R3X_Ising_with_HUBO_Float64_30_3_sparse.h5,30,-15.0,-15.0,0.0,0.063576283
3R3X_Ising_with_HUBO_Float64_30_4_sparse.h5,30,-15.0,-15.0,0.0,0.063571466
3R3X_Ising_with_HUBO_Float64_30_5_sparse.h5,30,-15.0,-14.5,3.3333333333333335,0.064005883
3R3X_Ising_with_HUBO_Float64_30_6_sparse.h5,30,-15.0,-15.0,0.0,0.063464648
3R3X_Ising_with_HUBO_Float64_30_7_sparse.h5,30,-15.0,-15.0,0.0,0.063425876
3R3X_Ising_with_HUBO_Float64_30_8_sparse.h5,30,-15.0,-15.0,0.0,0.063535388
3R3X_Ising_with_HUBO_Float64_30_9_sparse.h5,30,-15.0,-15.0,0.0,0.063505798
3R3X_Ising_with_HUBO_Float64_40_10_sparse.h5,40,-20.0,-19.5,2.5,0.064108149
3R3X_Ising_with_HUBO_Float64_40_1_sparse.h5,40,-20.0,-20.0,0.0,0.063496014
3R3X_Ising_with_HUBO_Float64_40_2_sparse.h5,40,-20.0,-19.5,2.5,0.063509644
3R3X_Ising_with_HUBO_Float64_40_3_sparse.h5,40,-20.0,-19.5,2.5,0.063567704
3R3X_Ising_with_HUBO_Float64_40_4_sparse.h5,40,-20.0,-20.0,0.0,0.063495732
3R3X_Ising_with_HUBO_Float64_40_5_sparse.h5,40,-20.0,-19.5,2.5,0.063569721
3R3X_Ising_with_HUBO_Float64_40_6_sparse.h5,40,-20.0,-19.5,2.5,0.064353266
3R3X_Ising_with_HUBO_Float64_40_7_sparse.h5,40,-20.0,-19.5,2.5,0.06351814
3R3X_Ising_with_HUBO_Float64_40_8_sparse.h5,40,-20.0,-19.5,2.5,0.063501604
3R3X_Ising_with_HUBO_Float64_40_9_sparse.h5,40,-20.0,-19.5,2.5,0.063535516
3R3X_Ising_with_HUBO_Float64_50_10_sparse.h5,50,-25.0,-24.0,4.0,0.063564642
3R3X_Ising_with_HUBO_Float64_50_1_sparse.h5,50,-25.0,-24.5,2.0,0.063545994
3R3X_Ising_with_HUBO_Float64_50_2_sparse.h5,50,-25.0,-24.0,4.0,0.06433501
3R3X_Ising_with_HUBO_Float64_50_3_sparse.h5,50,-25.0,-25.0,0.0,0.063399279
3R3X_Ising_with_HUBO_Float64_50_4_sparse.h5,50,-25.0,-23.5,6.0,0.063350304
3R3X_Ising_with_HUBO_Float64_50_5_sparse.h5,50,-25.0,-24.5,2.0,0.063338145
3R3X_Ising_with_HUBO_Float64_50_6_sparse.h5,50,-25.0,-24.0,4.0,0.063428141
3R3X_Ising_with_HUBO_Float64_50_7_sparse.h5,50,-25.0,-24.0,4.0,0.063301717
3R3X_Ising_with_HUBO_Float64_50_8_sparse.h5,50,-25.0,-24.0,4.0,0.064155088
3R3X_Ising_with_HUBO_Float64_50_9_sparse.h5,50,-25.0,-25.0,0.0,0.063369539
3R3X_Ising_with_HUBO_Float64_60_10_sparse.h5,60,-30.0,-29.0,3.3333333333333335,0.063373093
3R3X_Ising_with_HUBO_Float64_60_1_sparse.h5,60,-30.0,-30.0,0.0,0.063438843
3R3X_Ising_with_HUBO_Float64_60_2_sparse.h5,60,-30.0,-28.0,6.666666666666667,0.063495593
3R3X_Ising_with_HUBO_Float64_60_3_sparse.h5,60,-30.0,-29.0,3.3333333333333335,0.06338217
3R3X_Ising_with_HUBO_Float64_60_4_sparse.h5,60,-30.0,-28.5,5.0,0.064034054
3R3X_Ising_with_HUBO_Float64_60_5_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.063390747
3R3X_Ising_with_HUBO_Float64_60_6_sparse.h5,60,-30.0,-28.5,5.0,0.063423488
3R3X_Ising_with_HUBO_Float64_60_7_sparse.h5,60,-30.0,-28.5,5.0,0.063389554
3R3X_Ising_with_HUBO_Float64_60_8_sparse.h5,60,-30.0,-29.0,3.3333333333333335,0.063395017
3R3X_Ising_with_HUBO_Float64_60_9_sparse.h5,60,-30.0,-29.5,1.6666666666666667,0.06345253
3R3X_Ising_with_HUBO_Float64_70_10_sparse.h5,70,-35.0,-33.5,4.285714285714286,0.064055489
3R3X_Ising_with_HUBO_Float64_70_1_sparse.h5,70,-35.0,-33.0,5.714285714285714,0.063413686
3R3X_Ising_with_HUBO_Float64_70_2_sparse.h5,70,-35.0,-33.5,4.285714285714286,0.063493413
3R3X_Ising_with_HUBO_Float64_70_3_sparse.h5,70,-35.0,-33.5,4.285714285714286,0.06350877
3R3X_Ising_with_HUBO_Float64_70_4_sparse.h5,70,-35.0,-34.5,1.4285714285714286,0.063435121
3R3X_Ising_with_HUBO_Float64_70_5_sparse.h5,70,-35.0,-33.5,4.285714285714286,0.064054998
3R3X_Ising_with_HUBO_Float64_70_6_sparse.h5,70,-35.0,-33.5,4.285714285714286,0.063368076
3R3X_Ising_with_HUBO_Float64_70_7_sparse.h5,70,-35.0,-34.0,2.857142857142857,0.06350459
3R3X_Ising_with_HUBO_Float64_70_8_sparse.h5,70,-35.0,-33.0,5.714285714285714,0.063424574
3R3X_Ising_with_HUBO_Float64_70_9_sparse.h5,70,-35.0,-34.0,2.857142857142857,0.063556721
