instance,num_var,ground_energy,sbm_energy,gap,sbm_runtime
wishart_planting_N_100_alpha_0.20_inst_2_sparse.h5,100,-10.714504,-10.430354118347168,2.6520115317781565,0.089657248
wishart_planting_N_100_alpha_0.20_inst_3_sparse.h5,100,-10.441126,-10.17366886138916,2.5615737096826567,0.073910846
wishart_planting_N_100_alpha_0.20_inst_4_sparse.h5,100,-9.7316258,-9.464142799377441,2.7485952102942384,0.073784535
wishart_planting_N_100_alpha_0.20_inst_5_sparse.h5,100,-10.138936,-9.883464813232422,2.5197041066989416,0.089412345
wishart_planting_N_100_alpha_0.20_inst_6_sparse.h5,100,-9.8432723,-9.542778015136719,3.0527885006623445,0.073935728
wishart_planting_N_100_alpha_0.20_inst_7_sparse.h5,100,-9.8152643,-9.517569541931152,3.0329775028966712,0.074026471
wishart_planting_N_100_alpha_0.20_inst_8_sparse.h5,100,-9.6665973,-9.449962615966797,2.241064537085894,0.088372834
wishart_planting_N_100_alpha_0.20_inst_9_sparse.h5,100,-10.552662,-10.21300220489502,3.2187119714909875,0.073847231
wishart_planting_N_100_alpha_0.20_inst_10_sparse.h5,100,-9.9990045,-9.73631763458252,2.6271301849847184,0.073676938
wishart_planting_N_100_alpha_1.00_inst_1_sparse.h5,100,-50.396215,-50.39621353149414,2.913920931086728e-6,0.073887627
wishart_planting_N_100_alpha_1.00_inst_2_sparse.h5,100,-49.173151,-49.173152923583984,-3.911858296830951e-6,0.073859229
wishart_planting_N_100_alpha_1.00_inst_3_sparse.h5,100,-50.256163,-50.25616455078125,-3.085753381517165e-6,0.073688484
wishart_planting_N_100_alpha_1.00_inst_4_sparse.h5,100,-49.20462,-49.204620361328125,-7.343378051293249e-7,0.073799301
wishart_planting_N_100_alpha_1.00_inst_5_sparse.h5,100,-49.917059,-49.91706085205078,-3.710256206009833e-6,0.088511669
wishart_planting_N_100_alpha_1.00_inst_6_sparse.h5,100,-50.128551,-50.12854766845703,6.645998944565904e-6,0.073862183
wishart_planting_N_100_alpha_1.00_inst_7_sparse.h5,100,-50.008075,-50.00807571411133,-1.427992039423723e-6,0.073832911
wishart_planting_N_100_alpha_1.00_inst_8_sparse.h5,100,-51.218709,-51.21870803833008,1.8775754750254221e-6,0.074479354
wishart_planting_N_100_alpha_1.00_inst_9_sparse.h5,100,-50.29858,-50.2985725402832,1.4830869575349434e-5,0.074285115
wishart_planting_N_100_alpha_1.00_inst_10_sparse.h5,100,-50.553973,-50.55397415161133,-2.277983827234436e-6,0.074112812
wishart_planting_N_200_alpha_0.20_inst_1_sparse.h5,200,-20.017775,-19.30878257751465,3.5418143249454643,0.074257953
wishart_planting_N_200_alpha_0.20_inst_2_sparse.h5,200,-20.749707,-19.869251251220703,4.243220151394415,0.08773733
wishart_planting_N_200_alpha_0.20_inst_3_sparse.h5,200,-20.097412,-19.253307342529297,4.2000664437326645,0.074022313
wishart_planting_N_200_alpha_0.20_inst_4_sparse.h5,200,-20.3129,-19.30630111694336,4.955466147407016,0.074427739
wishart_planting_N_200_alpha_0.20_inst_5_sparse.h5,200,-20.452831,-19.538686752319336,4.46952428092064,0.073815598
wishart_planting_N_200_alpha_0.20_inst_6_sparse.h5,200,-19.388888,-18.54538345336914,4.350453448546718,0.07372794
wishart_planting_N_200_alpha_0.20_inst_7_sparse.h5,200,-19.849365,-18.998186111450195,4.288192033094275,0.074090192
wishart_planting_N_200_alpha_0.20_inst_8_sparse.h5,200,-19.978247,-19.22435760498047,3.773551278145329,0.073921979
wishart_planting_N_200_alpha_0.20_inst_9_sparse.h5,200,-20.246376,-19.448850631713867,3.939101833760937,0.073811497
wishart_planting_N_200_alpha_0.20_inst_10_sparse.h5,200,-19.690121,-18.986661911010742,3.572649903925217,0.074218631
wishart_planting_N_200_alpha_1.00_inst_1_sparse.h5,200,-102.36224,-102.36224365234375,-3.5680576647253833e-6,0.073908667
wishart_planting_N_200_alpha_1.00_inst_2_sparse.h5,200,-100.8026,-100.8025894165039,1.0499229277770364e-5,0.073768528
wishart_planting_N_200_alpha_1.00_inst_3_sparse.h5,200,-100.23608,-100.23606872558594,1.1247860115517083e-5,0.074054698
wishart_planting_N_200_alpha_1.00_inst_4_sparse.h5,200,-100.07942,-100.07942962646484,-9.618825573543602e-6,0.073953646
wishart_planting_N_200_alpha_1.00_inst_5_sparse.h5,200,-100.3555,-100.35550689697266,-6.872540767455234e-6,0.074369587
wishart_planting_N_200_alpha_1.00_inst_6_sparse.h5,200,-100.28945,-100.28944396972656,6.012869189835545e-6,0.074039735
wishart_planting_N_200_alpha_1.00_inst_7_sparse.h5,200,-99.651325,-99.65132904052734,-4.054664946821542e-6,0.073991857
wishart_planting_N_200_alpha_1.00_inst_8_sparse.h5,200,-101.31678,-101.31678771972656,-7.6193958870501285e-6,0.073813308
wishart_planting_N_200_alpha_1.00_inst_9_sparse.h5,200,-98.493471,-98.49346923828125,1.7886655142338221e-6,0.074168067
wishart_planting_N_200_alpha_1.00_inst_10_sparse.h5,200,-99.525658,-99.52565002441406,8.013597804662639e-6,0.073866243
wishart_planting_N_300_alpha_0.20_inst_1_sparse.h5,300,-29.961801,-28.63566017150879,4.426105188039972,0.075912213
wishart_planting_N_300_alpha_0.20_inst_2_sparse.h5,300,-30.105127,-28.820056915283203,4.268608747994309,0.076142015
wishart_planting_N_300_alpha_0.20_inst_3_sparse.h5,300,-30.409404,-28.855758666992188,5.109094979328799,0.076554658
wishart_planting_N_300_alpha_0.20_inst_4_sparse.h5,300,-29.640568,-28.185035705566406,4.91060864432015,0.07598938
wishart_planting_N_300_alpha_0.20_inst_5_sparse.h5,300,-29.385917,-28.037649154663086,4.588142835008053,0.076099267
wishart_planting_N_300_alpha_0.20_inst_6_sparse.h5,300,-29.906689,-28.631717681884766,4.263164398155992,0.076134222
wishart_planting_N_300_alpha_0.20_inst_7_sparse.h5,300,-29.993724,-28.524620056152344,4.898037815669893,0.076135275
wishart_planting_N_300_alpha_0.20_inst_8_sparse.h5,300,-30.197141,-28.809864044189453,4.59406721917994,0.086035697
wishart_planting_N_300_alpha_0.20_inst_9_sparse.h5,300,-30.003751,-28.57069206237793,4.776265932956421,0.075844715
wishart_planting_N_300_alpha_0.20_inst_10_sparse.h5,300,-29.757582,-28.49226951599121,4.252067536968522,0.086214223
wishart_planting_N_300_alpha_1.00_inst_1_sparse.h5,300,-149.43913,-149.43910217285156,1.862105891762986e-5,0.075832633
wishart_planting_N_300_alpha_1.00_inst_2_sparse.h5,300,-149.52188,-149.5218963623047,-1.0943083833206497e-5,0.086242011
wishart_planting_N_300_alpha_1.00_inst_3_sparse.h5,300,-150.08882,-150.0888214111328,-9.401984865730042e-7,0.075787648
wishart_planting_N_300_alpha_1.00_inst_4_sparse.h5,300,-150.10459,-150.10459899902344,-5.9951687258616576e-6,0.086188868
wishart_planting_N_300_alpha_1.00_inst_5_sparse.h5,300,-150.14542,-150.1454315185547,-7.671599097770015e-6,0.075917142
wishart_planting_N_300_alpha_1.00_inst_6_sparse.h5,300,-150.41418,-150.41415405273438,1.72505448705422e-5,0.086457345
