num_var,autotune_gap_mean,custom1_gap_mean,custom2_gap_mean,sbm_gap_mean,pa_gap_mean,autotune_runtime_mean,custom1_runtime_mean,custom2_runtime_mean,sbm_runtime_mean,pa_runtime_mean
10,0.0,0.0,0.0,0.0,0.0,0.0438121917,0.008117721900000001,0.0414909987,0.06331610855555556,0.006898892500000001
20,0.0,0.0,0.5,0.0,0.0,0.0485305823,0.008665384000000002,0.0333395811,0.0638637822,0.0062895333
30,0.0,0.33333335000000003,0.0,0.33333333333333337,0.0,0.04318017889999999,0.007821892700000001,0.0330768354,0.0635707079,0.006843075
40,0.0,0.75,1.0,2.0,0.25,0.042299590799999995,0.008161478400000002,0.0292854844,0.06366554900000002,0.0067876885000000015
50,0.0,1.6,1.0,3.0,0.6,0.048172535800000006,0.010022988299999999,0.031413194600000006,0.0635787859,0.007292574099999999
60,0.0,1.3333333600000001,1.16666669,3.5,1.1666666666666665,0.042219779,0.007989028700000001,0.039290002000000004,0.0634775089,0.007171259000000001
70,0.8571429,1.7142858,1.1428572000000001,3.999999999999999,1.4285714285714286,0.047162658,0.007514159799999999,0.0330229447,0.0635815438,0.0077873001
80,0.75,1.875,1.375,5.25,2.25,0.0430018911,0.0075698903,0.0314513894,0.0636606035,0.007759673199999999
90,0.5555556,2.2222222999999994,2.00000008,5.666666666666668,1.8888888888888886,0.04895419720000001,0.009780686799999999,0.0373302148,0.06392918689999999,0.0092009378
100,1.3,2.0,1.8,5.4,2.4,0.03974537160000001,0.009892065600000001,0.035144511100000005,0.06427872659999999,0.010353693599999998
200,2.25,2.85,2.0,8.65,3.65,0.0470178181,0.011882790800000001,0.03518285189999999,0.06441027640000001,0.019075820900000002
400,3.05,3.5250000799999994,2.6,10.2,4.925,0.0487244046,0.010586441500000002,0.0352442003,0.0667834005,0.0374620737
600,3.5333333000000002,3.9833335500000002,2.76666671,10.933333333333334,5.449999999999999,0.059824273799999994,0.0101608001,0.0481890416,0.11578868340000001,0.0610272963
1000,3.79,3.97,3.0500000000000003,11.690000000000001,5.909999999999999,0.0757292187,0.0106938954,0.06176948680000001,0.06381152829999999,0.1188658356
2000,4.27999996,4.29000003,3.29000001,12.319999999999999,6.555,0.1206283091,0.0139085592,0.1162050868,0.07771763870000001,0.2248013951
10000,4.767,4.639999980000001,3.66999999,13.431999999999999,5.563000000000001,0.5181585653,0.0368691116,0.4658324992000001,1.0467184292999998,1.1153596852
20000,4.88400006,4.68199997,3.7839999900000003,13.738000000000003,5.979000000000001,0.9907705255,0.06057140799999999,0.8900099657,3.8782508637999995,2.050565616
30000,4.90166666,4.729000020000001,3.8193333899999993,13.895333333333332,5.784999999999999,1.4752310750000004,0.0870480598,1.3124878674999998,8.4545490379,3.0298964339
40000,4.96074994,4.75625012,3.83624996,13.888499999999999,5.994999999999999,1.9476358528,0.11169899139999999,1.754376821,14.891995382599998,3.9471733714000004
50000,4.990200000000001,4.777,3.8678000599999995,14.0054,6.3048,2.4337948365999997,0.1453201231,2.2257667376000003,22.1110081277,4.998427418100001
60000,4.990666729999999,4.79699993,3.8898332399999993,14.042833333333334,6.090666666666667,2.9512484407999997,0.1612777229,2.6511351829999996,32.98412642620001,5.8064769664
70000,5.0124286,4.78171433,3.8851428899999996,14.06342857142857,6.211,3.4050832833000007,0.2022098943,3.1004892887000004,44.279388125000004,6.813436483799999
80000,5.0213749100000005,4.802250089999999,3.89900002,14.103125,6.2452499999999995,3.8781548042000002,0.22342111729999997,3.52976138,57.604210653799996,7.927859689400002
90000,5.036555580000001,4.79444446,3.9030000199999995,14.085777777777775,6.138555555555556,4.432700434999999,0.2448233573,4.0590823664,71.76271799759999,9.141335062500001
100000,5.0424999625,4.8027499250000005,3.91175,14.126375000000003,6.66975,4.820688108750001,0.28385834200000004,4.398084889125,88.8864477585,9.891934291250001
